rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_paper_score,citations_per_paper_rank,papers_per_faculty_score,papers_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,staff_with_phd_score,staff_with_phd_rank,international_research_network_score,international_research_network_rank,web_impact_score,web_impact_rank,employer_reputation_score,employer_reputation_rank
301-350,334,Universidad de Nariño ,Colombia,Pasto,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-narino,https://www.topuniversities.com/sites/default/files/universidad-de-nario-_592560cf2aeae70239af54d6_medium.jpg,28.5,201+,15.2,201+,20.8,151+,13.1,201+,11.5,201+,21.6,201+,26.4,197,6.7,151+
301-350,335,Universidad de Playa Ancha,Chile,Valparaíso,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-playa-ancha,https://www.topuniversities.com/sites/default/files/universidad-de-playa-ancha_592560df9988f300e23209e1_medium.jpg,12.9,201+,49.1,101,14,151+,22.1,201+,21.3,201+,39.4,201+,21.4,201+,n/a,n/a
301-350,336,Universidad del CEMA,Argentina,Ciudad Autónoma de Buenos Aires,Latin America,n/a,https://www.topuniversities.com/universities/universidad-del-cema,https://www.topuniversities.com/sites/default/files/240515060707pm871518UCEMA-Logo-Caja-90x90.jpg,n/a,n/a,3.3,201+,7.6,151+,93.9,25,12.3,201+,9.4,201+,13.5,201+,25.5,151+
301-350,337,Universidad del Magdalena,Colombia,Santa Marta,Latin America,n/a,https://www.topuniversities.com/universities/universidad-del-magdalena,https://www.topuniversities.com/sites/default/files/universidad-del-magdalena_592560cf2aeae70239af5152_medium.jpg,14.7,201+,17.7,201+,19.6,151+,11.5,201+,9.3,201+,21.7,201+,48.1,89,14.5,151+
301-350,338,Universidade Anhembi Morumbi,Brazil,São Paulo,Latin America,n/a,https://www.topuniversities.com/universities/universidade-anhembi-morumbi,https://www.topuniversities.com/sites/default/files/universidade-anhembi-morumbi_24574_medium.jpg,11.3,201+,6.2,201+,9.3,151+,6.1,201+,51,121,5.6,201+,15.8,201+,27.7,151+
301-350,339,Universidade Cidade de São Paulo,Brazil,São Paulo,Latin America,n/a,https://www.topuniversities.com/universities/universidade-cidade-de-sao-paulo,,70.4,68,15.7,201+,1.9,151+,2.8,201+,86.9,58,18.1,201+,11.6,201+,n/a,n/a
301-350,340,Universidade Estadual de Roraima ,Brazil,Boa Vista,Latin America,n/a,https://www.topuniversities.com/universities/universidade-estadual-de-roraima,,n/a,n/a,7.5,201+,n/a,n/a,98,18,79.8,72,n/a,n/a,8.9,201+,2.5,151+
301-350,341,Universidade Federal Rural da Amazonia,Brazil,Belém,Latin America,n/a,https://www.topuniversities.com/universities/universidade-federal-rural-da-amazonia,,7.1,201+,55.1,88,2.5,151+,18.1,201+,98.7,14,26.5,201+,n/a,n/a,n/a,n/a
301-350,342,Universidade Federal do Mato Grosso,Brazil,Cuiabá,Latin America,n/a,https://www.topuniversities.com/universities/universidade-federal-do-mato-grosso,https://www.topuniversities.com/sites/default/files/universidade-federal-do-mato-grosso_592560cf2aeae70239af553a_medium.jpg,21.8,201+,38,127,6,151+,24,201+,20.1,201+,50.7,169,44.4,101,5.3,151+
301-350,343,Universidade Vila Velha,Brazil,Vila Velha,Latin America,n/a,https://www.topuniversities.com/universities/universidade-vila-velha,https://www.topuniversities.com/sites/default/files/universidade-vila-velha_5c8b39b710ca600bd26f7724_medium.jpg,93.9,20,40,122,n/a,n/a,12.5,201+,42.4,141,2.6,201+,12.7,201+,4,151+
301-350,344,Universidade de Ribeirão Preto,Brazil,Ribeirao Preto,Latin America,n/a,https://www.topuniversities.com/universities/universidade-de-ribeirao-preto,https://www.topuniversities.com/sites/default/files/universidade-de-ribeiro-preto_592560cf2aeae70239af5520_medium.jpg,32.3,201+,12,201+,8.1,151+,24.9,201+,67.4,88,27.9,201+,13.3,201+,3.6,151+
301-350,345,Universidade do Estado de Minas Gerais,Brazil,Belo Horizonte,Latin America,n/a,https://www.topuniversities.com/universities/universidade-do-estado-de-minas-gerais,https://www.topuniversities.com/sites/default/files/universidade-do-estado-de-minas-gerais_592560cf2aeae70239af596e_medium.jpg,8.5,201+,6.1,201+,16.3,151+,32.9,199,34,170,13.4,201+,14.6,201+,20.2,151+
301-350,346,Universidade do Estado do Pará,Brazil,Belém,Latin America,n/a,https://www.topuniversities.com/universities/universidade-do-estado-do-para,https://www.topuniversities.com/sites/default/files/universidade-do-estado-do-par_592560cf2aeae70239af5523_medium.jpg,31.4,201+,8,201+,6.8,151+,69.4,71,18.7,201+,28.6,201+,11.7,201+,2.5,151+
301-350,347,Universidade do Oeste Paulista,Brazil,"Presidente Prudente, São Paulo",Latin America,n/a,https://www.topuniversities.com/universities/universidade-do-oeste-paulista,,56.9,110,16.9,201+,1.9,151+,29.8,201+,64.8,95,13.6,201+,n/a,n/a,n/a,n/a
301-350,348,Universidade do Vale do Itajaí (UNIVALI),Brazil,Itajaí,Latin America,n/a,https://www.topuniversities.com/universities/universidade-do-vale-do-itajai-univali,https://www.topuniversities.com/sites/default/files/universidade-do-vale-do-itaja-univali_592560cf2aeae70239af5aa6_medium.jpg,49.6,145,29.2,163,4.7,151+,6.5,201+,29.5,189,28.8,201+,34.7,146,14.3,151+
301-350,349,Universidade do Vale do Paraíba - Univap,Brazil,São José,Latin America,n/a,https://www.topuniversities.com/universities/universidade-do-vale-do-paraiba-univap,https://www.topuniversities.com/sites/default/files/universidade-do-vale-do-paraba-univap_592560cf2aeae70239af580a_medium.jpg,52.6,127,27.5,172,1,151+,23.7,201+,67.8,86,18.4,201+,19.2,201+,3.6,151+
301-350,350,University of Guyana,Guyana,Georgetown,Latin America,n/a,https://www.topuniversities.com/universities/university-guyana,,87.8,34,3.8,201+,5.4,151+,58.4,100,n/a,n/a,19.9,201+,11.8,201+,n/a,n/a
301-350,351,University of Holguín,Cuba,Holguín,Latin America,n/a,https://www.topuniversities.com/universities/university-holguin,https://www.topuniversities.com/sites/default/files/university-of-holgun_592560cf2aeae70239af54cd_medium.jpg,2.2,201+,1.5,201+,7.1,151+,100,4,1.5,201+,16.4,201+,12.6,201+,13.1,151+
301-350,352,University of Trinidad and Tobago,Trinidad & Tobago,Wallerfield,Latin America,n/a,https://www.topuniversities.com/universities/university-trinidad-tobago,,21.9,201+,2.9,201+,2.6,151+,100,7,n/a,n/a,11.3,201+,26.3,200,6.2,151+
351-400,353,Fundación Universitaria Konrad Lorenz,Colombia,Bogotá,Latin America,n/a,https://www.topuniversities.com/universities/fundacion-universitaria-konrad-lorenz,https://www.topuniversities.com/sites/default/files/LOGO-VERTICAL-K-COLOR-200x200-1-90x90.jpg,36.5,190,34.5,139,8.4,151+,13,201+,11.1,201+,20.6,201+,14.3,201+,6.7,151+
351-400,354,Ibmec,Brazil,Rio de Janeiro,Latin America,n/a,https://www.topuniversities.com/universities/ibmec,,31.8,201+,73,65,4.3,151+,3,201+,30.6,183,n/a,n/a,n/a,n/a,16.5,151+
351-400,355,Instituto Federal do Espírito Santo,Brazil,Vitória,Latin America,n/a,https://www.topuniversities.com/universities/instituto-federal-do-espirito-santo,,40.7,171,13.9,201+,1.6,151+,23.1,201+,n/a,n/a,20.9,201+,61.2,57,6.2,151+
351-400,356,Instituto Tecnológico Metropolitano - ITM ,Colombia,Medellín,Latin America,n/a,https://www.topuniversities.com/universities/instituto-tecnologico-metropolitano-itm,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-metropolitano-itm-_592560cf2aeae70239af5484_medium.jpg,20,201+,23,193,10.5,151+,6.2,201+,7.4,201+,32.9,201+,11.9,201+,8.8,151+
351-400,357,UNIVA Universidad del Valle de Atemajac,Mexico,Guadalajara,Latin America,n/a,https://www.topuniversities.com/universities/univa-universidad-del-valle-de-atemajac,https://www.topuniversities.com/sites/default/files/univa-universidad-del-valle-de-atemajac_592560cf2aeae70239af5a30_medium.jpg,n/a,n/a,1.8,201+,9.6,151+,53.5,112,30.5,184,n/a,n/a,8.4,201+,7.9,151+
351-400,358,UNIVERSIDAD NACIONAL DE TRES DE FEBRERO,Argentina,Buenos Aires,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-tres-de-febrero,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-tres-de-febrero_592560df9988f300e2320983_medium.jpg,1.6,201+,6,201+,18.8,151+,45.5,134,n/a,n/a,8.2,201+,24.6,201+,13.4,151+
351-400,359,Universidad Ana G. Méndez,Puerto Rico,San Juan,Latin America,n/a,https://www.topuniversities.com/universities/universidad-ana-g-mendez,https://www.topuniversities.com/sites/default/files/231220022744pm686801uagm-logo-90x90.jpg,45.5,157,4.8,201+,5.7,151+,15.7,201+,15.7,201+,12.6,201+,12.2,201+,13,151+
351-400,360,Universidad Argentina John F. Kennedy,Argentina,Buenos Aires,Latin America,n/a,https://www.topuniversities.com/universities/universidad-argentina-john-f-kennedy,https://www.topuniversities.com/sites/default/files/universidad-argentina-john-f.-kennedy_592560cf2aeae70239af5495_medium.jpg,n/a,n/a,1.2,201+,13,151+,56.2,106,n/a,n/a,n/a,n/a,7.4,201+,30.3,142
351-400,361,Universidad Autónoma De Occidente ,Colombia,Cali,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-de-occidente,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-occidente-_592560cf2aeae70239af54a2_medium.jpg,21.8,201+,18.5,201+,11.3,151+,14.1,201+,22.6,201+,19.6,201+,17.9,201+,9.6,151+
351-400,362,Universidad Autónoma de Chiapas (UNACH),Mexico,Tuxtla Gutiérrez,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-de-chiapas-unach,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-chiapas-unach_592560cf2aeae70239af549a_medium.jpg,11.2,201+,5.8,201+,10.4,151+,26.1,201+,23.1,201+,29.2,201+,14.1,201+,3,151+
351-400,363,Universidad Autónoma de Guerrero (UAGRO),Mexico,Chilpancingo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-de-guerrero-uagro,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-guerrero-uagro_592560cf2aeae70239af54a1_medium.jpg,22.8,201+,11.8,201+,5.6,151+,9.4,201+,26.9,200,25.2,201+,26.9,192,6.3,151+
351-400,364,Universidad Autónoma de Manizales ,Colombia,Manizales,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-de-manizales,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-manizales-_592560cf2aeae70239af54a3_medium.jpg,10.8,201+,31.5,153,10.8,151+,25.8,201+,14.1,201+,32.3,201+,15.4,201+,7.9,151+
351-400,365,Universidad Autónoma de Santo Domingo (UASD),Dominican Republic,Santo Domingo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-de-santo-domingo-uasd,https://www.topuniversities.com/sites/default/files/230818013640pm458491logouasd-90x90.jpg,9.7,201+,1.6,201+,16.9,151+,1.9,201+,5.8,201+,16.6,201+,15.3,201+,24.7,151+
351-400,366,Universidad Autónoma de Sinaloa (UAS),Mexico,Culiacán,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-de-sinaloa-uas,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-sinaloa-uas_592560cf2aeae70239af54a6_medium.jpg,32.8,201+,2.6,201+,14.8,151+,5.8,201+,7,201+,38.5,201+,20.2,201+,6.3,151+
