rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_paper_score,citations_per_paper_rank,papers_per_faculty_score,papers_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,staff_with_phd_score,staff_with_phd_rank,international_research_network_score,international_research_network_rank,web_impact_score,web_impact_rank,employer_reputation_score,employer_reputation_rank
351-400,387,Universidad de Ibagué,Colombia,Ibagué,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-ibague,https://www.topuniversities.com/sites/default/files/universidad-de-ibagu_592560cf2aeae70239af54ce_medium.jpg,28,201+,32.3,150,8.2,151+,13.7,201+,10,201+,54.8,144,12.3,201+,4.6,151+
351-400,388,Universidad de Matanzas Camilo Cienfuegos,Cuba,Matanzas,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-matanzas-camilo-cienfuegos,,2.7,201+,4,201+,15.4,151+,74.7,60,n/a,n/a,16,201+,10,201+,4.4,151+
351-400,389,Universidad del Norte - Paraguay,Paraguay,Asunción,Latin America,n/a,https://www.topuniversities.com/universities/universidad-del-norte-paraguay,https://www.topuniversities.com/sites/default/files/universidad-del-norte-paraguay_592560ea9988f300e2322727_medium.jpg,n/a,n/a,1.2,201+,23.1,151+,9.3,201+,36.5,161,n/a,n/a,7,201+,11.4,151+
351-400,390,Universidade Catolica de Brasilia,Brazil,Brasília,Latin America,n/a,https://www.topuniversities.com/universities/universidade-catolica-de-brasilia,,69.8,70,18.9,201+,7.1,151+,16.3,201+,n/a,n/a,32.9,201+,5.5,201+,3.6,151+
351-400,391,Universidade Estadual da Paraíba,Brazil,Campina Grande,Latin America,n/a,https://www.topuniversities.com/universities/universidade-estadual-da-paraiba,https://www.topuniversities.com/sites/default/files/universidade-estadual-da-paraba_592560cf2aeae70239af5527_medium.jpg,12.1,201+,18.7,201+,6.9,151+,35.5,182,50.1,125,23.7,201+,21.4,201+,n/a,n/a
351-400,392,Universidade Estadual da Região Tocantina do Maranhão,Brazil,Imperatriz,Latin America,n/a,https://www.topuniversities.com/universities/universidade-estadual-da-regiao-tocantina-do-maranhao,,19.8,201+,7.9,201+,2.5,151+,61.1,94,43.3,137,2.2,201+,n/a,n/a,n/a,n/a
351-400,393,Universidade Estadual de Goiàs,Brazil,Goiânia,Latin America,n/a,https://www.topuniversities.com/universities/universidade-estadual-de-goias,https://www.topuniversities.com/sites/default/files/universidade-estadual-de-gois_592560cf2aeae70239af552b_medium.jpg,12,201+,9.1,201+,7.3,151+,71.8,68,14.8,201+,20.2,201+,25,201+,3.6,151+
351-400,394,Universidade Estadual de Montes Claros ,Brazil,Montes Claros,Latin America,n/a,https://www.topuniversities.com/universities/universidade-estadual-de-montes-claros,https://www.topuniversities.com/sites/default/files/universidade-estadual-de-montes-claros-_592560cf2aeae70239af552a_medium.jpg,4.5,201+,12.6,201+,4.4,151+,75.1,57,25.2,201+,11.8,201+,21.4,201+,2.5,151+
351-400,395,Universidade Estadual do Centro-Oeste ,Brazil,Guarapuava,Latin America,n/a,https://www.topuniversities.com/universities/universidade-estadual-do-centro-oeste,https://www.topuniversities.com/sites/default/files/universidade-estadual-do-centro-oeste-_592560cf2aeae70239af552d_medium.jpg,5.4,201+,20.9,201+,2,151+,34.1,191,70,80,10.4,201+,18.7,201+,10,151+
351-400,396,Universidade Estadual do Maranhão,Brazil,São Luís,Latin America,n/a,https://www.topuniversities.com/universities/universidade-estadual-do-maranhao,https://www.topuniversities.com/sites/default/files/universidade-estadual-do-maranho_592560cf2aeae70239af552f_medium.jpg,4.7,201+,18.2,201+,5.6,151+,26.5,201+,39.4,150,27.2,201+,40.5,116,3.6,151+
351-400,397,Universidade Estadual do Piaui,Brazil,Teresina,Latin America,n/a,https://www.topuniversities.com/universities/universidade-estadual-do-piaui,,7.8,201+,9.2,201+,2.5,151+,49.2,124,72.8,77,9.1,201+,n/a,n/a,n/a,n/a
351-400,398,Universidade Ibirapuera,Brazil,São Paulo,Latin America,n/a,https://www.topuniversities.com/universities/universidade-ibirapuera,https://www.topuniversities.com/sites/default/files/universidade-ibirapuera_592560cf2aeae70239af561f_medium.jpg,92.5,24,34.9,137,3.5,151+,14.7,201+,n/a,n/a,5.9,201+,4.7,201+,7.9,151+
351-400,399,Universidade Luterana do Brasil ,Brazil,Canoas,Latin America,n/a,https://www.topuniversities.com/universities/universidade-luterana-do-brasil,https://www.topuniversities.com/sites/default/files/universidade-luterana-do-brasil-_592560cf2aeae70239af5552_medium.jpg,34.5,201+,6.7,201+,17.4,151+,4.6,201+,23.9,201+,11.6,201+,14.5,201+,13.9,151+
351-400,400,Universidade Positivo (UP),Brazil,Curitiba,Latin America,n/a,https://www.topuniversities.com/universities/universidade-positivo,https://www.topuniversities.com/sites/default/files/240731052110pm26025001.-UNIVERSIDADE-POSITIVO-AZUL-90x90.jpg,51.1,138,20.6,201+,1.8,151+,7.1,201+,24.1,201+,23,201+,16.5,201+,7.9,151+
351-400,401,Universidade Potiguar,Brazil,Natal,Latin America,n/a,https://www.topuniversities.com/universities/universidade-potiguar,https://www.topuniversities.com/sites/default/files/universidade-potiguar_24575_medium.jpg,80.4,53,7.8,201+,n/a,n/a,2.3,201+,35.9,165,n/a,n/a,8.5,201+,6,151+
351-400,402,Universidade Regional Integrada do Alto Uruguai e das Missoes,Brazil,Erechim,Latin America,n/a,https://www.topuniversities.com/universities/universidade-regional-integrada-do-alto-uruguai-e-das-missoes,,22.8,201+,9.7,201+,2.4,151+,58.4,101,37.6,156,2.2,201+,n/a,n/a,n/a,n/a
351-400,403,Universidade Veiga de Almeida,Brazil,Rio de Janeiro,Latin America,n/a,https://www.topuniversities.com/universities/universidade-veiga-de-almeida,https://www.topuniversities.com/sites/default/files/universidade-veiga-de-almeida_592560cf2aeae70239af585a_medium.jpg,99.9,6,10.8,201+,1.5,151+,9.5,201+,7.3,201+,4.9,201+,10.7,201+,4.5,151+
351-400,404,Universidade da Regiao de Joinville,Brazil,Joinville,Latin America,n/a,https://www.topuniversities.com/universities/universidade-da-regiao-de-joinville,,22.4,201+,13.6,201+,1.2,151+,59.2,99,40.9,144,5.2,201+,n/a,n/a,n/a,n/a
351-400,405,Universidade do Oeste de Santa Catarina,Brazil,Joaçaba,Latin America,n/a,https://www.topuniversities.com/universities/universidade-do-oeste-de-santa-catarina,,58.7,104,9.1,201+,1.9,151+,12.4,201+,37.5,157,5.3,201+,17.6,201+,n/a,n/a
401+,406,Centro Universitario de Belo Horizonte,Brazil,Belo Horizonte,Latin America,n/a,https://www.topuniversities.com/universities/centro-universitario-de-belo-horizonte,,n/a,n/a,8,201+,1.8,151+,5,201+,60.4,102,3.8,201+,9.6,201+,4.4,151+
401+,407,Centro Universitário Ritter dos Reis,Brazil,Porto Alegre,Latin America,n/a,https://www.topuniversities.com/universities/centro-universitario-ritter-dos-reis,https://www.topuniversities.com/sites/default/files/centro-universitrio-ritter-dos-reis_24568_medium.jpg,n/a,n/a,n/a,n/a,4.1,151+,3.3,201+,28.7,192,n/a,n/a,n/a,n/a,22.5,151+
401+,408,Colégio Mayor de Antioquia,Colombia,Medellin,Latin America,n/a,https://www.topuniversities.com/universities/colegio-mayor-de-antioquia,https://www.topuniversities.com/sites/default/files/colgio-mayor-de-antioquia_592560e09988f300e2320bc0_medium.jpg,52,131,7.9,201+,2.5,151+,21,201+,2.3,201+,1.7,201+,12.4,201+,4.2,151+
401+,409,Corporación Universitaria Minuto de Dios - UNIMINUTO,Colombia,Bogotá,Latin America,n/a,https://www.topuniversities.com/universities/corporacion-universitaria-minuto-de-dios-uniminuto,https://www.topuniversities.com/sites/default/files/corporacin-universitaria-minuto-de-dios-uniminuto_5ab8d86e6ee6c841f64196dd_medium.jpg,1.9,201+,4,201+,14.9,151+,6.5,201+,2.4,201+,18.5,201+,27.9,180,14.1,151+
401+,410,Escuela Superior de Administracion Pública (ESAP),Colombia,Bogotá,Latin America,n/a,https://www.topuniversities.com/universities/escuela-superior-de-administracion-publica-esap,https://www.topuniversities.com/sites/default/files/escuela-superior-de-administracion-pblica-esap_592560cf2aeae70239af52c2_medium.jpg,n/a,n/a,1.2,201+,10.5,151+,17.6,201+,3.6,201+,n/a,n/a,24.7,201+,20.5,151+
401+,411,Federal Rural University of the Semi-Arid Region,Brazil,Mossoró,Latin America,n/a,https://www.topuniversities.com/universities/federal-rural-university-semi-arid-region,,4.7,201+,44.7,112,3.2,151+,25.1,201+,n/a,n/a,27.9,201+,22.4,201+,10,151+
401+,412,Fundacion Universitaria del Area Andina- AREANDINA,Colombia,Bogotá,Latin America,n/a,https://www.topuniversities.com/universities/fundacion-universitaria-del-area-andina-areandina,https://www.topuniversities.com/sites/default/files/fundacin-universitaria-del-rea-andina-areandina_592560ea9988f300e232271d_medium.jpg,7.3,201+,2.6,201+,12.8,151+,12.1,201+,2.5,201+,4.6,201+,12.8,201+,6.8,151+
401+,413,Fundación Universitaria Juan N. Corpas,Colombia,"Bogotá,",Latin America,n/a,https://www.topuniversities.com/universities/fundacion-universitaria-juan-n-corpas,https://www.topuniversities.com/sites/default/files/230904015324pm209255Juan-Corpas-logo-200x200-90x90.jpg,n/a,n/a,9.4,201+,6.8,151+,18.9,201+,12.1,201+,2.2,201+,7.1,201+,5.3,151+
401+,414,Pontificia Universidad Católica de Puerto Rico,Puerto Rico,Ponce,Latin America,n/a,https://www.topuniversities.com/universities/pontificia-universidad-catolica-de-puerto-rico,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-puerto-rico_592560e09988f300e2320d12_medium.jpg,n/a,n/a,1.6,201+,13.2,151+,16.3,201+,n/a,n/a,n/a,n/a,14,201+,24.2,151+
401+,415,Senac São Paulo,Brazil,São Paulo,Latin America,n/a,https://www.topuniversities.com/universities/senac-sao-paulo,https://www.topuniversities.com/sites/default/files/senac-so-paulo_592560cf2aeae70239af548f_medium.jpg,n/a,n/a,1.6,201+,2.9,151+,6.9,201+,n/a,n/a,n/a,n/a,5.2,201+,17.8,151+
401+,416,Universidad Tecmilenio,Mexico,Monterrey,Latin America,n/a,https://www.topuniversities.com/universities/universidad-tecmilenio,https://www.topuniversities.com/sites/default/files/universidad-tecmilenio_592560de9988f300e2320863_medium.jpg,n/a,n/a,1,201+,3.8,151+,24.2,201+,2.2,201+,n/a,n/a,11.5,201+,14,151+
401+,417,Universidad APEC,Dominican Republic,Santo Domingo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-apec,https://www.topuniversities.com/sites/default/files/universidad-accion-pro-educacin-y-cultura_592560df9988f300e23209fc_medium.jpg,n/a,n/a,1.2,201+,7.2,151+,13.5,201+,2,201+,n/a,n/a,7.5,201+,17.8,151+
401+,418,Universidad Americana  ,Paraguay,Asunción,Latin America,n/a,https://www.topuniversities.com/universities/universidad-americana,https://www.topuniversities.com/sites/default/files/universidad-americana-_592560cf2aeae70239af5491_medium.jpg,n/a,n/a,3.3,201+,14.5,151+,1.3,201+,12.4,201+,11.1,201+,4.5,201+,17.5,151+
401+,419,Universidad Autnoma Toms Fras,Bolivia,Potosi,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autnoma-toms-fras,https://www.topuniversities.com/sites/default/files/210802013604pm463130Webp.net-resizeimage-2021-08-02T163600.733-90x90.jpg,n/a,n/a,1.2,201+,6.1,151+,7.7,201+,1.4,201+,n/a,n/a,4.1,201+,3.7,151+
401+,420,Universidad Autnoma del Beni Jos Ballivin,Bolivia,Trinidad,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autnoma-del-beni-jos-ballivin,https://www.topuniversities.com/sites/default/files/210802014102pm372975Webp.net-resizeimage-2021-08-02T164057.250-90x90.jpg,n/a,n/a,1.7,201+,2.7,151+,6.4,201+,n/a,n/a,7.8,201+,4.8,201+,n/a,n/a
401+,421,Universidad Autónoma de Asunción (UAA),Paraguay,Asunción,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-de-asuncion-uaa,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-asuncin-uaa_592560cf2aeae70239af5497_medium.jpg,n/a,n/a,3.4,201+,13.2,151+,7.2,201+,8.6,201+,6.2,201+,8.3,201+,18.2,151+
401+,422,Universidad Autónoma de Nayarit,Mexico,Tepic,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-de-nayarit,https://www.topuniversities.com/sites/default/files/universidad-autnoma-de-nayarit_592560cf2aeae70239af5693_medium.jpg,20.5,201+,6.9,201+,5.5,151+,31,201+,12.7,201+,9.1,201+,14.8,201+,4.3,151+
401+,423,Universidad Autónoma del Peru,Peru,Villa El Salvador,Latin America,n/a,https://www.topuniversities.com/universities/universidad-autonoma-del-peru,https://www.topuniversities.com/sites/default/files/240422050739pm959931Logo-UA-200x200px-90x90.jpg,1.1,201+,77,57,5.9,151+,1.9,201+,n/a,n/a,7.5,201+,3.7,201+,n/a,n/a
401+,424,Universidad Catolica de Manizales,Colombia,Manizales,Latin America,n/a,https://www.topuniversities.com/universities/universidad-catolica-de-manizales,https://www.topuniversities.com/sites/default/files/211011104632pm290718TopUniversities-QS-02-90x90.jpg,3.5,201+,12,201+,10,151+,23.3,201+,8,201+,1.7,201+,10.3,201+,8.5,151+
401+,425,Universidad Católica Santo Domingo (UCSD),Dominican Republic,Santo Domingo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-catolica-santo-domingo-ucsd,https://www.topuniversities.com/sites/default/files/universidad-catlica-santo-domingo-ucsd_592560cf2aeae70239af54b5_medium.jpg,n/a,n/a,1.2,201+,8.2,151+,15.4,201+,n/a,n/a,n/a,n/a,4.6,201+,5.8,151+
401+,426,Universidad Católica Silva Henríquez,Chile,Santiago,Latin America,n/a,https://www.topuniversities.com/universities/universidad-catolica-silva-henriquez,https://www.topuniversities.com/sites/default/files/universidad-catlica-silva-henrquez_592560cf2aeae70239af54b2_medium.jpg,4.9,201+,17.8,201+,13.5,151+,18.5,201+,8.8,201+,8.8,201+,13.3,201+,15.1,151+
401+,427,Universidad Católica Tecnológica del Cibao - UCATECI,Dominican Republic,La Vega,Latin America,n/a,https://www.topuniversities.com/universities/universidad-catolica-tecnologica-del-cibao-ucateci,https://www.topuniversities.com/sites/default/files/universidad-catlica-tecnolgica-del-cibao-ucateci_592560cf2aeae70239af5682_medium.jpg,n/a,n/a,1.5,201+,4.4,151+,23,201+,n/a,n/a,n/a,n/a,4.1,201+,7.5,151+
401+,428,Universidad Católica de El Salvador,El Salvador,Santa Ana,Latin America,n/a,https://www.topuniversities.com/universities/universidad-catolica-de-el-salvador,https://www.topuniversities.com/sites/default/files/universidad-catlica-de-el-salvador_592560cf2aeae70239af5399_medium.jpg,n/a,n/a,2.4,201+,14.5,151+,14.1,201+,1.1,201+,n/a,n/a,4.8,201+,3.5,151+
401+,429,Universidad Central del Este,Dominican Republic,San Pedro de Macorís,Latin America,n/a,https://www.topuniversities.com/universities/universidad-central-del-este,https://www.topuniversities.com/sites/default/files/universidad-central-del-este_592560cf2aeae70239af54bf_medium.jpg,n/a,n/a,1.8,201+,5.5,151+,12.8,201+,5.8,201+,16.6,201+,5.7,201+,9,151+
401+,430,Universidad Centroamericana (UCA),Nicaragua,Managua,Latin America,n/a,https://www.topuniversities.com/universities/universidad-centroamericana-uca,https://www.topuniversities.com/sites/default/files/universidad-centroamericana-uca_2623_medium.jpg,n/a,n/a,1.6,201+,9.9,151+,6.5,201+,4.2,201+,n/a,n/a,11.8,201+,14.4,151+
401+,431,Universidad Continental,Peru,Huancayo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-continental,https://www.topuniversities.com/sites/default/files/220329022436pm284373VERTICAL-ok-90x90.jpg,1.7,201+,12.4,201+,6.5,151+,4.8,201+,6.2,201+,54.2,146,11.2,201+,3.8,151+
401+,432,Universidad Cristiana de Bolivia,Bolivia,Santa Cruz de la Sierra,Latin America,n/a,https://www.topuniversities.com/universities/universidad-cristiana-de-bolivia,https://www.topuniversities.com/sites/default/files/universidad-cristiana-de-bolivia_5b474e0446113256395eed4c_medium.jpg,n/a,n/a,n/a,n/a,7.7,151+,34.4,189,1.2,201+,n/a,n/a,2.7,201+,5.9,151+
401+,433,Universidad Cristóbal Colón,Mexico,Veracruz,Latin America,n/a,https://www.topuniversities.com/universities/universidad-cristobal-colon,https://www.topuniversities.com/sites/default/files/universidad-cristbal-coln_592560cf2aeae70239af54c3_medium.jpg,n/a,n/a,6.9,201+,5.1,151+,43.9,140,n/a,n/a,n/a,n/a,5.9,201+,n/a,n/a
401+,434,Universidad Cuauhtémoc - Campus Guadalajara,Mexico,Guadalajara,Latin America,n/a,https://www.topuniversities.com/universities/universidad-cuauhtemoc-campus-guadalajara,https://www.topuniversities.com/sites/default/files/universidad-cuauhtmoc-campus-guadalajara_592560cf2aeae70239af5a3d_medium.jpg,n/a,n/a,49.6,100,4.1,151+,1,201+,2.6,201+,3.8,201+,2.9,201+,6.3,151+
401+,435,Universidad César Vallejo,Peru,Trujillo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-cesar-vallejo,https://www.topuniversities.com/sites/default/files/220929123023am611274logo-universidad-cesar-vallejo-90x90.jpg,1,201+,3,201+,9.6,151+,12.3,201+,17.7,201+,22.2,201+,48.9,86,3.8,151+
401+,436,Universidad Dominicana O&M (EXAE ),Dominican Republic,Santo Domingo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-dominicana-om-exae,https://www.topuniversities.com/sites/default/files/universidad-dominicana-om-exae-_592560cf2aeae70239af52c4_medium.jpg,n/a,n/a,n/a,n/a,3.9,151+,2.9,201+,n/a,n/a,n/a,n/a,4.7,201+,13.4,151+
401+,437,Universidad Don Bosco,El Salvador,San Salvador/Soyapango,Latin America,n/a,https://www.topuniversities.com/universities/universidad-don-bosco,https://www.topuniversities.com/sites/default/files/220118011204pm631136Logo-UDB-reducido-90x90.jpg,1.1,201+,4.7,201+,13.8,151+,3.5,201+,4.7,201+,10.5,201+,8.3,201+,32.5,132
401+,438,Universidad ECCI ,Colombia,Bogotá,Latin America,n/a,https://www.topuniversities.com/universities/universidad-ecci,https://www.topuniversities.com/sites/default/files/universidad-ecci-_592560cf2aeae70239af547c_medium.jpg,1.8,201+,6.4,201+,2.9,151+,5.1,201+,2.4,201+,9.2,201+,6.9,201+,7.9,151+
401+,439,Universidad Estatal de Sonora,Mexico,Hermosillo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-estatal-de-sonora,https://www.topuniversities.com/sites/default/files/universidad-estatal-de-sonora_592560cf2aeae70239af5479_medium.jpg,n/a,n/a,1,201+,5,151+,5,201+,11.3,201+,n/a,n/a,6.2,201+,8.2,151+
401+,440,Universidad Evangelica de El Salvador,El Salvador,San Salvador,Latin America,n/a,https://www.topuniversities.com/universities/universidad-evangelica-de-el-salvador,https://www.topuniversities.com/sites/default/files/universidad-evangelica-de-el-salvador_592560cf2aeae70239af565e_medium.jpg,n/a,n/a,1.6,201+,2,151+,20,201+,1.3,201+,1,201+,5,201+,10.4,151+
401+,441,Universidad Federico Henríquez y Carvajal (UFHEC),Dominican Republic,Santo Domingo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-federico-henriquez-y-carvajal-ufhec,https://www.topuniversities.com/sites/default/files/240109035548am334927ufhec-logo-oficial-90x90.jpg,n/a,n/a,2.3,201+,2.3,151+,4,201+,2.2,201+,4.9,201+,4.3,201+,4,151+
401+,442,Universidad Francisco Gavidia,El Salvador,San Salvador,Latin America,n/a,https://www.topuniversities.com/universities/universidad-francisco-gavidia,https://www.topuniversities.com/sites/default/files/250909080826am931609LOGO-UFG-90x90.jpg,n/a,n/a,1.5,201+,9.2,151+,4.5,201+,1.6,201+,3.5,201+,8.2,201+,13.5,151+
401+,443,Universidad Interamericana de Panamá ,Panama,Panama City,Latin America,n/a,https://www.topuniversities.com/universities/universidad-interamericana-de-panama,https://www.topuniversities.com/sites/default/files/universidad-interamericana-de-panam-_592560cf2aeae70239af54f7_medium.jpg,n/a,n/a,1.7,201+,16.8,151+,9.2,201+,1.7,201+,n/a,n/a,4.6,201+,21.2,151+
401+,444,Universidad Juárez Autónoma de Tabasco (UJAT),Mexico,Villahermosa,Latin America,n/a,https://www.topuniversities.com/universities/universidad-juarez-autonoma-de-tabasco-ujat,https://www.topuniversities.com/sites/default/files/universidad-jurez-autnoma-de-tabasco-ujat_592560cf2aeae70239af54f9_medium.jpg,26.4,201+,10.4,201+,7.9,151+,29,201+,16.2,201+,16.9,201+,13.6,201+,4.2,151+
401+,445,Universidad Latina de Panamà,Panama,Panama City,Latin America,n/a,https://www.topuniversities.com/universities/universidad-latina-de-panama,https://www.topuniversities.com/sites/default/files/universidad-latina-de-panam_592560cf2aeae70239af54fc_medium.jpg,n/a,n/a,1.5,201+,9.3,151+,4.8,201+,n/a,n/a,3.5,201+,4,201+,20.4,151+
401+,446,Universidad Manuela Beltrán,Colombia,Bogota,Latin America,n/a,https://www.topuniversities.com/universities/universidad-manuela-beltran,https://www.topuniversities.com/sites/default/files/230116093223pm548132Logo-UMB-horizontal-90x90.jpg,49.7,144,8,201+,2.9,151+,41.6,151,4.4,201+,11.5,201+,8.2,201+,n/a,n/a
401+,447,Universidad Mexiquense del Bicentenario,Mexico,Ocoyoacac,Latin America,n/a,https://www.topuniversities.com/universities/universidad-mexiquense-del-bicentenario,https://www.topuniversities.com/sites/default/files/universidad-mexiquense-del-bicentenario_5cd1618510ca6074830512e7_medium.jpg,n/a,n/a,n/a,n/a,n/a,n/a,10.6,201+,7.4,201+,n/a,n/a,n/a,n/a,4.8,151+
401+,448,Universidad Modelo,Mexico,MÃ©rida,Latin America,n/a,https://www.topuniversities.com/universities/universidad-modelo,,n/a,n/a,4,201+,2.1,151+,26.8,201+,5.9,201+,n/a,n/a,4.5,201+,4.3,151+
401+,449,Universidad Nacional Autónoma de Nicaragua ,Nicaragua,Managua,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-autonoma-de-nicaragua,https://www.topuniversities.com/sites/default/files/universidad-nacional-autnoma-de-nicaragua-_592560cf2aeae70239af54ae_medium.jpg,n/a,n/a,1.8,201+,20.1,151+,4,201+,2.3,201+,15.2,201+,27.2,189,8.4,151+
401+,450,Universidad Nacional de Lanús (UNLa),Argentina,Remedios de Escalada,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-lanus-unla,https://www.topuniversities.com/sites/default/files/national-university-of-lans_592560df9988f300e232097d_medium.jpg,2.8,201+,3.2,201+,14.8,151+,11,201+,3.3,201+,7.6,201+,16.9,201+,4.7,151+
401+,451,Universidad Nacional de Lomas de Zamora,Argentina,Lomas de Zamora,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-lomas-de-zamora,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-lomas-de-zamora_592560cf2aeae70239af568d_medium.jpg,17.3,201+,1.6,201+,7.9,151+,28,201+,1,201+,5.8,201+,9.8,201+,12.4,151+
401+,452,Universidad Nacional de Pilar,Paraguay,Pilar,Latin America,n/a,https://www.topuniversities.com/universities/universidad-nacional-de-pilar,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-pilar_592560cf2aeae70239af5509_medium.jpg,n/a,n/a,1.2,201+,6.2,151+,10.5,201+,n/a,n/a,n/a,n/a,4.1,201+,8.6,151+
401+,453,Universidad Pedagógica Nacional Francisco Morazán (UPNFM),Honduras,Tegucigalpa,Latin America,n/a,https://www.topuniversities.com/universities/universidad-pedagogica-nacional-francisco-morazan-upnfm,https://www.topuniversities.com/sites/default/files/universidad-pedaggica-nacional-francisco-morazn-upnfm_592560df9988f300e2320a0a_medium.jpg,n/a,n/a,1.6,201+,12.1,151+,3.9,201+,7.1,201+,2.7,201+,7.4,201+,12.2,151+
401+,454,Universidad Privada Dr. Rafael Belloso Chacín,Venezuela,Maracaibo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-privada-dr-rafael-belloso-chacin,https://www.topuniversities.com/sites/default/files/universidad-privada-dr.-rafael-belloso-chacn_592560cf2aeae70239af54b0_medium.jpg,n/a,n/a,2,201+,6.7,151+,10,201+,38.5,153,11,201+,14.4,201+,2.1,151+
401+,455,Universidad Privada San Juan Bautista,Peru,Lima,Latin America,n/a,https://www.topuniversities.com/universities/universidad-privada-san-juan-bautista,https://www.topuniversities.com/sites/default/files/220210081923pm693025AF-LOGO-UPSJB-R-NACIONALES-E-INTER-90x90.jpg,2.4,201+,7.1,201+,2.3,151+,45,136,6.3,201+,29.7,201+,6.1,201+,n/a,n/a
401+,456,Universidad Privada del Valle (Univalle),Bolivia,Tiquipaya,Latin America,n/a,https://www.topuniversities.com/universities/universidad-privada-del-valle-univalle,https://www.topuniversities.com/sites/default/files/universidad-privada-del-valle-univalle_592560df9988f300e23209f3_medium.jpg,n/a,n/a,1.6,201+,11.5,151+,5.1,201+,4.6,201+,n/a,n/a,7.3,201+,16,151+
401+,457,Universidad Regiomontana,Mexico,Monterrey,Latin America,n/a,https://www.topuniversities.com/universities/universidad-regiomontana,https://www.topuniversities.com/sites/default/files/universidad-regiomontana_592560cf2aeae70239af513f_medium.jpg,n/a,n/a,1.2,201+,3.5,151+,37.1,170,2.1,201+,n/a,n/a,2.9,201+,7.9,151+
401+,458,Universidad Regional Autónoma de Los Andes,Ecuador,Ambato,Latin America,n/a,https://www.topuniversities.com/universities/universidad-regional-autonoma-de-los-andes,https://www.topuniversities.com/sites/default/files/250404043011pm623416LOGO-UNIANDES-200X200-jpg-90x90.jpg,1.1,201+,24.5,186,1.2,151+,16.7,201+,n/a,n/a,14,201+,13.3,201+,n/a,n/a
401+,459,Universidad San Francisco Xavier (USFX),Bolivia,Sucre,Latin America,n/a,https://www.topuniversities.com/universities/universidad-san-francisco-xavier-usfx,https://www.topuniversities.com/sites/default/files/universidad-mayor-de-san-francisco-xavier_592560df9988f300e23209e5_medium.jpg,n/a,n/a,1.9,201+,19.6,151+,4.7,201+,6.3,201+,17.7,201+,13.9,201+,16.1,151+
401+,460,Universidad Tecnológica Privada de Santa Cruz (UTEPSA),Bolivia,Santa Cruz de la Sierra,Latin America,n/a,https://www.topuniversities.com/universities/universidad-tecnologica-privada-de-santa-cruz-utepsa,https://www.topuniversities.com/sites/default/files/universidad-tecnolgica-privada-de-santa-cruz_592560e29988f300e2321196_medium.jpg,n/a,n/a,n/a,n/a,4.5,151+,2.1,201+,2.1,201+,n/a,n/a,3.8,201+,2.1,151+
401+,461,Universidad Tecnológica de El Salvador (UTEC),El Salvador,San Salvador,Latin America,n/a,https://www.topuniversities.com/universities/universidad-tecnologica-de-el-salvador-utec,https://www.topuniversities.com/sites/default/files/universidad-tecnolgica-de-el-salvador-utec_592560cf2aeae70239af5687_medium.jpg,n/a,n/a,1.5,201+,9.3,151+,3.5,201+,1.8,201+,11,201+,8.7,201+,11.7,151+
401+,462,Universidad Tecnológica de Honduras (UTH),Honduras,San Pedro Sula,Latin America,n/a,https://www.topuniversities.com/universities/universidad-tecnologica-de-honduras-uth,https://www.topuniversities.com/sites/default/files/universidad-tecnolgica-de-honduras-uth_592560df9988f300e2320a06_medium.jpg,n/a,n/a,n/a,n/a,9.2,151+,5.3,201+,6.2,201+,n/a,n/a,9,201+,13.8,151+
401+,463,Universidad Tecnológica del Centro,Venezuela,Guacara,Latin America,n/a,https://www.topuniversities.com/universities/universidad-tecnologica-del-centro,https://www.topuniversities.com/sites/default/files/universidad-tecnolgica-del-centro_592560cf2aeae70239af589f_medium.jpg,n/a,n/a,1,201+,5.8,151+,45.5,133,3.1,201+,n/a,n/a,3.9,201+,23.5,151+
