rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank,international_research_network_score,international_research_network_rank
=164,164,KFUPM,Saudi Arabia,Dhahran,Asia,69.5,https://www.topuniversities.com/universities/kfupm,https://www.topuniversities.com/sites/default/files/250616011103pm115163linkedin-90x90.jpg,63.2,222,76.7,=332,88.4,=94,70.7,185,55.3,=390
=164,165,Lomonosov Moscow State University,Russia,Moscow,Europe,69.5,https://www.topuniversities.com/universities/lomonosov-moscow-state-university,https://www.topuniversities.com/sites/default/files/lomonosov-moscow-state-university-_592560cf2aeae70239af4c27_medium.jpg,77.2,44,56.6,401+,57.8,401+,69.2,225,63.5,=174
=166,166,Taylor's University,Malaysia,Kuala Lumpur,Asia,69.4,https://www.topuniversities.com/universities/taylors-university,https://www.topuniversities.com/sites/default/files/taylors-university_592560cf2aeae70239af57af_medium.jpg,58.7,=338,79.2,=251,92.9,=18,72.4,=155,54.4,401+
=166,167,Universiti Sains Malaysia (USM),Malaysia,Gelugor,Asia,69.4,https://www.topuniversities.com/universities/universiti-sains-malaysia-usm,https://www.topuniversities.com/sites/default/files/universiti-sains-malaysia-usm_386_medium.jpg,57.4,=386,84,=126,83.9,=393,72.4,=155,68.1,=96
=166,168,University of Wisconsin-Madison,United States,Madison,North America,69.4,https://www.topuniversities.com/universities/university-wisconsin-madison,https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_medium.jpg,52.7,401+,85.1,=104,84.7,=330,75.9,=101,58.1,=311
169,169,Loughborough University,United Kingdom,Loughborough,Europe,69.3,https://www.topuniversities.com/universities/loughborough-university,https://www.topuniversities.com/sites/default/files/loughborough-university_592560cf2aeae70239af4bf3_medium.jpg,64.2,=206,80.1,=229,85.7,=246,68.4,=240,67.1,=116
=170,170,Universidad Adolfo Ibáñez,Chile,Santiago,Latin America,69.2,https://www.topuniversities.com/universities/universidad-adolfo-ibanez,https://www.topuniversities.com/sites/default/files/universidad-adolfo-ibez-_11_medium.jpg,71.9,79,57.3,401+,69.2,401+,73.1,140,31.7,401+
=170,171,Universiti Putra Malaysia (UPM),Malaysia,Serdang,Asia,69.2,https://www.topuniversities.com/universities/universiti-putra-malaysia-upm,https://www.topuniversities.com/sites/default/files/241015052445am567301logo-upm-petak-90x90.jpg,56.7,401+,80.1,=229,85,=306,73.2,=138,63.4,=177
=170,172,University of Liverpool,United Kingdom,Liverpool,Europe,69.2,https://www.topuniversities.com/universities/university-liverpool,https://www.topuniversities.com/sites/default/files/university-of-liverpool_350_medium.jpg,65.8,=170,79.2,=251,83.7,401+,67.1,=285,73.7,=39
=173,173,Maastricht University,Netherlands,Maastricht,Europe,69.1,https://www.topuniversities.com/universities/maastricht-university,https://www.topuniversities.com/sites/default/files/231218042543pm676051UM-triangles-200-x-200-pixels-90x90.jpg,59.8,=310,78.5,=281,85.9,=234,71.4,=171,62.2,=203
=173,174,Middle East Technical University,Türkiye,Ankara,Asia,69.1,https://www.topuniversities.com/universities/middle-east-technical-university,https://www.topuniversities.com/sites/default/files/middle-east-technical-university_2110_medium.jpg,69.8,=106,72,401+,82.6,401+,67.2,=281,58.9,=288
=173,175,Victoria University of Wellington,New Zealand,"Kelburn, Wellington",Oceania,69.1,https://www.topuniversities.com/universities/victoria-university-wellington,https://www.topuniversities.com/sites/default/files/victoria-university-of-wellington_592560cf2aeae70239af4d0f_medium.jpg,61.2,=270,72.9,401+,81,401+,72.7,=147,56.5,=356
176,176,Sun Yat-sen University,China (Mainland),Guangzhou,Asia,69,https://www.topuniversities.com/universities/sun-yat-sen-university,https://www.topuniversities.com/sites/default/files/sun-yat-sen-university_888_medium.jpg,65,=190,87.3,=58,86.7,=178,67.8,=261,50.4,401+
177,177,University of Delhi,India,New Delhi,Asia,68.9,https://www.topuniversities.com/universities/university-delhi,https://www.topuniversities.com/sites/default/files/university-of-delhi_156_medium.jpg,65.6,=176,73.7,401+,74.8,401+,70,=202,62.4,=199
=178,178,Indian Institute of Management (IIM) - Calcutta,India,Kolkata,Asia,68.8,https://www.topuniversities.com/universities/indian-institute-management-iim-calcutta,https://www.topuniversities.com/sites/default/files/indian-institute-of-management-iim-calcutta_592560cf2aeae70239af5204_medium.jpg,79.8,=35,55,401+,61.5,401+,70.4,191,18.2,401+
=178,179,University of Florida,United States,Gainesville,North America,68.8,https://www.topuniversities.com/universities/university-florida,https://www.topuniversities.com/sites/default/files/university-of-florida_212_medium.jpg,57.1,=394,87.8,=48,83.7,401+,69.8,=209,77.8,=21
=178,180,Université catholique de Louvain (UCLouvain),Belgium,Louvain-la-Neuve,Europe,68.8,https://www.topuniversities.com/universities/universite-catholique-de-louvain-uclouvain,https://www.topuniversities.com/sites/default/files/universit-catholique-de-louvain-uclouvain_592560cf2aeae70239af4aed_medium.jpg,62.7,=234,73.3,401+,81.6,401+,70.3,=192,64.7,=155
=181,181,Gadjah Mada University,Indonesia,Yogyakarta,Asia,68.7,https://www.topuniversities.com/universities/gadjah-mada-university,https://www.topuniversities.com/sites/default/files/gadjah-mada-university_219_medium.jpg,63,=226,60.8,401+,70.5,401+,76,100,39.1,401+
=181,182,University of Minnesota (System),United States,Minneapolis,North America,68.7,https://www.topuniversities.com/universities/university-minnesota-system,https://www.topuniversities.com/sites/default/files/university-of-minnesota_408_medium.jpg,51.2,401+,86.4,=79,84.5,=345,75.1,=112,59.1,=281
=181,183,University of Virginia,United States,Charlottesville,North America,68.7,https://www.topuniversities.com/universities/university-virginia,https://www.topuniversities.com/sites/default/files/university-of-virginia_656_medium.jpg,60.9,=280,80.5,=213,85,=306,69.9,=206,61.1,=236
184,184,Queensland University of Technology (QUT),Australia,Brisbane,Oceania,68.6,https://www.topuniversities.com/universities/queensland-university-technology-qut,https://www.topuniversities.com/sites/default/files/queensland-university-of-technology-qut_592560cf2aeae70239af4c88_medium.jpg,57.6,=380,85.6,=91,86.9,=167,69.9,=206,67.7,=102
=185,185,Deakin University,Australia,Melbourne,Oceania,68.5,https://www.topuniversities.com/universities/deakin-university,https://www.topuniversities.com/sites/default/files/download-90x90.png,57.8,=371,84.3,=116,85.6,=255,70,=202,69,85
=185,186,King Saud University,Saudi Arabia,Riyadh,Asia,68.5,https://www.topuniversities.com/universities/king-saud-university,https://www.topuniversities.com/sites/default/files/king-saud-university_1175_medium.jpg,58.3,=348,86.8,=63,87.7,=125,68.2,=245,75.6,28
=187,187,Hitotsubashi University,Japan,Tokyo,Asia,68.4,https://www.topuniversities.com/universities/hitotsubashi-university,https://www.topuniversities.com/sites/default/files/hitotsubashi-university-business-school-school-of-international-corporate-strategy_592560cf2aeae70239af4b8d_medium.jpg,65.1,=188,50.5,401+,62.2,401+,77.4,85,33.9,401+
