rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank,international_research_network_score,international_research_network_rank
=232,232,Dartmouth College,United States,Hanover,North America,66.8,https://www.topuniversities.com/universities/dartmouth-college,https://www.topuniversities.com/sites/default/files/dartmouth-college_592560cf2aeae70239af4b1c_medium.jpg,60.4,=293,76,=360,90.6,=44,68.4,=240,39.7,401+
=232,233,O.P. Jindal Global University (JGU),India,Sonepat,Asia,66.8,https://www.topuniversities.com/universities/op-jindal-global-university-jgu,https://www.topuniversities.com/sites/default/files/o.p.-jindal-global-university_592560cf2aeae70239af5884_medium.jpg,59.7,=314,66.2,401+,79.3,401+,72.3,=157,37.1,401+
=232,234,Universidad del Rosario,Colombia,Bogotá,Latin America,66.8,https://www.topuniversities.com/universities/universidad-del-rosario,https://www.topuniversities.com/sites/default/files/universidad-del-rosario_592560cf2aeae70239af514d_medium.jpg,70.7,=93,50.5,401+,66.1,401+,70.5,=188,30.9,401+
=232,235,University of Jordan,Jordan,Amman,Asia,66.8,https://www.topuniversities.com/universities/university-jordan,https://www.topuniversities.com/sites/default/files/250728110941am245519200-90x90.jpg,66.3,=158,68.8,401+,75.5,401+,67.1,=285,50.3,401+
=232,236,University of the Philippines,Philippines,Quezon City,Asia,66.8,https://www.topuniversities.com/universities/university-philippines,https://www.topuniversities.com/sites/default/files/university-of-the-philippines_498_medium.jpg,63.3,=217,64,401+,71.3,401+,71,=180,43.6,401+
=232,237,Universität Hamburg,Germany,Hamburg,Europe,66.8,https://www.topuniversities.com/universities/universitat-hamburg,https://www.topuniversities.com/sites/default/files/universitt-hamburg_592560cf2aeae70239af4b79_medium.jpg,54.6,401+,76,=360,81.2,401+,71.1,179,61.7,=211
=238,238,Cairo University,Egypt,Giza,Africa,66.7,https://www.topuniversities.com/universities/cairo-university,https://www.topuniversities.com/sites/default/files/cairo-university_80_medium.jpg,65.5,=180,72.4,401+,78.9,401+,66.2,=308,52.5,401+
=238,239,University of Geneva,Switzerland,Geneva,Europe,66.7,https://www.topuniversities.com/universities/university-geneva,https://www.topuniversities.com/sites/default/files/university-of-geneva_221_medium.jpg,64.8,=195,72,401+,79.9,401+,66.3,307,55.2,=392
=240,240,"University of Maryland, College Park",United States,College Park,North America,66.6,https://www.topuniversities.com/universities/university-maryland-college-park,https://www.topuniversities.com/sites/default/files/university-of-maryland-college-park_393_medium.jpg,52.9,401+,86.6,=73,85.6,=255,68.9,=227,68,=98
=240,241,University of Southampton,United Kingdom,Southampton,Europe,66.6,https://www.topuniversities.com/universities/university-southampton,https://www.topuniversities.com/sites/default/files/241015033016pm657896University-of-Southampton-shield-blue-200-px-square-90x90.jpg,59.2,=326,85.1,=104,88.3,=101,64.3,=380,73.7,=39
=242,242,Goethe-University Frankfurt am Main,Germany,Frankfurt am Main,Europe,66.5,https://www.topuniversities.com/universities/goethe-university-frankfurt-am-main,https://www.topuniversities.com/sites/default/files/universitt-frankfurt-am-main_214_medium.jpg,53.2,401+,72.4,401+,80.7,401+,73,=141,50.5,401+
=242,243,The University of Georgia,United States,Athens,North America,66.5,https://www.topuniversities.com/universities/university-georgia,https://www.topuniversities.com/sites/default/files/the-university-of-georgia_227_medium.jpg,58.3,=348,81.4,=189,83.7,401+,66.8,=290,64.2,=164
=242,244,Universidade Federal do Rio de Janeiro,Brazil,Rio de Janeiro,Latin America,66.5,https://www.topuniversities.com/universities/universidade-federal-do-rio-de-janeiro,https://www.topuniversities.com/sites/default/files/220127083943pm152751UFRJ-Vertical-Impresso-Positivo-ai-90x90.jpg,61.5,=263,70.7,401+,71.8,401+,69.8,=209,49.6,401+
=242,245,University of Wollongong,Australia,Wollongong,Oceania,66.5,https://www.topuniversities.com/universities/university-wollongong,https://www.topuniversities.com/sites/default/files/university-of-wollongong_680_medium.jpg,58.6,=342,81.4,=189,86.2,=210,66.5,=302,62.6,=195
=246,246,Boston College,United States,Chestnut Hill,North America,66.4,https://www.topuniversities.com/universities/boston-college,https://www.topuniversities.com/sites/default/files/boston-college_723_medium.jpg,55.2,401+,77.8,=300,88.1,=111,69.9,=206,49.8,401+
=246,247,Universitas Airlangga,Indonesia,Surabaya,Asia,66.4,https://www.topuniversities.com/universities/universitas-airlangga,https://www.topuniversities.com/sites/default/files/250715015254am318034UNAIR-BRANDMARK-2025-01-90x90.jpg,60.2,=298,64,401+,69.9,401+,71.9,165,46.6,401+
=246,248,University of Canterbury | Te Whare Wānanga o Waitaha,New Zealand,Christchurch,Oceania,66.4,https://www.topuniversities.com/universities/university-canterbury-te-whare-wananga-o-waitaha,https://www.topuniversities.com/sites/default/files/university-of-canterbury_97_medium.jpg,60.4,=293,75.6,=376,84.8,=321,67.6,=267,49.5,401+
=246,249,Xiamen University,China (Mainland),Xiamen,Asia,66.4,https://www.topuniversities.com/universities/xiamen-university,https://www.topuniversities.com/sites/default/files/xiamen-university_891_medium.jpg,59.2,=326,87.3,=58,89.4,=67,65.4,=336,54.4,401+
=250,250,Indiana University Bloomington,United States,Bloomington,North America,66.3,https://www.topuniversities.com/universities/indiana-university-bloomington,https://www.topuniversities.com/sites/default/files/indiana-university-bloomington_289_medium.jpg,46.5,401+,83.1,=144,84.4,=355,73.3,=136,62.8,=190
=250,251,Universidad de La Sabana,Colombia,Bogotá,Latin America,66.3,https://www.topuniversities.com/universities/universidad-de-la-sabana,https://www.topuniversities.com/sites/default/files/260224073040pm756920square-image-90x90.jpg,67,=146,53.2,401+,63.6,401+,72.1,=161,27.1,401+
=252,252,American University of Beirut (AUB),Lebanon,Beirut,Asia,66.2,https://www.topuniversities.com/universities/american-university-beirut-aub,https://www.topuniversities.com/sites/default/files/230707125949pm449470AUB-Profile-Photo-only%5B99%5D-90x90.jpg,68.8,=117,66.2,401+,78.2,401+,64.8,=360,45.8,401+
=252,253,Georgia Institute of Technology,United States,Atlanta,North America,66.2,https://www.topuniversities.com/universities/georgia-institute-technology,https://www.topuniversities.com/sites/default/files/250219111124am560242GTVertical-CMYK-90x90.jpg,67.7,=136,84.3,=116,86.5,=190,61.5,401+,46.2,401+
=252,254,Koç University,,,,66.2,https://www.topuniversities.com/universities/koc-university,https://www.topuniversities.com/sites/default/files/ko-university_592560cf2aeae70239af4d7e_medium.jpg,66.8,=150,62.8,401+,73.9,401+,68.7,=236,30.4,401+
=252,255,Queen's University Belfast,United Kingdom,Belfast,Europe,66.2,https://www.topuniversities.com/universities/queens-university-belfast,https://www.topuniversities.com/sites/default/files/queens-university-belfast_592560cf2aeae70239af4c86_medium.jpg,62.4,=243,74.9,401+,80.6,401+,64.8,=360,67.7,=102
=252,256,Universidad Austral,Argentina,Pilar,Latin America,66.2,https://www.topuniversities.com/universities/universidad-austral,https://www.topuniversities.com/sites/default/files/universidad-austral_38_medium.jpg,69.6,109,45,401+,48.2,401+,73.5,=132,31.1,401+
=252,257,Universiti Utara Malaysia (UUM),Malaysia,Sintok,Asia,66.2,https://www.topuniversities.com/universities/universiti-utara-malaysia-uum,https://www.topuniversities.com/sites/default/files/universiti-utara-malaysia-uum_388_medium.jpg,48.2,401+,79.2,=251,84.1,=378,73.2,=138,58.5,=299
258,258,University of St Andrews,United Kingdom,St. Andrews,Europe,66,https://www.topuniversities.com/universities/university-st-andrews,https://www.topuniversities.com/sites/default/files/university-of-st-andrews_570_medium.jpg,66.7,=152,68.8,401+,80.4,401+,64.4,=376,52.1,401+
259,259,Aalto University,Finland,Espoo (Helsinki capital region),Europe,65.9,https://www.topuniversities.com/universities/aalto-university,https://www.topuniversities.com/sites/default/files/230913111738am272302Aalto-University-logo-200x200-90x90.jpg,50.3,401+,81.1,=196,88.9,=81,70.6,=186,55.4,=387
=260,260,Beijing Institute of Technology,China (Mainland),Beijing,Asia,65.8,https://www.topuniversities.com/universities/beijing-institute-technology,https://www.topuniversities.com/sites/default/files/beijing-institute-of-technology_868_medium.jpg,70.7,=93,96,=5,96.4,2,54.8,401+,54.5,401+
=260,261,Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,Bonn,Europe,65.8,https://www.topuniversities.com/universities/rheinische-friedrich-wilhelms-universitat-bonn,https://www.topuniversities.com/sites/default/files/rheinische-friedrich-wilhelms-universitt-bonn_592560cf2aeae70239af4ac1_medium.jpg,49.5,401+,72,401+,79.1,401+,72.6,=151,66.3,=131
=260,262,Universidad Nacional de La Plata (UNLP),Argentina,La Plata,Latin America,65.8,https://www.topuniversities.com/universities/universidad-nacional-de-la-plata-unlp,https://www.topuniversities.com/sites/default/files/universidad-nacional-de-la-plata-unlp_1690_medium.jpg,71,88,57.3,401+,65.1,401+,66.7,=296,38.6,401+
=263,263,National Chengchi University,Taiwan,Taipei City,Asia,65.7,https://www.topuniversities.com/universities/national-chengchi-university,https://www.topuniversities.com/sites/default/files/national-chengchi-university_436_medium.jpg,58.7,=338,62.1,401+,75.1,401+,73.5,=132,21.2,401+
=263,264,University of Cologne,Germany,Cologne,Europe,65.7,https://www.topuniversities.com/universities/university-cologne,https://www.topuniversities.com/sites/default/files/university-of-cologne_592560cf2aeae70239af4bc6_medium.jpg,53.2,401+,72.9,401+,81,401+,70.3,=192,61.2,=230
=263,265,University of Lausanne,Switzerland,Lausanne,Europe,65.7,https://www.topuniversities.com/universities/university-lausanne,https://www.topuniversities.com/sites/default/files/university-of-lausanne_592560cf2aeae70239af4bd3_medium.jpg,58.1,=358,73.3,401+,80.3,401+,67.6,=267,59,=283
=266,266,Central European University,Austria,Vienna,Europe,65.6,https://www.topuniversities.com/universities/central-european-university,https://www.topuniversities.com/sites/default/files/251008121605pm655149CEU-Logo-square-90x90.jpg,55.1,401+,63.4,401+,79,401+,72.1,=161,46.9,401+
=266,267,Swansea University,United Kingdom,Swansea,Europe,65.6,https://www.topuniversities.com/universities/swansea-university,https://www.topuniversities.com/sites/default/files/220308050407pm529761Swansea-Uni-logo-200x200-photo-90x90.jpg,56.5,401+,84.5,=112,92.9,=18,64.4,=376,62.7,=192
=268,268,Indian Institute of Technology Madras (IITM),India,Chennai,Asia,65.5,https://www.topuniversities.com/universities/indian-institute-technology-madras-iitm,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-madras-iitm_286_medium.jpg,76.9,=45,69.3,401+,80.1,401+,59.3,401+,31.9,401+
=268,269,Institut Polytechnique de Paris,France,Paris,Europe,65.5,https://www.topuniversities.com/universities/institut-polytechnique-de-paris,https://www.topuniversities.com/sites/default/files/240924074028am263366logo-ipp-pour-qs-90x90.jpg,68.6,=120,78.8,=267,85.3,=279,59.3,401+,58.5,=299
=268,270,University of Granada,Spain,Granada,Europe,65.5,https://www.topuniversities.com/universities/university-granada,https://www.topuniversities.com/sites/default/files/university-of-granada_235_medium.jpg,53.3,401+,79.2,=251,80.4,401+,67.9,=258,72.7,=50
=268,271,University of Massachusetts Amherst,United States,Amherst,North America,65.5,https://www.topuniversities.com/universities/university-massachusetts-amherst,https://www.topuniversities.com/sites/default/files/university-of-massachusetts-amherst_592560cf2aeae70239af4c0e_medium.jpg,59.2,=326,79.8,=239,85.9,=234,64.6,=367,60,=265
=272,272,Florida International University,United States,Miami,North America,65.4,https://www.topuniversities.com/universities/florida-international-university,https://www.topuniversities.com/sites/default/files/florida-international-university_592560cf2aeae70239af4b55_medium.jpg,60.3,297,75.6,=376,81.6,401+,64.9,=356,61.2,=230
=272,273,United Arab Emirates University,United Arab Emirates,Al Ain,Asia,65.4,https://www.topuniversities.com/universities/united-arab-emirates-university,https://www.topuniversities.com/sites/default/files/united-arab-emirates-university_778_medium.jpg,61.1,=273,72.4,401+,82.9,401+,64.1,386,67.2,=112
=272,274,University of Lisbon ,Portugal,Lisbon,Europe,65.4,https://www.topuniversities.com/universities/university-lisbon,https://www.topuniversities.com/sites/default/files/university-of-lisbon_1475_medium.jpg,58,=363,82,=168,78.4,401+,64.2,=382,78,20
=272,275,Uppsala University,Sweden,Uppsala,Europe,65.4,https://www.topuniversities.com/universities/uppsala-university,https://www.topuniversities.com/sites/default/files/uppsala-university_643_medium.jpg,51.4,401+,76,=360,80.6,401+,70.5,=188,60.4,=250
276,276,University of Ottawa,Canada,Ottawa,North America,65.3,https://www.topuniversities.com/universities/university-ottawa,https://www.topuniversities.com/sites/default/files/university-of-ottawa_475_medium.jpg,63.7,=212,79.2,=251,81.7,401+,61.6,401+,65.6,=144
277,277,University of Milan,Italy,Milan,Europe,65.2,https://www.topuniversities.com/universities/university-milan,https://www.topuniversities.com/sites/default/files/230331095733am940735university-of-milan-1873-large-90x90.jpg,58.1,=358,74.1,401+,77.6,401+,67.4,=275,53.8,401+
278,278,Bilkent University,Türkiye,Ankara,Asia,65.1,https://www.topuniversities.com/universities/bilkent-university,https://www.topuniversities.com/sites/default/files/bilkent-university_58_medium.jpg,64.2,=206,61.5,401+,76.6,401+,67.2,=281,38.4,401+
=279,279,McMaster University,Canada,Hamilton,North America,65,https://www.topuniversities.com/universities/mcmaster-university,https://www.topuniversities.com/sites/default/files/mcmaster-university_397_medium.jpg,65.3,=182,76.7,=332,83.8,401+,60.6,401+,60.9,=241
=279,280,National Tsing Hua University - NTHU,Taiwan,Hsinchu City,Asia,65,https://www.topuniversities.com/universities/national-tsing-hua-university-nthu,https://www.topuniversities.com/sites/default/files/national-tsing-hua-university_442_medium.jpg,65.5,=180,62.1,401+,78.8,401+,67.1,=285,25.4,401+
=279,281,Qatar University,Qatar,Doha,Asia,65,https://www.topuniversities.com/universities/qatar-university,https://www.topuniversities.com/sites/default/files/251111064230am907511QULlOGO-90x90.jpg,54.8,401+,80.8,=203,88.4,=94,64.9,=356,68.6,=90
=279,282,Shanghai University of Finance and Economics,China (Mainland),Shanghai,Asia,65,https://www.topuniversities.com/universities/shanghai-university-finance-economics,https://www.topuniversities.com/sites/default/files/shanghai-university-of-finance-and-economics_2026_medium.jpg,56.1,401+,81.7,=177,89.8,=58,68,=254,26.6,401+
=283,283,"Essex, University of",United Kingdom,Colchester,Europe,64.9,https://www.topuniversities.com/universities/essex-university,https://www.topuniversities.com/sites/default/files/university-of-essex_592560cf2aeae70239af4b4c_medium.jpg,44.2,401+,76.7,=332,84.4,=355,73,=141,60.7,=244
=283,284,Massey University,New Zealand,Palmerston North,Oceania,64.9,https://www.topuniversities.com/universities/massey-university,https://www.topuniversities.com/sites/default/files/massey-university_395_medium.jpg,55.2,401+,72.9,401+,82.5,401+,66.8,=290,64.7,=155
=283,285,The American University in Cairo,Egypt,Cairo,Africa,64.9,https://www.topuniversities.com/universities/american-university-cairo,https://www.topuniversities.com/sites/default/files/250603090341am967303AUC-Logo-Blue-200X200-90x90.jpg,66.5,=156,55.8,401+,63.9,401+,67.9,=258,39.7,401+
=283,286,Tohoku University,Japan,Sendai City,Asia,64.9,https://www.topuniversities.com/universities/tohoku-university,https://www.topuniversities.com/sites/default/files/tohoku-university_611_medium.jpg,65.9,=167,68.8,401+,80,401+,64.4,=376,35.4,401+
287,287,University of Waikato,New Zealand,Hamilton ,Oceania,64.8,https://www.topuniversities.com/universities/university-waikato,https://www.topuniversities.com/sites/default/files/230815114906pm995093UoW-NZ-logo-CMYK-vert-1061x1693-27c69c2-90x90.jpg,53.6,401+,74.9,401+,92.9,=18,66.8,=290,54.8,401+
=288,288,UCSI University,Malaysia,Kuala Lumpur,Asia,64.7,https://www.topuniversities.com/universities/ucsi-university,https://www.topuniversities.com/sites/default/files/ucsi-university_592560e09988f300e2320ce5_medium.jpg,52.9,401+,71.1,401+,85.6,=255,69.5,=219,46.9,401+
=288,289,University of Sharjah,United Arab Emirates,Sharjah,Asia,64.7,https://www.topuniversities.com/universities/university-sharjah,https://www.topuniversities.com/sites/default/files/230214053157pm550724UOS-logo-90x90.jpg,59.8,=310,81.1,=196,90.1,=51,61.8,401+,61,=238
=288,290,Université Paris-Saclay,France,Paris,Europe,64.7,https://www.topuniversities.com/universities/universite-paris-saclay,https://www.topuniversities.com/sites/default/files/universit-paris-saclay_592560cf2aeae70239af4c6e_medium.jpg,65.3,=182,77.1,=323,79.4,401+,59,401+,77,24
=288,291,Washington University in St. Louis,United States,St. Louis,North America,64.7,https://www.topuniversities.com/universities/washington-university-st-louis,https://www.topuniversities.com/sites/default/files/250209012951am920550WashU-Shield-FullColor-RGB-200x200-90x90.jpg,53.2,401+,76.7,=332,84.6,=340,68.2,=245,50.9,401+
=292,292,Auckland University of Technology (AUT),New Zealand,Auckland,Oceania,64.6,https://www.topuniversities.com/universities/auckland-university-technology-aut,https://www.topuniversities.com/sites/default/files/auckland-university-of-technology-aut_592560cf2aeae70239af4ef7_medium.jpg,56,401+,71.6,401+,84.2,=373,67.4,=275,48.8,401+
=292,293,Kyung Hee University,South Korea,Seoul,Asia,64.6,https://www.topuniversities.com/universities/kyung-hee-university,https://www.topuniversities.com/sites/default/files/241022045426am285667%EB%8C%80%ED%95%99%ED%9C%98%EC%9E%A5-%ED%99%9C%EC%9A%A9%ED%98%95-A-90x90.jpg,55.7,401+,77.5,=311,85.4,=271,66.5,=302,49.4,401+
=292,294,Universidad Torcuato Di Tella,Argentina,Buenos Aires,Latin America,64.6,https://www.topuniversities.com/universities/universidad-torcuato-di-tella,https://www.topuniversities.com/sites/default/files/universidad-torcuato-di-tella_592560cf2aeae70239af4ced_medium.jpg,69.4,=112,36.6,401+,43.4,401+,73.6,131,19.4,401+
=295,295,Dublin City University,Ireland,Dublin,Europe,64.5,https://www.topuniversities.com/universities/dublin-city-university,https://www.topuniversities.com/sites/default/files/251001112050am424289Study-Portals-Logo-QS-90x90.jpg,58.2,=353,73.7,401+,84.3,=366,64.5,=372,59,=283
=295,296,SOAS University of London,United Kingdom,London,Europe,64.5,https://www.topuniversities.com/universities/soas-university-london,https://www.topuniversities.com/sites/default/files/soas-university-of-london-_592560cf2aeae70239af4bf0_medium.jpg,56.2,401+,65.7,401+,76.8,401+,69.4,=221,45.2,401+
=297,297,The University of Arizona,United States,Tucson,North America,64.4,https://www.topuniversities.com/universities/university-arizona,https://www.topuniversities.com/sites/default/files/the-university-of-arizona_26_medium.jpg,56.4,401+,82,=168,83.1,401+,64,=387,61.6,=214
=297,298,Université Toulouse 1 Capitole,France,Toulouse,Europe,64.4,https://www.topuniversities.com/universities/universite-toulouse-1-capitole,https://www.topuniversities.com/sites/default/files/universit-toulouse-1-capitole_620_medium.jpg,46.2,401+,64.5,401+,79.6,401+,75.5,=107,39.3,401+
=299,299,Charles University,Czechia,Prague,Europe,64.3,https://www.topuniversities.com/universities/charles-university,https://www.topuniversities.com/sites/default/files/charles-university_117_medium.jpg,54.5,401+,67.3,401+,71.5,401+,68.2,=245,69.3,81
=299,300,RUDN University,Russia,Moscow,Europe,64.3,https://www.topuniversities.com/universities/rudn-university,https://www.topuniversities.com/sites/default/files/rudn-university_1503_medium.jpg,74.1,=67,67.3,401+,71.5,401+,58.5,401+,48.6,401+
=299,301,Thammasat University,Thailand,Bangkok,Asia,64.3,https://www.topuniversities.com/universities/thammasat-university,https://www.topuniversities.com/sites/default/files/thammasat-university_592560cf2aeae70239af4ce1_medium.jpg,55.6,401+,60.2,401+,73,401+,71.4,=171,38.2,401+
=299,302,University of Calgary,Canada,Calgary,North America,64.3,https://www.topuniversities.com/universities/university-calgary,https://www.topuniversities.com/sites/default/files/250514083129pm658203Canadas-Entreprenuerial-University-University-of-Calgary-UCalgary-90x90.jpg,61.4,=265,78.8,=267,82.4,401+,61.8,401+,58,=315
=303,303,Universidad EAFIT,Colombia,Medellin,Latin America,64.2,https://www.topuniversities.com/universities/universidad-eafit,https://www.topuniversities.com/sites/default/files/universidad-eafit_592560cf2aeae70239af4d9b_medium.jpg,68.4,=126,50.5,401+,58.6,401+,68.2,=245,28,401+
=303,304,Wageningen University & Research,Netherlands,Wageningen,Europe,64.2,https://www.topuniversities.com/universities/wageningen-university-research,https://www.topuniversities.com/sites/default/files/260407070739am768792WUR-logo-200x200-90x90.jpg,55.6,401+,88.3,=40,88.9,=81,59.8,401+,85.8,7
=305,305,Hong Kong Baptist University,Hong Kong SAR,Hong Kong,Asia,64.1,https://www.topuniversities.com/universities/hong-kong-baptist-university,https://www.topuniversities.com/sites/default/files/hong-kong-baptist-university_893_medium.jpg,52.6,401+,79.2,=251,87.7,=125,67.7,=264,39.9,401+
=305,306,Nagoya University,Japan,Nagoya,Asia,64.1,https://www.topuniversities.com/universities/nagoya-university,https://www.topuniversities.com/sites/default/files/nagoya-university_427_medium.jpg,62.7,=234,64,401+,76.4,401+,65.3,=341,41.5,401+
=305,307,Sultan Qaboos University,Oman,Muscat,Asia,64.1,https://www.topuniversities.com/universities/sultan-qaboos-university,https://www.topuniversities.com/sites/default/files/sultan-qaboos-university_2530_medium.jpg,60.2,=298,74.9,401+,88.7,=88,61.8,401+,58,=315
=305,308,University of Illinois Chicago (UIC),United States,Chicago,North America,64.1,https://www.topuniversities.com/universities/university-illinois-chicago-uic,https://www.topuniversities.com/sites/default/files/university-of-illinois-chicago-uic_592560cf2aeae70239af4b9a_medium.jpg,60.9,=280,75.6,=376,81.8,401+,62.8,401+,53.2,401+
=309,309,Florida State University,United States,Tallahassee,North America,64,https://www.topuniversities.com/universities/florida-state-university,https://www.topuniversities.com/sites/default/files/florida-state-university_211_medium.jpg,55.8,401+,81.4,=189,84.7,=330,64.5,=372,51.2,401+
=309,310,Indian Institute of Technology Kanpur (IITK),India,Kanpur,Asia,64,https://www.topuniversities.com/universities/indian-institute-technology-kanpur-iitk,https://www.topuniversities.com/sites/default/files/indian-institute-of-technology-kanpur-iitk_592560cf2aeae70239af4ba5_medium.jpg,81.8,24,62.8,401+,71.8,401+,56.4,401+,24.2,401+
=309,311,Simon Fraser University,Canada,Burnaby,North America,64,https://www.topuniversities.com/universities/simon-fraser-university,https://www.topuniversities.com/sites/default/files/simon-fraser-university_562_medium.jpg,51.7,401+,77.5,=311,80.9,401+,67.5,=272,57.1,=339
=312,312,La Trobe University,Australia,Melbourne,Oceania,63.9,https://www.topuniversities.com/universities/la-trobe-university,https://www.topuniversities.com/sites/default/files/220913045650am561995LTU-Int-V-RGB-JPG-90x90.jpg,52.6,401+,77.1,=323,81.7,401+,66.1,=313,62.4,=199
=312,313,Universidad de Santiago de Chile (USACH),Chile,Santiago,Latin America,63.9,https://www.topuniversities.com/universities/universidad-de-santiago-de-chile-usach,https://www.topuniversities.com/sites/default/files/universidad-de-santiago-de-chile-usach_548_medium.jpg,66,166,58.1,401+,70.8,401+,65.3,=341,35.8,401+
=314,314,Tongji University,China (Mainland),Shanghai,Asia,63.8,https://www.topuniversities.com/universities/tongji-university,https://www.topuniversities.com/sites/default/files/tongji-university_617_medium.jpg,63.7,=212,92.6,12,87.7,=125,57.7,401+,46.5,401+
=314,315,University College Cork,Ireland,Cork,Europe,63.8,https://www.topuniversities.com/universities/university-college-cork,https://www.topuniversities.com/sites/default/files/250831075941pm373153UCC-Master-Logo-2025-RGB-DIGITAL-90x90.jpg,59.8,=310,71.6,401+,80.2,401+,63.7,=400,51.7,401+
=314,316,University of Gothenburg,Sweden,Gothenburg,Europe,63.8,https://www.topuniversities.com/universities/university-gothenburg,https://www.topuniversities.com/sites/default/files/university-of-gothenburg_233_medium.jpg,43.2,401+,81.1,=196,83.5,401+,69.8,=209,71.2,60
=317,317,Indian Institute of Management (IIM) - Kozhikode,India,Kozhikode,Asia,63.7,https://www.topuniversities.com/universities/indian-institute-management-iim-kozhikode,https://www.topuniversities.com/sites/default/files/indian-institute-of-management-iim-kozhikode_592560cf2aeae70239af51f4_medium.jpg,71.4,83,60.8,401+,73.6,401+,62.3,401+,21.3,401+
=317,318,Jawaharlal Nehru University,India,New Delhi,Asia,63.7,https://www.topuniversities.com/universities/jawaharlal-nehru-university,https://www.topuniversities.com/sites/default/files/jawaharlal-nehru-university_302_medium.jpg,54.7,401+,68.8,401+,73.4,401+,68.6,=238,47.4,401+
=317,319,Lahore University of Management Sciences (LUMS),Pakistan,Lahore,Asia,63.7,https://www.topuniversities.com/universities/lahore-university-management-sciences-lums,https://www.topuniversities.com/sites/default/files/lahore-university-of-management-sciences-lums_592560cf2aeae70239af531b_medium.jpg,61.8,=258,65.7,401+,76.2,401+,65.9,=321,32,401+
=317,320,Universidad Diego Portales (UDP),Chile,Santiago,Latin America,63.7,https://www.topuniversities.com/universities/universidad-diego-portales-udp,https://www.topuniversities.com/sites/default/files/universidad-diego-portales-udp_159_medium.jpg,63,=226,58.1,401+,71.2,401+,67.6,=267,25.4,401+
=317,321,"University of California, Davis",United States,Davis,North America,63.7,https://www.topuniversities.com/universities/university-california-davis,https://www.topuniversities.com/sites/default/files/university-of-california-davis_592560cf2aeae70239af4ad8_medium.jpg,55.2,401+,84.5,=112,86.2,=210,62.8,401+,58.1,=311
=322,322,Athens University of Economics and Business,Greece,Athens,Europe,63.6,https://www.topuniversities.com/universities/athens-university-economics-business,https://www.topuniversities.com/sites/default/files/220228075444am741134AUEBLogo-90x90.jpg,57.8,=371,58.1,401+,75.2,401+,69.7,=215,29.1,401+
=322,323,Jagiellonian University,Poland,Krakow,Europe,63.6,https://www.topuniversities.com/universities/jagiellonian-university,https://www.topuniversities.com/sites/default/files/jagiellonian-university_300_medium.jpg,52.1,401+,65.7,401+,69.3,401+,70.1,=200,54.9,401+
=322,324,University of Science and Technology of China,China (Mainland),Hefei,Asia,63.6,https://www.topuniversities.com/universities/university-science-technology-china,https://www.topuniversities.com/sites/default/files/university-of-science-and-technology-of-china_122_medium.jpg,63,=226,88.1,=44,91.2,=37,57.5,401+,49.4,401+
=325,325,Al-Ahliyya Amman University,Jordan,Amman,Asia,63.5,https://www.topuniversities.com/universities/al-ahliyya-amman-university,https://www.topuniversities.com/sites/default/files/al-ahliyya-amman-university_592560e29988f300e232131e_medium.jpg,73,75,58.8,401+,63.9,401+,62.4,401+,23.1,401+
=325,326,Management and Science University,Malaysia,Shah Alam,Asia,63.5,https://www.topuniversities.com/universities/management-science-university,https://www.topuniversities.com/sites/default/files/management-and-science-university_22618_medium.jpg,68.6,=120,51.4,401+,59.5,401+,66.8,=290,24.6,401+
=325,327,Rutgers University–New Brunswick,United States,New Brunswick,North America,63.5,https://www.topuniversities.com/universities/rutgers-university-new-brunswick,https://www.topuniversities.com/sites/default/files/240206105603pm596685Rutgers-Image-200x200-90x90.jpg,56.8,401+,78.8,=267,82.5,401+,63.8,=397,49.7,401+
=325,328,Universidad del Pacífico,Peru,Jesús María,Latin America,63.5,https://www.topuniversities.com/universities/universidad-del-pacifico,https://www.topuniversities.com/sites/default/files/230418045249pm477630profilePic01-90x90.jpg,64.4,=203,50.5,401+,60.1,401+,69.4,=221,24.6,401+
=325,329,Universitat de Valencia,Spain,València,Europe,63.5,https://www.topuniversities.com/universities/universitat-de-valencia,https://www.topuniversities.com/sites/default/files/universitat-de-valencia_647_medium.jpg,47.1,401+,81.7,=177,81.1,401+,68,=254,63.5,=174
=325,330,University of Central Florida,United States,Orlando,North America,63.5,https://www.topuniversities.com/universities/university-central-florida,https://www.topuniversities.com/sites/default/files/university-of-central-florida_209_medium.jpg,58.3,=348,82,=168,84.8,=321,61.4,401+,55.2,=392
=331,331,American University of Sharjah,United Arab Emirates,Sharjah,Asia,63.4,https://www.topuniversities.com/universities/american-university-sharjah,https://www.topuniversities.com/sites/default/files/211216011743pm346028American-University-of-Sharjah-AUS-Stacked-200X200px-90x90.jpg,61.7,261,67.8,401+,78.8,401+,63.2,401+,45.7,401+
=331,332,BI Norwegian Business School,Norway,Oslo,Europe,63.4,https://www.topuniversities.com/universities/bi-norwegian-business-school,https://www.topuniversities.com/sites/default/files/bi-norwegian-business-school_592560cf2aeae70239af4abb_medium.jpg,42.7,401+,70.2,401+,91.7,=29,72.8,=145,41.2,401+
