rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_faculty_score,citations_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,employer_reputation_score,employer_reputation_rank,employment_outcomes_score,employment_outcomes_rank,international_student_ratio_score,international_student_ratio_rank,international_research_network_score,international_research_network_rank,international_faculty_ratio_score,international_faculty_ratio_rank,international_student_diversity_score,international_student_diversity_rank,sustainability_score_score,sustainability_score_rank
901-950,925,Nagasaki University,Japan,Nagasaki City,Asia,n/a,https://www.topuniversities.com/universities/nagasaki-university,https://www.topuniversities.com/sites/default/files/nagasaki-university_592560cf2aeae70239af4c2d_medium.jpg,12.2,801+,9,701+,84.3,143,3.7,701+,3.4,801+,10.8,801+,48.4,801+,8.5,801+,15.3,801+,59.6,=509
901-950,926,Osaka Metropolitan University,Japan,Osaka,Asia,n/a,https://www.topuniversities.com/universities/osaka-metropolitan-university,https://www.topuniversities.com/sites/default/files/230711044707am750078QS1maincolor-001-symbol-90x90.jpg,12.3,801+,18.1,676,57.2,321,14,701+,8.9,801+,5.2,801+,34.1,801+,6.2,801+,9.4,801+,47.7,=765
901-950,927,Panjab University,India,Chandigarh,Asia,n/a,https://www.topuniversities.com/universities/panjab-university,https://www.topuniversities.com/sites/default/files/panjab-university_592560cf2aeae70239af4e1c_medium.jpg,43.5,433,9.4,701+,10.3,801+,11.5,701+,39.6,441,3.2,801+,33,801+,n/a,n/a,7.5,801+,50.9,=684
901-950,928,Princess Sumaya University for Technology,Jordan,Amman,Asia,n/a,https://www.topuniversities.com/universities/princess-sumaya-university-technology,https://www.topuniversities.com/sites/default/files/211107084721am862411PSUT-Logo-Stacked-RGB-90x90.jpg,12.1,801+,11,701+,14.3,801+,36.8,385,6.3,801+,57.2,362,8.8,801+,60.1,390,54.4,377,31.3,801+
901-950,929,Saveetha Institute of Medical And Technical Sciences (SIMATS),India,Tiruvallur,Asia,n/a,https://www.topuniversities.com/universities/saveetha-institute-medical-technical-sciences-simats,https://www.topuniversities.com/sites/default/files/210703074535am738168download-90x90.jpg,20.3,708,8.9,701+,26.2,713,2.9,701+,1.7,801+,10.7,801+,83,293,84,263,15.4,801+,48.2,=751
901-950,930,Taif University,Saudi Arabia,Ta'if,Asia,n/a,https://www.topuniversities.com/universities/taif-university,https://www.topuniversities.com/sites/default/files/taif-university_592560cf2aeae70239af5462_medium.jpg,30.2,586,7,701+,9.2,801+,2.7,701+,2.9,801+,4.7,801+,80.5,343,100,44,9.2,801+,46,801+
901-950,931,Tallinn University,Estonia,Tallinn,Europe,n/a,https://www.topuniversities.com/universities/tallinn-university,https://www.topuniversities.com/sites/default/files/tallinn-university-_592560cf2aeae70239af567b_medium.jpg,9.9,801+,11.1,701+,12.6,801+,12.4,701+,45.6,382,30.6,585,55.1,768,63.9,363,36.5,529,44.3,801+
901-950,932,Tashkent State Technical University,Uzbekistan,Tashkent,Asia,n/a,https://www.topuniversities.com/universities/tashkent-state-technical-university,https://www.topuniversities.com/sites/default/files/tashkent-state-technical-university-named-by-islam-karimov_592560e59988f300e2321bca_medium.jpg,2.1,801+,30.6,399,20.1,801+,16.2,701+,30.7,540,1.8,801+,9.9,801+,62.9,371,6.1,801+,33.9,801+
901-950,933,The University of Alabama,United States,Tuscaloosa,North America,n/a,https://www.topuniversities.com/universities/university-alabama,https://www.topuniversities.com/sites/default/files/university-of-alabama_592560cf2aeae70239af4a91_medium.jpg,18.8,736,12.1,701+,8,801+,29.6,482,29.4,557,4.4,801+,59.7,698,7.1,801+,3.5,801+,53.1,=644
901-950,934,Universidad Católica Andres Bello,Venezuela,Caracas City,Latin America,n/a,https://www.topuniversities.com/universities/universidad-catolica-andres-bello,https://www.topuniversities.com/sites/default/files/universidad-catlica-andres-bello_592560cf2aeae70239af4a98_medium.jpg,1,801+,33.6,362,7.4,801+,56.4,210,22.6,677,5.3,801+,n/a,n/a,5.5,801+,9.2,801+,n/a,n/a
901-950,935,Universidad Católica del Uruguay (UCU),Uruguay,Montevideo,Latin America,n/a,https://www.topuniversities.com/universities/universidad-catolica-del-uruguay-ucu,https://www.topuniversities.com/sites/default/files/universidad-catlica-del-uruguay-ucu_592560cf2aeae70239af54bb_medium.jpg,1.5,801+,18.2,669,77.3,180,25.5,530,27.4,604,6,801+,9.1,801+,13.2,801+,10,801+,22.6,801+
901-950,936,Universidad Europea,Spain,Madrid,Europe,n/a,https://www.topuniversities.com/universities/universidad-europea,https://www.topuniversities.com/sites/default/files/240222083748am296868perfil-qs-90x90.jpg,3,801+,7.7,701+,56.6,328,19.7,668,10.7,801+,96.1,110,11.6,801+,14.4,801+,96.4,95,45,801+
901-950,937,Universidad Iberoamericana Ciudad de México - IBERO,Mexico,Mexico City,Latin America,n/a,https://www.topuniversities.com/universities/universidad-iberoamericana-ciudad-de-mexico-ibero,https://www.topuniversities.com/sites/default/files/240131094720pm844056LOGO-200x200-90x90.jpg,1.8,801+,24.2,526,34.2,575,30.2,469,71.4,203,3.6,801+,5.4,801+,8.1,801+,7.8,801+,25.7,801+
901-950,938,Universidad de Oviedo,Spain,Oviedo,Europe,n/a,https://www.topuniversities.com/universities/universidad-de-oviedo,https://www.topuniversities.com/sites/default/files/universidad-de-oviedo_592560cf2aeae70239af5070_medium.jpg,11.6,801+,18.2,671,34.1,576,8.4,701+,11.9,801+,6,801+,74,468,5.8,801+,11.4,801+,63.7,=429
901-950,939,Universidad de Valladolid,Spain,Valladolid,Europe,n/a,https://www.topuniversities.com/universities/universidad-de-valladolid,https://www.topuniversities.com/sites/default/files/universidad-de-valladolid_592560cf2aeae70239af507c_medium.jpg,7.1,801+,16.1,701+,41.2,491,6.4,701+,20.3,721,7.7,801+,84.9,257,9.6,801+,13.3,801+,59.2,=516
901-950,940,Universidad de los Andes - Chile,Chile,Santiago,Latin America,n/a,https://www.topuniversities.com/universities/universidad-de-los-andes-chile,https://www.topuniversities.com/sites/default/files/universidad-de-los-andes-chile_2638_medium.jpg,4.7,801+,25.3,504,13.4,801+,36.5,392,45.2,388,3.5,801+,17.9,801+,15.1,801+,7.7,801+,28.9,801+
901-950,941,University at Albany SUNY,United States,Albany,North America,n/a,https://www.topuniversities.com/universities/university-albany-suny,https://www.topuniversities.com/sites/default/files/university-at-albany-suny_1835_medium.jpg,44.1,427,10.1,701+,7.3,801+,9.7,701+,12.8,801+,10.1,801+,63.2,647,5.3,801+,7.8,801+,47.4,=776
901-950,942,University of Alaska Fairbanks,United States,Fairbanks,North America,n/a,https://www.topuniversities.com/universities/university-alaska-fairbanks,https://www.topuniversities.com/sites/default/files/university-of-alaska-fairbanks_592560cf2aeae70239af51b6_medium.jpg,19.9,713,3.4,701+,99.7,33,3.5,701+,5.9,801+,5.5,801+,40.4,801+,6.3,801+,4.3,801+,37.9,801+
901-950,943,University of Hertfordshire,United Kingdom,Hatfield,Europe,n/a,https://www.topuniversities.com/universities/university-hertfordshire,https://www.topuniversities.com/sites/default/files/241219041312pm322395herts-profile-pic-1080x1080-90x90.jpg,12.1,801+,5.8,701+,6.8,801+,6.7,701+,17,780,100,12,57.7,723,81.4,285,100,7,39,801+
901-950,944,University of Maribor,Slovenia,Maribor,Europe,n/a,https://www.topuniversities.com/universities/university-maribor,https://www.topuniversities.com/sites/default/files/university-of-maribor_592560cf2aeae70239af509c_medium.jpg,12.7,801+,10.8,701+,36.4,551,15.6,701+,41.3,422,27.3,623,67.4,580,2.3,801+,28.3,635,49.9,705
901-950,945,University of North Texas,United States,Denton,North America,n/a,https://www.topuniversities.com/universities/university-north-texas,https://www.topuniversities.com/sites/default/files/university-of-north-texas_592560cf2aeae70239af51c3_medium.jpg,30.5,583,10.1,701+,3.2,801+,9.7,701+,29.4,560,51.5,399,69,546,6.3,801+,38.4,513,40.6,801+
901-950,946,University of Peshawar,Pakistan,Peshawar,Asia,n/a,https://www.topuniversities.com/universities/university-peshawar,https://www.topuniversities.com/sites/default/files/university-of-peshawar_592560cf2aeae70239af4d90_medium.jpg,12.3,801+,9.4,701+,87.2,119,11.9,701+,19.2,742,2,801+,49,801+,n/a,n/a,1.7,801+,25.8,801+
901-950,947,UPES,India,Dehradun,Asia,n/a,https://www.topuniversities.com/universities/upes,https://www.topuniversities.com/sites/default/files/230206030830am237475upes-logo-200px-90x90.jpg,9.5,801+,23.4,542,46.5,423,7.7,701+,1.7,801+,1.4,801+,66.5,597,23.7,666,5.8,801+,27.2,801+
901-950,948,University of Salford,United Kingdom,Salford,Europe,n/a,https://www.topuniversities.com/universities/university-salford,https://www.topuniversities.com/sites/default/files/university-of-salford_592560cf2aeae70239af4ca5_medium.jpg,12,801+,10.8,701+,9.1,801+,7.9,701+,13.8,801+,88.2,182,61.6,670,55.6,408,89.2,153,43.4,801+
901-950,949,University of South Africa,South Africa,Pretoria,Africa,n/a,https://www.topuniversities.com/universities/university-south-africa,https://www.topuniversities.com/sites/default/files/university-of-south-africa_592560cf2aeae70239af4f45_medium.jpg,11.7,801+,13.8,701+,1.2,801+,13.6,701+,96,66,13.3,801+,92.5,138,n/a,n/a,10.1,801+,43.3,801+
