rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_faculty_score,citations_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,employer_reputation_score,employer_reputation_rank,employment_outcomes_score,employment_outcomes_rank,international_student_ratio_score,international_student_ratio_rank,international_research_network_score,international_research_network_rank,international_faculty_ratio_score,international_faculty_ratio_rank,international_student_diversity_score,international_student_diversity_rank,sustainability_score_score,sustainability_score_rank
1,1,Massachusetts Institute of Technology (MIT),United States,Cambridge,North America,100,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,https://www.topuniversities.com/sites/default/files/massachusetts-institute-of-technology-mit_410_medium.jpg,100,7,100,4,100,16,100,2,100,7,91.6,153,94.1,98,100,63,92.3,130,93.8,33
2,2,Imperial College London,United Kingdom,London,Europe,99.4,https://www.topuniversities.com/universities/imperial-college-london,https://www.topuniversities.com/sites/default/files/240430033452pm869301QS-Imperial-Logo-white-text-blue-background-90x90.jpg,95,69,99.6,22,99.3,42,100,9,95.9,68,100,35,97.5,28,100,74,100,22,98.3,=7
3,3,Stanford University,United States,Stanford,North America,98.9,https://www.topuniversities.com/universities/stanford-university,https://www.topuniversities.com/sites/default/files/stanford-university_573_medium.jpg,99.7,24,100,5,100,17,100,3,100,2,73.5,261,96.5,49,94.2,188,76.1,230,95.4,=19
4,4,University of Oxford,United Kingdom,Oxford,Europe,97.9,https://www.topuniversities.com/universities/university-oxford,https://www.topuniversities.com/sites/default/files/university-of-oxford_478_medium.jpg,91,98,100,2,100,9,100,4,100,3,98.6,80,100,1,98.8,132,98.7,67,77.9,=198
5,5,Harvard University,United States,Cambridge,North America,97.7,https://www.topuniversities.com/universities/harvard-university,https://www.topuniversities.com/sites/default/files/harvard-university_253_medium.jpg,100,1,100,1,98.3,50,100,1,100,1,81.4,217,99.4,8,79.1,300,60.6,335,77.8,=201
6,6,University of Cambridge,United Kingdom,Cambridge,Europe,97.2,https://www.topuniversities.com/universities/university-cambridge,https://www.topuniversities.com/sites/default/files/university-of-cambridge_95_medium.jpg,88.6,107,100,3,100,23,100,5,100,5,93.1,144,99.2,12,100,80,93.6,120,78.4,194
7,7,ETH Zurich,Switzerland,Zürich,Europe,96.7,https://www.topuniversities.com/universities/eth-zurich,https://www.topuniversities.com/sites/default/files/eth-zurich-swiss-federal-institute-of-technology_201_medium.jpg,98.8,40,99.7,18,71.7,214,96.3,42,95,76,99.3,58,95.8,64,100,28,73.9,241,99.6,2
8,8,National University of Singapore (NUS),Singapore,Singapore,Asia,95.9,https://www.topuniversities.com/universities/national-university-singapore-nus,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_medium.jpg,95.9,64,99.9,14,71.5,216,98.2,32,100,9,96.9,101,92.4,140,100,37,72.1,253,90,=63
9,9,UCL,United Kingdom,London,Europe,95.8,https://www.topuniversities.com/universities/ucl,https://www.topuniversities.com/sites/default/files/240209111134am850728QS-UCL-icon-90x90.jpg,80.9,151,99.9,15,94.8,77,99.4,18,89.3,111,100,27,99.9,2,99.6,108,100,17,98.5,=5
10,10,California Institute of Technology (Caltech),United States,Pasadena,North America,94.3,https://www.topuniversities.com/universities/california-institute-technology-caltech,https://www.topuniversities.com/sites/default/files/california-institute-of-technology-caltech_94_medium.jpg,100,3,98.3,33,100,5,99.2,23,49.1,352,90.7,161,61.8,665,100,65,91.4,136,79.2,185
11,11,The University of Hong Kong,Hong Kong SAR,Hong Kong,Asia,94.2,https://www.topuniversities.com/universities/university-hong-kong,https://www.topuniversities.com/sites/default/files/250912101330am198735HKUcolour-low-resolution-90x90.jpg,96.6,60,99.3,27,85.3,131,82.5,97,99.8,15,100,38,82.3,305,100,31,100,24,84.8,=112
12,12,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,Singapore,Asia,93.7,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu-singapore,https://www.topuniversities.com/sites/default/files/nanyang-technological-university-singapore-ntu_592560cf2aeae70239af4c32_medium.jpg,94.6,76,97.1,42,83.9,148,91.4,67,87.7,121,93.1,145,86.9,217,100,43,93.6,121,87.2,88
13,13,University of Chicago,United States,Chicago,North America,93,https://www.topuniversities.com/universities/university-chicago,https://www.topuniversities.com/sites/default/files/university-of-chicago_120_medium.jpg,78.1,164,99.8,17,97.3,62,99.3,21,99.8,16,92.8,148,87.7,207,86.1,254,69.1,275,73.3,=269
14,14,Peking University,China (Mainland),Beijing,Asia,92.6,https://www.topuniversities.com/universities/peking-university,https://www.topuniversities.com/sites/default/files/peking-university_50_medium.jpg,99.2,35,99.9,12,96.2,66,99.6,17,97,58,37.3,523,83.2,290,59.9,391,27.9,640,70.6,=308
15,15,University of Pennsylvania,United States,Philadelphia,North America,92.5,https://www.topuniversities.com/universities/university-pennsylvania,https://www.topuniversities.com/sites/default/files/university-of-pennsylvania_495_medium.jpg,72,199,98.9,30,99.9,29,98.7,28,100,4,76.3,249,89.4,182,96.9,151,78.6,221,95,24
16,16,Cornell University,United States,Ithaca,North America,91.6,https://www.topuniversities.com/universities/cornell-university,https://www.topuniversities.com/sites/default/files/cornell-university_143_medium.jpg,98,48,99.5,25,64.3,276,98.8,27,99.3,24,75.7,251,93,126,57.6,401,56.4,363,76.8,218
=17,17,Tsinghua University,China (Mainland),Beijing,Asia,91.2,https://www.topuniversities.com/universities/tsinghua-university,https://www.topuniversities.com/sites/default/files/tsinghua-university_626_medium.jpg,99.6,26,99.9,16,97.1,63,99.7,15,97,60,31.9,570,80.4,347,39.5,502,23.9,707,68.7,=339
=17,18,"University of California, Berkeley (UCB)",United States,Berkeley,North America,91.2,https://www.topuniversities.com/universities/university-california-berkeley-ucb,https://www.topuniversities.com/sites/default/files/university-of-california-berkeley-ucb_84_medium.jpg,97.2,53,100,6,29.4,643,100,6,99.8,17,70.6,273,96.7,47,95.6,172,52.6,392,98.8,=3
19,19,The University of Melbourne,Australia,Melbourne,Oceania,90.8,https://www.topuniversities.com/universities/university-melbourne,https://www.topuniversities.com/sites/default/files/211118103607am165180PRIMARY-A-A4-Vertical-Housed-RGB-200px-90x90.jpg,94.8,72,99.7,21,20.5,801+,97.4,35,98.3,39,100,37,96.9,40,96.7,156,74.4,239,98.2,=9
20,20,The University of New South Wales (UNSW Sydney),Australia,Sydney,Oceania,90.7,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney,https://www.topuniversities.com/sites/default/files/221220094647am317557UNSW-Sydney-Logo-jpeg-90x90.jpg,96.9,58,96.3,43,29.9,632,93.5,59,98.7,32,99.9,41,97.6,25,100,69,99.9,30,97,=12
21,21,Yale University,United States,New Haven,North America,90.4,https://www.topuniversities.com/universities/yale-university,https://www.topuniversities.com/sites/default/files/yale-university_684_medium.jpg,64.8,250,100,9,100,12,100,7,99.8,18,72.7,262,92.9,131,86.7,247,75.4,232,82.4,=144
=22,22,EPFL – École polytechnique fédérale de Lausanne,Switzerland,Lausanne,Europe,90.2,https://www.topuniversities.com/universities/epfl-ecole-polytechnique-federale-de-lausanne,https://www.topuniversities.com/sites/default/files/epfl-ecole-polytechnique-federale-de-lausanne_592560cf2aeae70239af4b34_medium.jpg,93.1,87,92.7,55,90,103,88,79,47.3,371,100,17,83.6,281,100,12,100,11,85.3,=107
=22,23,Technical University of Munich,Germany,Munich,Europe,90.2,https://www.topuniversities.com/universities/technical-university-munich,https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_medium.jpg,92.6,90,92,60,70.5,223,99.7,16,57.3,293,98.9,72,95.9,63,86.3,252,98.9,63,87.8,=83
24,24,Johns Hopkins University,United States,Baltimore,North America,89.7,https://www.topuniversities.com/universities/johns-hopkins-university,https://www.topuniversities.com/sites/default/files/johns-hopkins-university_305_medium.jpg,85.8,118,93.2,51,100,14,79.2,108,84.1,141,94.2,137,97.4,29,70.8,333,94.6,113,93,35
=25,25,Princeton University,United States,Princeton,North America,89.4,https://www.topuniversities.com/universities/princeton-university,https://www.topuniversities.com/sites/default/files/princeton-university_508_medium.jpg,100,5,100,10,67.3,253,99.8,13,98.9,28,70,280,82.6,300,12.7,801+,52.2,397,76,222
=25,26,The University of Sydney,Australia,Sydney,Oceania,89.4,https://www.topuniversities.com/universities/university-sydney,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_medium.jpg,94.3,78,98.9,29,15.7,801+,94.2,53,95.8,70,100,18,95.5,71,99.9,101,100,12,97.6,11
27,27,McGill University,Canada,Montreal,North America,88.9,https://www.topuniversities.com/universities/mcgill-university,https://www.topuniversities.com/sites/default/files/250528065103pm337251shield-McGill-red-200x200px-90x90.jpg,72.4,194,98.1,35,67.3,250,93.5,58,98.9,27,93.5,138,92.9,130,88.6,232,69.6,272,96.3,=15
28,28,Université PSL,France,Paris,Europe,88.6,https://www.topuniversities.com/universities/universite-psl,https://www.topuniversities.com/sites/default/files/universit-psl_592560e69988f300e2321dfe_medium.jpg,85.1,123,82.6,86,98.6,48,98.5,31,97.5,51,75.5,252,99.7,3,69.6,336,77.9,222,87.8,=83
29,29,University of Toronto,Canada,Toronto,North America,88.5,https://www.topuniversities.com/universities/university-toronto,https://www.topuniversities.com/sites/default/files/university-of-toronto_619_medium.jpg,68.8,224,100,11,45.7,428,99.1,25,99.4,22,97.9,91,97,37,97.9,143,98,78,100,1
30,30,Fudan University,China (Mainland),Shanghai,Asia,88.4,https://www.topuniversities.com/universities/fudan-university,https://www.topuniversities.com/sites/default/files/fudan-university_218_medium.jpg,92.8,89,93.7,50,84.8,137,95.1,49,73.3,193,46.4,433,75.5,431,88.5,234,51.4,402,83.1,134
31,31,King's College London,United Kingdom,London,Europe,88.3,https://www.topuniversities.com/universities/kings-college-london,https://www.topuniversities.com/sites/default/files/231024034600pm558869KCL-box-red-485-rgb-90x90.jpg,70.2,215,96.2,44,74.4,202,91.8,65,76.4,174,99,70,98.4,19,99.5,115,99,61,96.5,14
=32,32,Australian National University (ANU),Australia,Canberra,Oceania,87.4,https://www.topuniversities.com/universities/australian-national-university-anu,https://www.topuniversities.com/sites/default/files/251223044806am137327ANU-Crest-Inversed-Gold200x200-90x90.jpg,91.7,93,97.9,37,40.9,495,82.6,96,67.1,232,99,68,93.1,123,100,49,99.1,59,91.8,48
=32,33,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,Hong Kong,Asia,87.4,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk,https://www.topuniversities.com/sites/default/files/230719090304am589775CUHK-acronym-logo-thumb-200x200%20%281%29.jpg,95,71,94.2,48,75.9,191,67.3,157,91.2,94,93.3,143,68.2,563,100,50,90.3,147,84.1,123
34,34,The University of Edinburgh,United Kingdom,Edinburgh,Europe,87.2,https://www.topuniversities.com/universities/university-edinburgh,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_medium.jpg,54.3,338,99.6,24,77.3,179,98.2,33,69.7,213,99.9,42,99.5,5,99.7,105,99.9,31,98.3,=7
35,35,The University of Manchester,United Kingdom,Manchester,Europe,86.4,https://www.topuniversities.com/universities/university-manchester,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_medium.jpg,56.8,308,98.6,31,58.2,310,98.8,26,91.9,90,99.5,56,99.4,7,95.3,176,99.5,45,98.2,=9
=36,36,Monash University,Australia,Melbourne,Oceania,85.8,https://www.topuniversities.com/universities/monash-university,https://www.topuniversities.com/sites/default/files/monash-university_412_medium.jpg,93,88,95.7,45,11.3,801+,87.5,81,86.7,128,100,24,94.7,87,100,61,100,15,91.7,=49
=36,37,The University of Tokyo,Japan,Tokyo,Asia,85.8,https://www.topuniversities.com/universities/university-tokyo,https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_medium.jpg,69.9,217,100,7,92.4,94,99.9,10,100,10,44,457,88.8,193,15.9,777,49.2,422,92.3,44
=38,38,Columbia University,United States,New York City,North America,85.6,https://www.topuniversities.com/universities/columbia-university,https://www.topuniversities.com/sites/default/files/211207010540pm571294Webp.net-resizeimage-2021-12-07T150514.382-90x90.jpg,44.5,418,99.9,13,100,19,99.9,11,100,8,98.1,88,98.4,18,48.5,445,72.9,250,77.9,=198
=38,39,Seoul National University,South Korea,Seoul,Asia,85.6,https://www.topuniversities.com/universities/seoul-national-university,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_medium.jpg,81.2,150,99.7,20,85.6,130,99.1,24,100,6,27.5,622,77.6,391,13.2,801+,33.5,571,90.8,57
40,40,University of British Columbia,Canada,Vancouver,North America,85.5,https://www.topuniversities.com/universities/university-british-columbia,https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_medium.jpg,70.9,210,99.6,23,34.7,568,96.5,41,84.9,135,79.8,222,96.6,48,98.5,135,81.7,191,98.5,=5
41,41,Institut Polytechnique de Paris,France,Paris,Europe,85.4,https://www.topuniversities.com/universities/institut-polytechnique-de-paris,https://www.topuniversities.com/sites/default/files/240924074028am263366logo-ipp-pour-qs-90x90.jpg,97.3,52,58.1,185,94.8,76,99.8,14,99.1,25,99.2,61,93,125,99.9,99,99.2,50,77.9,=198
=42,42,Northwestern University,United States,Evanston,North America,85.1,https://www.topuniversities.com/universities/northwestern-university,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_medium.jpg,71.2,205,92.2,59,99.1,44,89.4,74,99.5,20,67.2,295,86.5,229,57.7,399,50,414,74.4,=250
=42,43,The University of Queensland,Australia,Brisbane City,Oceania,85.1,https://www.topuniversities.com/universities/university-queensland,https://www.topuniversities.com/sites/default/files/210824044126am970441uq-logo-90x90.jpg,94.2,79,94.3,46,26.5,705,79.5,105,66.6,233,100,28,97,36,100,60,100,18,92.5,41
44,44,The Hong Kong University of Science and Technology,Hong Kong SAR,Hong Kong,Asia,84.8,https://www.topuniversities.com/universities/hong-kong-university-science-technology,https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_medium.jpg,100,12,89.4,69,67.5,247,69.7,149,76.6,173,99.3,59,49.5,801+,100,23,99,60,79.7,=175
45,45,University of Michigan-Ann Arbor,United States,Ann Arbor,North America,84.7,https://www.topuniversities.com/universities/university-michigan-ann-arbor,https://www.topuniversities.com/sites/default/files/university-of-michigan_403_medium.jpg,54.5,334,99.3,26,85.7,127,98.5,30,99.1,26,56.1,372,96,59,73.9,320,60.3,339,77.2,=210
46,46,"University of California, Los Angeles (UCLA)",United States,Los Angeles,North America,84.4,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,https://www.topuniversities.com/sites/default/files/university-of-california-los-angeles-ucla_87_medium.jpg,84.3,127,100,8,43.6,456,100,8,98,46,31.8,571,93.5,117,50.8,437,37.7,521,78,=195
=47,47,Delft University of Technology,Netherlands,Delft,Europe,84.3,https://www.topuniversities.com/universities/delft-university-technology,https://www.topuniversities.com/sites/default/files/241219075823am191478thumbnail-logo-voor-QS-90x90.jpg,84.6,126,86.2,76,49.1,392,90.4,71,66,235,94.8,128,93.8,102,100,68,95.1,109,96.3,=15
=47,48,Shanghai Jiao Tong University,China (Mainland),Shanghai,Asia,84.3,https://www.topuniversities.com/universities/shanghai-jiao-tong-university,https://www.topuniversities.com/sites/default/files/shanghai-jiao-tong-university_556_medium.jpg,100,13,92.7,56,64.5,275,93.8,56,88.2,119,19.1,741,77.7,389,40.9,490,14.4,801+,82.5,=141
49,49,Zhejiang University,China (Mainland),Hangzhou,Asia,84,https://www.topuniversities.com/universities/zhejiang-university,https://www.topuniversities.com/sites/default/files/zhejiang-university_592560cf2aeae70239af4d37_medium.jpg,100,11,87,75,53,355,97.2,36,74.4,185,23.5,683,94,100,94.1,189,17.7,801+,63,=441
50,50,Yonsei University,South Korea,Seoul,Asia,82.9,https://www.topuniversities.com/universities/yonsei-university,https://www.topuniversities.com/sites/default/files/yonsei-university_688_medium.jpg,67.9,231,91.6,64,84.3,142,97.8,34,94.4,78,74.3,258,78,382,30.5,582,76.7,227,87.7,86
51,51,University of Bristol,United Kingdom,Bristol,Europe,82.5,https://www.topuniversities.com/universities/university-bristol,https://www.topuniversities.com/sites/default/files/240227125013pm861333White-90x90.jpg,83.2,135,87.3,73,36.7,546,89.4,75,63.1,248,95.7,118,95.3,74,90.7,219,96,100,97,=12
52,52,Carnegie Mellon University,United States,Pittsburgh,North America,82.3,https://www.topuniversities.com/universities/carnegie-mellon-university,https://www.topuniversities.com/sites/default/files/carnegie-mellon-university_101_medium.jpg,98.6,43,80.1,98,51.1,370,94.4,52,79.9,161,98.7,77,79.2,364,52.4,426,73.4,245,66.2,375
53,53,University of Amsterdam,Netherlands,Amsterdam,Europe,81.5,https://www.topuniversities.com/universities/university-amsterdam,https://www.topuniversities.com/sites/default/files/240924020914pm288471UvA-logo-90x90.jpg,87.2,113,92.5,57,27.5,688,72.6,135,90.3,104,95.8,117,95.1,82,98.8,133,71.3,259,64,=422
54,54,The Hong Kong Polytechnic University,Hong Kong SAR,Hong Kong,Asia,81.2,https://www.topuniversities.com/universities/hong-kong-polytechnic-university,https://www.topuniversities.com/sites/default/files/the-hong-kong-polytechnic-university_267_medium.jpg,98.7,41,81.2,93,77.1,182,47.5,275,74.1,187,98.8,76,82.8,296,100,34,97.9,81,80.8,160
55,55,New York University (NYU),United States,New York City,North America,81.1,https://www.topuniversities.com/universities/new-york-university-nyu,https://www.topuniversities.com/sites/default/files/240530125524pm936168NYUShanghai-90x90.jpg,31.7,568,98.6,32,89,109,99.9,12,99.5,19,99.7,52,93.5,115,33.1,553,99.7,42,91.3,52
56,56,The London School of Economics and Political Science (LSE),United Kingdom,London,Europe,80.5,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_medium.jpg,64,256,80.6,96,47.2,417,99.4,20,99.9,14,100,14,76.4,417,100,41,100,9,92.7,=39
57,57,Kyoto University,Japan,Kyoto,Asia,80.2,https://www.topuniversities.com/universities/kyoto-university,https://www.topuniversities.com/sites/default/files/kyoto-university_328_medium.jpg,50.9,369,99.7,19,94.3,80,99.3,22,85.9,132,29.2,601,85.5,247,22.9,675,35.1,551,84,=124
=58,58,Ludwig-Maximilians-Universität München,Germany,Munich,Europe,80.1,https://www.topuniversities.com/universities/ludwig-maximilians-universitat-munchen,https://www.topuniversities.com/sites/default/files/ludwig-maximilians-universitt-mnchen_420_medium.jpg,62.3,271,97.1,41,41,493,95.5,47,76.8,172,53.2,387,95.5,72,80.3,296,57.6,354,87,89
=58,59,Universiti Malaya (UM),Malaysia,Kuala Lumpur,Asia,80.1,https://www.topuniversities.com/universities/universiti-malaya-um,https://www.topuniversities.com/sites/default/files/universiti-malaya-um_383_medium.jpg,47.4,398,92.3,58,74.2,205,96.7,40,77.7,167,86.8,188,92.9,127,69.2,338,87.3,159,84.7,=115
60,60,KU Leuven,Belgium,Leuven,Europe,79.7,https://www.topuniversities.com/universities/ku-leuven,https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_medium.jpg,94.7,75,93,53,9.6,801+,63.5,169,83.5,143,65.1,307,99.5,4,95.8,166,48.5,428,94.7,25
61,61,Korea University,South Korea,Seoul,Asia,79.6,https://www.topuniversities.com/universities/korea-university,https://www.topuniversities.com/sites/default/files/korea-university_325_medium.jpg,68.2,229,89.2,70,77,183,95.4,48,93.6,83,64,311,67.7,573,24.5,656,67.5,287,85.9,101
62,62,Duke University,United States,Durham,North America,79,https://www.topuniversities.com/universities/duke-university,https://www.topuniversities.com/sites/default/files/duke-university_168_medium.jpg,47.1,402,92.9,54,100,7,91,68,95.6,73,62,326,90.8,163,28.3,602,46.2,450,77.6,205
=63,63,City University of Hong Kong (CityUHK),Hong Kong SAR,"Kowloon,",Asia,78.9,https://www.topuniversities.com/universities/city-university-hong-kong-cityuhk,https://www.topuniversities.com/sites/default/files/240301064743am994206logo-90x90.jpg,100,2,75.5,109,94.8,75,46.7,284,48.5,356,100,5,64.5,628,100,16,100,2,75.2,=232
=63,64,National Taiwan University (NTU),Taiwan,Taipei,Asia,78.9,https://www.topuniversities.com/universities/national-taiwan-university-ntu,https://www.topuniversities.com/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_medium.jpg,70.9,209,97.7,38,38.8,522,94.2,54,100,11,59.2,346,67.1,587,25.3,647,63.1,313,88.4,=74
65,65,The University of Auckland,New Zealand,Auckland,Oceania,77.5,https://www.topuniversities.com/universities/university-auckland,https://www.topuniversities.com/sites/default/files/221206065357am877738QS-Website-logo-01-90x90.jpg,79.1,162,91.7,63,17.6,801+,55.2,220,96.9,61,95.5,122,88.8,194,100,83,95.8,104,95.7,17
66,66,"University of California, San Diego (UCSD)",United States,San Diego,North America,76.9,https://www.topuniversities.com/universities/university-california-san-diego-ucsd,https://www.topuniversities.com/sites/default/files/university-of-california-san-diego-ucsd_89_medium.jpg,80.3,155,94,49,54.4,347,80.2,103,40.8,430,47,431,94,99,43.8,473,52,400,72.3,=286
67,67,KFUPM,Saudi Arabia,Dhahran,Asia,76.5,https://www.topuniversities.com/universities/kfupm,https://www.topuniversities.com/sites/default/files/250616011103pm115163linkedin-90x90.jpg,93.2,85,53.5,206,92.4,93,75.6,124,97.8,48,76.2,250,81,330,100,27,76.6,228,62.7,=444
68,68,University of Texas at Austin,United States,Austin,North America,76.4,https://www.topuniversities.com/universities/university-texas-austin,https://www.topuniversities.com/sites/default/files/university-of-texas-at-austin_604_medium.jpg,85.4,122,97.6,39,10.7,801+,96.8,38,93.9,82,19.1,742,90.5,169,9.1,801+,14.4,801+,70.6,=308
69,69,Brown University,United States,Providence,North America,76.2,https://www.topuniversities.com/universities/brown-university,https://www.topuniversities.com/sites/default/files/brown-university_72_medium.jpg,82.2,143,72.4,126,84.5,139,64.3,166,81.9,151,67,297,80.1,352,91,218,70.2,269,72.6,280
=70,70,University of Illinois Urbana-Champaign,United States,Champaign,North America,75.9,https://www.topuniversities.com/universities/university-illinois-urbana-champaign,https://www.topuniversities.com/sites/default/files/250319093914am927515Illinois-Logo-Full-Color-200x200-90x90.jpg,81.6,147,91.7,62,8.6,801+,91.5,66,92.5,86,70.1,277,91.3,152,14.2,801+,52.2,395,75.9,=223
=70,71,Université Paris-Saclay,France,Paris,Europe,75.9,https://www.topuniversities.com/universities/universite-paris-saclay,https://www.topuniversities.com/sites/default/files/universit-paris-saclay_592560cf2aeae70239af4c6e_medium.jpg,42.4,450,75.3,112,99.9,24,99.4,19,82.9,146,72.7,263,98.5,16,45.9,463,75.4,233,92.7,=39
=72,72,Lund University,Sweden,Lund,Europe,75.7,https://www.topuniversities.com/universities/lund-university,https://www.topuniversities.com/sites/default/files/lund-university_371_medium.jpg,56.6,312,80.1,99,68.1,246,64.1,167,96.1,65,82,213,97.1,35,98.8,134,83.7,181,98.8,=3
=72,73,Sorbonne University,France,Paris,Europe,75.7,https://www.topuniversities.com/universities/sorbonne-university,https://www.topuniversities.com/sites/default/files/sorbonne-university_5a6afcfecb4de709397114fe_medium.jpg,68.8,225,93.2,52,56.4,329,62.1,182,84.2,140,66.8,300,99.4,9,35.5,533,70,270,89.2,=68
74,74,The University of Warwick,United Kingdom,Coventry,Europe,75.2,https://www.topuniversities.com/universities/university-warwick,https://www.topuniversities.com/sites/default/files/240325030130pm310608Warwick-logo-90x90.jpg,43.6,432,82.7,85,48.3,402,93,60,75.3,182,99.2,60,93.8,101,99.5,111,99.3,49,84.6,=117
75,75,"Trinity College Dublin, The University of Dublin",Ireland,Dublin,Europe,73.9,https://www.topuniversities.com/universities/trinity-college-dublin-university-dublin,https://www.topuniversities.com/sites/default/files/trinity-college-dublin-the-university-of-dublin_167_medium.jpg,66,240,82.5,87,28.7,662,68.1,154,95.3,74,94.9,126,89.4,183,100,88,95.2,107,73.8,=262
76,76,University of Birmingham,United Kingdom,Birmingham,Europe,73.8,https://www.topuniversities.com/universities/university-birmingham,https://www.topuniversities.com/sites/default/files/university-of-birmingham_59_medium.jpg,56.1,316,81.1,95,49.9,385,75.7,122,54.7,305,93.4,139,96.3,54,96.7,154,93.9,115,92.8,38
77,77,The University of Western Australia,Australia,Perth,Oceania,73.7,https://www.topuniversities.com/universities/university-western-australia,https://www.topuniversities.com/sites/default/files/the-university-of-western-australia_673_medium.jpg,99.2,34,69,137,15.1,801+,56.5,209,82.6,147,100,36,93.2,122,100,77,100,23,83.7,=129
78,78,KTH Royal Institute of Technology,Sweden,Stockholm,Europe,73.6,https://www.topuniversities.com/universities/kth-royal-institute-technology,https://www.topuniversities.com/sites/default/files/260305113719am179277kth-royal-institute-of-technology--592560cf2aeae70239af4c9b-large-90x90.jpg,88.2,109,60.2,174,68.3,242,62.1,183,72.7,197,81.8,215,91.7,147,95.6,171,60.9,331,89.8,66
79,79,University of Glasgow,United Kingdom,Glasgow,Europe,73.4,https://www.topuniversities.com/universities/university-glasgow,https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_medium.jpg,44.8,416,88.3,72,50.3,377,73.5,132,44.5,395,99.1,67,97,38,98,140,99.1,57,95.4,=19
80,80,Universität Heidelberg,Germany,Heidelberg,Europe,73,https://www.topuniversities.com/universities/universitat-heidelberg,https://www.topuniversities.com/sites/default/files/221104124726pm969012uniHD-siegel-200x200k-90x90.jpg,41.4,456,87.1,74,99.8,32,72.2,138,34.6,494,71.4,265,94.7,88,66.2,352,74.1,240,85.5,106
81,81,University of Washington,United States,Seattle,North America,72.7,https://www.topuniversities.com/universities/university-washington,https://www.topuniversities.com/sites/default/files/240709093150am256263W-Logo-Purple-RGB-resized-90x90.jpg,69.2,221,90.1,68,49.2,391,74.8,128,79.9,160,45.8,441,95,83,14.7,801+,34.2,561,74.9,=237
=82,82,Adelaide University,Australia,Adelaide,Oceania,72.6,https://www.topuniversities.com/universities/adelaide-university,https://www.topuniversities.com/sites/default/files/251230064220am949573AU-stacked-300x300-90x90.jpg,69.8,218,78.3,102,30.5,621,62.7,176,70.4,207,97.5,96,96.7,46,100,90,72.5,251,86.1,=98
=82,83,Pennsylvania State University,United States,University Park,North America,72.6,https://www.topuniversities.com/universities/pennsylvania-state-university,https://www.topuniversities.com/sites/default/files/pennsylvania-state-university_494_medium.jpg,67.2,235,86.1,77,29.1,647,85.8,89,79.2,165,38.2,514,97.4,31,37.4,518,43.8,476,95.4,=19
84,84,Universidad de Buenos Aires (UBA),Argentina,Buenos Aires,Latin America,72.3,https://www.topuniversities.com/universities/universidad-de-buenos-aires-uba,https://www.topuniversities.com/sites/default/files/universidad-de-buenos-aires-uba_78_medium.jpg,2.3,801+,98.1,34,82,158,95.8,44,99.9,12,78.5,233,75.8,423,72.3,328,80.5,202,66.1,=376
85,85,Tokyo Institute of Technology (Tokyo Tech),Japan,Tokyo,Asia,72.1,https://www.topuniversities.com/universities/tokyo-institute-technology-tokyo-tech,https://www.topuniversities.com/sites/default/files/tokyo-institute-of-technology_592560cf2aeae70239af4ceb_medium.jpg,54.2,339,85,80,87.6,115,95.7,45,33.5,504,43.4,464,67.8,571,29.8,587,46.6,446,74.2,=253
86,86,University of Leeds,United Kingdom,Leeds,Europe,72,https://www.topuniversities.com/universities/university-leeds,https://www.topuniversities.com/sites/default/files/250929041939pm876425Logo-200x200-v2-90x90.jpg,48.8,380,81.8,90,39.7,512,82.1,98,62.9,250,96.3,108,99.2,13,89.7,224,96.5,93,76.4,=219
87,87,University of Southampton,United Kingdom,Southampton,Europe,71.2,https://www.topuniversities.com/universities/university-southampton,https://www.topuniversities.com/sites/default/files/241015033016pm657896University-of-Southampton-shield-blue-200-px-square-90x90.jpg,87.8,111,62.6,163,40.1,504,55.9,214,58.6,279,98.6,82,97.4,32,96.8,153,98.6,69,95.1,23
