rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url,street_address,locality,region,postal_code,country_address
=31,31,New York University,United States,81.6,74.6,78.5,94.3,74.8,74.1,https://www.timeshighereducation.com/world-university-rankings/new-york-university,70 Washington Square South,New York,New York,10012,United States
33,33,University of Hong Kong,Hong Kong,80.5,68.3,70.8,95.6,96.5,96.6,https://www.timeshighereducation.com/world-university-rankings/university-hong-kong,"['Pokfulam Road 9th Floor', 'Knowles Building']",Pokfulam,Hong Kong,,Hong Kong
34,34,LMU Munich,Germany,79.7,68.4,75.4,92.4,100.0,78.7,https://www.timeshighereducation.com/world-university-rankings/lmu-munich,Geschwister Scholl Platz 1,Munich,Bavaria,80539,Germany
35,35,École Polytechnique Fédérale de Lausanne,Switzerland,79.6,73.5,70.8,87.5,99.9,95.4,https://www.timeshighereducation.com/world-university-rankings/ecole-polytechnique-federale-de-lausanne,Route Cantonale,Lausanne,Vaud,1015,Switzerland
36,36,Fudan University,China,79.3,79.5,77.1,84.8,99.8,53.8,https://www.timeshighereducation.com/world-university-rankings/fudan-university,No 220 Handan Road Yangpu District,Shanghai,Shanghai,200433,China
37,37,University of Melbourne,Australia,79.0,67.7,75.5,87.8,99.3,91.6,https://www.timeshighereducation.com/world-university-rankings/university-melbourne,Grattan Street,Parkville,Victoria,3010,Australia
38,38,King’s College London,United Kingdom,78.7,64.2,72.1,95.5,72.3,96.9,https://www.timeshighereducation.com/world-university-rankings/kings-college-london,Strand,London,Borough of Westminster,WC2R 2LS,United Kingdom
39,39,Zhejiang University,China,78.3,75.0,78.4,84.3,100.0,55.5,https://www.timeshighereducation.com/world-university-rankings/zhejiang-university,866 Yuhangtang Road Hangzhou,,Zhejiang,310058,China
40,40,Shanghai Jiao Tong University,China,77.6,75.4,79.1,80.2,100.0,57.7,https://www.timeshighereducation.com/world-university-rankings/shanghai-jiao-tong-university,800 Dongchuan Road Minhang District,Shanghai,Shanghai,,China
=41,41,Georgia Institute of Technology,United States,77.1,60.8,75.8,90.4,99.1,81.5,https://www.timeshighereducation.com/world-university-rankings/georgia-institute-technology,North Avenue,Atlanta,Georgia,30332,United States
=41,41,McGill University,Canada,77.1,71.0,70.8,86.2,77.5,89.2,https://www.timeshighereducation.com/world-university-rankings/mcgill-university,845 Sherbrooke Street West,Montreal,,H3A 0G4,Canada
=41,41,The Chinese University of Hong Kong,Hong Kong,77.1,63.2,63.8,97.9,90.9,92.1,https://www.timeshighereducation.com/world-university-rankings/chinese-university-hong-kong,Shatin,Shatin,New Territories,,Hong Kong
=41,41,University of Illinois at Urbana-Champaign,United States,77.1,67.9,80.7,85.3,84.4,62.3,https://www.timeshighereducation.com/world-university-rankings/university-illinois-urbana-champaign,901 West Illinois Street,Urbana,Illinois,61801,United States
45,45,University of British Columbia,Canada,77.0,64.1,73.9,88.6,77.4,93.5,https://www.timeshighereducation.com/world-university-rankings/university-british-columbia,6200 University Boulevard,Vancouver,British Columbia,V6T 1Z4,Canada
46,46,KU Leuven,Belgium,76.8,61.3,73.8,91.3,100.0,79.2,https://www.timeshighereducation.com/world-university-rankings/ku-leuven,Oude Markt 13,Leuven,Flemish Region,3000,Belgium
47,47,"University of California, San Diego",United States,76.6,66.4,63.7,97.1,100.0,71.3,https://www.timeshighereducation.com/world-university-rankings/university-california-san-diego,9500 Gilman Dr,La Jolla,California,92093,United States
48,48,Paris Sciences et Lettres – PSL Research University Paris,France,76.5,74.2,71.8,79.8,99.7,77.9,https://www.timeshighereducation.com/world-university-rankings/paris-sciences-et-lettres-psl-research-university-paris,60 Rue Mazarine,Paris,Ile de France Region,75006,France
49,49,Universität Heidelberg,Germany,76.3,68.3,61.4,95.3,93.7,80.2,https://www.timeshighereducation.com/world-university-rankings/universitat-heidelberg,Grabengasse 1,Heidelberg,Baden Wurttemberg,69117,Germany
50,50,University of Texas at Austin,United States,75.8,67.8,76.0,90.1,82.3,46.2,https://www.timeshighereducation.com/world-university-rankings/university-texas-austin,110 Inner Campus Drive,Austin,Texas,78705,United States
51,51,University of Science and Technology of China,China,75.7,72.9,69.8,89.0,98.9,43.2,https://www.timeshighereducation.com/world-university-rankings/university-science-and-technology-china,No.96 Jinzhai Road Road Baohe District,Hefei,Anhui Province,230026,China
52,52,London School of Economics and Political Science,United Kingdom,75.4,60.5,71.2,93.4,46.8,94.2,https://www.timeshighereducation.com/world-university-rankings/london-school-economics-and-political-science,Houghton Street,London,Westminster,WC2A 2AE,United Kingdom
=53,53,Karolinska Institute,Sweden,75.0,59.6,66.0,95.5,94.7,77.8,https://www.timeshighereducation.com/world-university-rankings/karolinska-institute,Karolinska Institutet,Stockholm,Stockholm,171 77,Sweden
=53,53,The University of Sydney,Australia,75.0,59.2,67.5,91.5,98.9,88.2,https://www.timeshighereducation.com/world-university-rankings/university-sydney,Sydney,Sydney,New South Wales,2006,Australia
=53,53,University of Wisconsin-Madison,United States,75.0,70.3,68.8,88.0,82.6,62.0,https://www.timeshighereducation.com/world-university-rankings/university-wisconsin-madison,1308 West Dayton Street Union South,Madison,Wisconsin,53715-1149,United States
56,56,University of Manchester,United Kingdom,74.9,61.2,65.9,92.4,74.0,94.5,https://www.timeshighereducation.com/world-university-rankings/university-manchester,Oxford Road,Manchester,Greater Manchester,M13 9PL,United Kingdom
57,57,Delft University of Technology,Netherlands,74.3,64.1,75.1,75.5,100.0,92.1,https://www.timeshighereducation.com/world-university-rankings/delft-university-technology,Postbus 5,Delft,South Holland,2628 CD,Netherlands
=58,58,Monash University,Australia,74.1,54.3,65.5,94.0,99.6,91.9,https://www.timeshighereducation.com/world-university-rankings/monash-university,Wellington Road,Clayton,Victoria,3800,Australia
=58,58,Seoul National University,South Korea,74.1,74.1,74.8,77.6,100.0,43.5,https://www.timeshighereducation.com/world-university-rankings/seoul-national-university,1 Gwanak-ro Gwanak-gu,Seoul,Gyeonggi province,08826,South Korea
=58,58,The Hong Kong University of Science and Technology,Hong Kong,74.1,56.2,60.6,95.6,100.0,97.2,https://www.timeshighereducation.com/world-university-rankings/hong-kong-university-science-and-technology,Clear Water Bay,,Kowloon,,Hong Kong
61,61,Kyoto University,Japan,74.0,86.4,82.7,56.9,100.0,45.6,https://www.timeshighereducation.com/world-university-rankings/kyoto-university,"['Yoshida-honmachi', 'Sakyo-ku']",Kyoto,26,606-8501,Japan
=62,62,Nanjing University,China,73.7,69.6,66.2,85.1,99.6,59.6,https://www.timeshighereducation.com/world-university-rankings/nanjing-university,"['22 Hankou Road', 'Gulou District']",Nanjing,Jiangsu,210093,China
=62,62,University of Amsterdam,Netherlands,73.7,55.4,63.6,96.6,76.0,92.5,https://www.timeshighereducation.com/world-university-rankings/university-amsterdam,PO Box 19268,Amsterdam,North Holland Province,1012 WP,Netherlands
64,64,"University of California, Davis",United States,72.8,63.9,66.4,84.9,86.5,77.1,https://www.timeshighereducation.com/world-university-rankings/university-california-davis,One Shields Avenue,Davis,California,95616,United States
65,65,Brown University,United States,72.6,70.0,61.0,87.4,69.6,69.9,https://www.timeshighereducation.com/world-university-rankings/brown-university,One Prospect Street,Providence,Rhode Island,02912,United States
66,66,Wageningen University & Research,Netherlands,72.2,58.6,58.4,90.4,99.5,91.6,https://www.timeshighereducation.com/world-university-rankings/wageningen-university-research,Droevendaalsesteeg 4,Wageningen,,6708 PB,Netherlands
67,67,Washington University in St Louis,United States,72.0,60.8,56.2,97.5,74.5,73.8,https://www.timeshighereducation.com/world-university-rankings/washington-university-st-louis,1 Brookings Drive,Saint Louis,Missouri,63130,United States
