rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url,street_address,locality,region,postal_code,country_address
=30,30,The Hong Kong University of Science and Technology,Hong Kong,71.1,54.6,71.1,77.8,99.4,95.8,https://www.timeshighereducation.com/world-university-rankings/hong-kong-university-science-and-technology,Clear Water Bay,,Kowloon,,Hong Kong
32,32,University of Melbourne,Australia,70.8,63.0,69.5,70.8,89.3,93.4,https://www.timeshighereducation.com/world-university-rankings/university-melbourne,Grattan Street,Parkville,Victoria,3010,Australia
33,33,University of Mannheim,Germany,70.0,64.2,68.9,72.5,91.9,76.4,https://www.timeshighereducation.com/world-university-rankings/university-mannheim,Schloss,Mannheim,Baden Wurttemberg,68131,Germany
34,34,"Nanyang Technological University, Singapore",Singapore,69.8,60.6,66.2,77.3,82.0,87.4,https://www.timeshighereducation.com/world-university-rankings/nanyang-technological-university-singapore,50 Nanyang Avenue,Singapore,Singapore,639798,Singapore
35,35,University of Warwick,United Kingdom,69.5,63.5,64.5,74.1,64.5,96.4,https://www.timeshighereducation.com/world-university-rankings/university-warwick,University Road,Coventry,Coventry,CV4 7AL,United Kingdom
36,36,City University of Hong Kong,Hong Kong,69.1,55.0,61.8,80.2,99.9,98.9,https://www.timeshighereducation.com/world-university-rankings/city-university-hong-kong,Tat Chee Avenue,Kowloon,Kowloon,999077,Hong Kong
=36,36,University of British Columbia,Canada,69.1,60.4,69.7,70.3,67.0,93.3,https://www.timeshighereducation.com/world-university-rankings/university-british-columbia,6200 University Boulevard,Vancouver,British Columbia,V6T 1Z4,Canada
38,38,Zhejiang University,China,69.0,64.2,56.7,81.0,100.0,81.1,https://www.timeshighereducation.com/world-university-rankings/zhejiang-university,866 Yuhangtang Road Hangzhou,,Zhejiang,310058,China
39,39,LMU Munich,Germany,68.8,60.7,72.1,67.2,97.0,76.3,https://www.timeshighereducation.com/world-university-rankings/lmu-munich,Geschwister Scholl Platz 1,Munich,Bavaria,80539,Germany
40,40,University of Hong Kong,Hong Kong,68.5,54.5,63.9,80.0,75.1,96.6,https://www.timeshighereducation.com/world-university-rankings/university-hong-kong,"['Pokfulam Road 9th Floor', 'Knowles Building']",Pokfulam,Hong Kong,,Hong Kong
41,41,University of Manchester,United Kingdom,68.0,57.8,61.6,79.2,68.1,94.0,https://www.timeshighereducation.com/world-university-rankings/university-manchester,Oxford Road,Manchester,Greater Manchester,M13 9PL,United Kingdom
42,42,The Chinese University of Hong Kong,Hong Kong,67.8,55.6,68.0,72.8,77.8,89.5,https://www.timeshighereducation.com/world-university-rankings/chinese-university-hong-kong,Shatin,Shatin,New Territories,,Hong Kong
