rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url,street_address,locality,region,postal_code,country_address
251–300,251,University of Otago,New Zealand,44.8,27.7,24.2,78.6,52.5,76.7,https://www.timeshighereducation.com/world-university-rankings/university-otago,362 Leith Street,North Dunedin,Otago,9054,New Zealand
251–300,251,University of Ottawa,Canada,44.8,25.1,26.9,70.0,66.3,89.6,https://www.timeshighereducation.com/world-university-rankings/university-ottawa,550 Cumberland Street,Ottawa,Ontario,K1N 6N5,Canada
251–300,251,University of Oulu,Finland,44.8,24.0,28.4,85.7,67.4,47.0,https://www.timeshighereducation.com/world-university-rankings/university-oulu,Pentti Kaiteran katu 1,Oulu,Ostrobothnia Region,90570,Finland
251–300,251,University of Padua,Italy,44.8,24.0,33.0,69.7,77.0,53.2,https://www.timeshighereducation.com/world-university-rankings/university-padua,"['Via 8 Febbraio', '2']",Padua,Veneto,35122,Italy
251–300,251,University of Pittsburgh-Pittsburgh campus,United States,44.8,30.3,30.5,66.9,70.6,54.3,https://www.timeshighereducation.com/world-university-rankings/university-pittsburgh-pittsburgh-campus,4200 Fifth Avenue,Pittsburgh,Pennsylvania,15260,United States
251–300,251,University of Portsmouth,United Kingdom,44.8,15.6,17.0,94.9,51.3,95.3,https://www.timeshighereducation.com/world-university-rankings/university-portsmouth,Winston Churchill Avenue University House,Portsmouth,Hampshire,PO1 2UP,United Kingdom
251–300,251,University of Rome II – Tor Vergata,Italy,44.8,27.8,27.6,70.9,93.2,50.6,https://www.timeshighereducation.com/world-university-rankings/university-rome-ii-tor-vergata,Via Cracovia snc,Rome,Lazio,00133,Italy
251–300,251,University of South Carolina-Columbia,United States,44.8,24.7,26.3,77.8,59.8,61.0,https://www.timeshighereducation.com/world-university-rankings/university-south-carolina-columbia,University of South Carolina,Columbia,South Carolina,29208,United States
251–300,251,University of South Florida,United States,44.8,23.9,22.8,80.4,68.7,70.2,https://www.timeshighereducation.com/world-university-rankings/university-south-florida,4202 East Fowler Avenue,Tampa,Florida,33620,United States
251–300,251,University of Vaasa,Finland,44.8,16.5,25.0,90.9,48.0,60.9,https://www.timeshighereducation.com/world-university-rankings/university-vaasa,Wolffintie 32 PO Box 700,Vaasa,Ostrobothnia,65200,Finland
251–300,251,Vrije Universiteit Brussel,Belgium,44.8,23.2,30.5,71.0,87.8,68.2,https://www.timeshighereducation.com/world-university-rankings/vrije-universiteit-brussel,Pleinlaan 2,Elsene,Brussels,1050,Belgium
251–300,251,Zhejiang University of Technology,China,44.8,21.3,18.0,85.7,95.0,63.6,https://www.timeshighereducation.com/world-university-rankings/zhejiang-university-technology,18 Chaowang Road,Hangzhou,Zhejiang,310014,China
301–400,301,Ajman University,United Arab Emirates,42.4,26.1,21.5,67.3,32.8,98.2,https://www.timeshighereducation.com/world-university-rankings/ajman-university,PO Box 346,Ajman,Emirate of Ajman,,United Arab Emirates
301–400,301,Al-Ahliyya Amman University,Jordan,42.4,16.5,17.9,87.4,49.2,86.8,https://www.timeshighereducation.com/world-university-rankings/al-ahliyya-amman-university,Amman,Amman,Amman Governorate,19111,Jordan
301–400,301,"Amity University, Noida",India,42.4,25.0,18.8,76.6,68.9,46.4,https://www.timeshighereducation.com/world-university-rankings/amity-university-noida,Sector 125,Noida,UP,201313,India
301–400,301,Applied Science Private University,Jordan,42.4,17.4,20.7,89.5,17.3,74.7,https://www.timeshighereducation.com/world-university-rankings/applied-science-private-university,Al Arab Street 21 PO Box 541350​​,Shafa Badran,Amman,11937,Jordan
301–400,301,Auckland University of Technology,New Zealand,42.4,20.2,22.4,68.7,65.6,89.9,https://www.timeshighereducation.com/world-university-rankings/auckland-university-technology,55 Wellesley Street East,Auckland City,Auckland,1010,New Zealand
301–400,301,"Birkbeck, University of London",United Kingdom,42.4,21.8,21.3,66.5,67.1,95.3,https://www.timeshighereducation.com/world-university-rankings/birkbeck-university-london,"['Malet Street', 'Bloomsbury']",London,London,WC1E 7HX,United Kingdom
301–400,301,Ca’ Foscari University of Venice,Italy,42.4,29.7,26.4,66.3,76.4,55.3,https://www.timeshighereducation.com/world-university-rankings/ca-foscari-university-venice,Dorsoduro 3246,Venice,Veneto Region,30123,Italy
301–400,301,Central Queensland University,Australia,42.4,15.6,24.8,72.0,82.8,84.1,https://www.timeshighereducation.com/world-university-rankings/central-queensland-university,554-700 Yaamba Road Norman Gardens,North Rockhampton,Queensland,4701,Australia
301–400,301,Chongqing University,China,42.4,20.0,23.9,83.8,75.5,41.9,https://www.timeshighereducation.com/world-university-rankings/chongqing-university,174 Shazhengjie Shapingba,,Chongqing,400044,China
301–400,301,Chulalongkorn University,Thailand,42.4,26.6,29.3,58.4,88.1,47.3,https://www.timeshighereducation.com/world-university-rankings/chulalongkorn-university,Phayathai Road Pathumwan District,,10,10330,Thailand
301–400,301,City University of Macau,Macao,42.4,21.9,14.8,78.9,23.1,88.8,https://www.timeshighereducation.com/world-university-rankings/city-university-macau,Av. Padre Tomas Pereira,Macao,Macao,,Macao
301–400,301,Cyprus International University,Northern Cyprus,42.4,20.3,13.0,92.3,17.6,78.1,https://www.timeshighereducation.com/world-university-rankings/cyprus-international-university,,Nicosia District,Haspolat Region,99258,Northern Cyprus
301–400,301,Dalhousie University,Canada,42.4,15.4,25.1,71.9,62.6,85.9,https://www.timeshighereducation.com/world-university-rankings/dalhousie-university,Halifax,Halifax,Nova Scotia,B3H 4R2,Canada
301–400,301,Drexel University,United States,42.4,22.8,13.1,80.9,67.7,77.2,https://www.timeshighereducation.com/world-university-rankings/drexel-university,3141 Chestnut Street,Philadelphia,Pennsylvania,19104,United States
301–400,301,East China Normal University,China,42.4,22.5,20.6,76.0,83.3,57.3,https://www.timeshighereducation.com/world-university-rankings/east-china-normal-university,3663 Zhongshan North Road,Shanghai,Shanghai,200062,China
301–400,301,Eastern Mediterranean University,Northern Cyprus,42.4,19.4,11.5,88.0,40.6,78.2,https://www.timeshighereducation.com/world-university-rankings/eastern-mediterranean-university,Via Mersin 10,Famagusta,Famagusta,99628,Northern Cyprus
301–400,301,Flinders University,Australia,42.4,19.2,26.5,59.2,70.9,87.4,https://www.timeshighereducation.com/world-university-rankings/flinders-university,Sturt Road,Bedford Park,South Australia,5042,Australia
301–400,301,Florida Atlantic University,United States,42.4,19.2,27.4,70.2,83.1,61.8,https://www.timeshighereducation.com/world-university-rankings/florida-atlantic-university,777 Glades Road,Boca Raton,Florida,33431,United States
301–400,301,Florida International University,United States,42.4,28.7,26.8,64.3,66.0,52.7,https://www.timeshighereducation.com/world-university-rankings/florida-international-university,11200 South West 8th Street,Miami,Florida,33199,United States
301–400,301,Florida State University,United States,42.4,25.0,27.5,69.7,67.9,50.9,https://www.timeshighereducation.com/world-university-rankings/florida-state-university,600 West College Avenue,Tallahassee,Florida,32306,United States
301–400,301,George Mason University,United States,42.4,30.7,28.4,55.7,64.9,58.7,https://www.timeshighereducation.com/world-university-rankings/george-mason-university,4400 University Drive,Fairfax,Virginia,22030,United States
301–400,301,Hebrew University of Jerusalem,Israel,42.4,27.5,37.9,52.0,67.9,41.5,https://www.timeshighereducation.com/world-university-rankings/hebrew-university-jerusalem,Mount Scopus,Jerusalem,Jerusalem,9190500,Israel
301–400,301,Heriot-Watt University,United Kingdom,42.4,20.5,20.8,64.9,66.0,94.3,https://www.timeshighereducation.com/world-university-rankings/heriot-watt-university,Riccarton Scott Russell Building,Edinburgh,Edinburgh,EH14 4AS,United Kingdom
301–400,301,Hiroshima University,Japan,42.4,23.2,24.9,70.4,55.5,60.3,https://www.timeshighereducation.com/world-university-rankings/hiroshima-university,1-3-2 Kagamiyama,Higashi Hiroshima City,34,739-8511,Japan
301–400,301,Hitotsubashi University,Japan,42.4,44.6,34.5,35.9,31.6,59.0,https://www.timeshighereducation.com/world-university-rankings/hitotsubashi-university,2-1 Naka Kunitachi,,13,186-8601,Japan
301–400,301,Hunan University,China,42.4,20.1,21.9,84.8,92.6,39.6,https://www.timeshighereducation.com/world-university-rankings/hunan-university,2 Lushan Road South Yuelu District,Changsha,Hunan,410082,China
301–400,301,Illinois Institute of Technology,United States,42.4,22.9,15.8,80.9,63.3,72.5,https://www.timeshighereducation.com/world-university-rankings/illinois-institute-technology,10 West 35th Street,Chicago,Illinois,60616,United States
301–400,301,Iowa State University,United States,42.4,28.7,29.0,63.5,83.0,40.5,https://www.timeshighereducation.com/world-university-rankings/iowa-state-university,2433 Union Drive 100 Enrollment Services Center,Ames,Iowa,50011-2042,United States
301–400,301,Iran University of Science and Technology,Iran,42.4,21.6,22.7,74.5,91.1,41.9,https://www.timeshighereducation.com/world-university-rankings/iran-university-science-and-technology,Narmak,Tehran,Tehran,1684613114,Iran
301–400,301,Istanbul Medipol University,Turkey,42.4,20.0,23.9,87.0,29.1,56.9,https://www.timeshighereducation.com/world-university-rankings/istanbul-medipol-university,Ekinciler Caddesi No. 19 Kavacık Mahallesi,Istanbul,Beykoz,34810,Turkey
301–400,301,James Cook University,Australia,42.4,20.1,23.3,71.8,75.6,84.5,https://www.timeshighereducation.com/world-university-rankings/james-cook-university,1 James Cook Drive Douglas,Townsville,Queensland,4811,Australia
301–400,301,King Abdulaziz University,Saudi Arabia,42.4,14.0,16.8,90.4,73.5,71.3,https://www.timeshighereducation.com/world-university-rankings/king-abdulaziz-university,PO Box 80200,Jeddah,Makkah Province,21589,Saudi Arabia
301–400,301,Kyushu University,Japan,42.4,23.4,28.8,68.4,66.7,52.3,https://www.timeshighereducation.com/world-university-rankings/kyushu-university,744 Motooka Nishi-ku,Fukuoka,40,819-0395,Japan
301–400,301,Lingnan University Hong Kong,Hong Kong,42.4,22.2,30.5,55.9,57.3,93.9,https://www.timeshighereducation.com/world-university-rankings/lingnan-university-hong-kong,8 Castle Peak Road Tuen Mun,Hong Kong,Hong Kong,999077,Hong Kong
301–400,301,Linköping University,Sweden,42.4,14.9,28.9,79.4,92.1,56.0,https://www.timeshighereducation.com/world-university-rankings/linkoping-university,Linkoping,Linkoping,Linkoping,SE-581 83,Sweden
301–400,301,Liverpool John Moores University,United Kingdom,42.4,14.5,11.8,90.9,55.0,77.8,https://www.timeshighereducation.com/world-university-rankings/liverpool-john-moores-university,Ground Floor Exchange Station Tithebarn Street,Liverpool,Merseyside,L2 2QP,United Kingdom
301–400,301,London Metropolitan University,United Kingdom,42.4,11.2,11.7,87.7,50.0,95.9,https://www.timeshighereducation.com/world-university-rankings/london-metropolitan-university,166-220 Holloway Road,London,London,N7 8DB,United Kingdom
301–400,301,Lovely Professional University,India,42.4,21.7,13.4,93.2,44.6,46.9,https://www.timeshighereducation.com/world-university-rankings/lovely-professional-university,Jalandhar-Delhi G.T. Road (NH-1),Phagwara,PB,144411,India
301–400,301,Montpellier University,France,42.4,21.3,20.1,73.4,65.8,63.1,https://www.timeshighereducation.com/world-university-rankings/montpellier-university,163 Rue Auguste Broussonnet,Montpellier,Occitanie,34090,France
301–400,301,Nanjing University of Aeronautics and Astronautics,China,42.4,20.3,20.8,84.4,99.2,34.8,https://www.timeshighereducation.com/world-university-rankings/nanjing-university-aeronautics-and-astronautics,29 Yudao Street,Nanjing,Jiangsu,210016,China
301–400,301,National Tsing Hua University,Taiwan,42.4,22.3,32.0,67.0,74.8,56.2,https://www.timeshighereducation.com/world-university-rankings/national-tsing-hua-university,"['No. 101', 'Section 2', 'Guangfu Rd']",Hsinchu,Hsinchu,300044,Taiwan
301–400,301,Near East University,Northern Cyprus,42.4,22.0,13.1,79.6,40.1,83.1,https://www.timeshighereducation.com/world-university-rankings/near-east-university,Near East Boulevard,Nicosia,Mersin 10,99138,Northern Cyprus
301–400,301,Northumbria University,United Kingdom,42.4,16.0,20.5,81.4,42.1,94.1,https://www.timeshighereducation.com/world-university-rankings/northumbria-university,Northumberland Road Sutherland Building,Newcastle upon Tyne,Tyne and Wear,NE1 8ST,United Kingdom
301–400,301,Oklahoma State University,United States,42.4,20.5,22.5,82.2,69.6,55.0,https://www.timeshighereducation.com/world-university-rankings/oklahoma-state-university,219 Student Union,Stillwater,Oklahoma,74078,United States
301–400,301,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,42.4,29.9,30.0,56.9,90.2,40.4,https://www.timeshighereducation.com/world-university-rankings/pontifical-catholic-university-rio-de-janeiro-puc-rio,225 Rua Marques de Sao Vicente Gavea,Rio de Janeiro,Rio de Janeiro,22451-900,Brazil
301–400,301,Prince Sattam Bin Abdulaziz University,Saudi Arabia,42.4,16.0,22.2,73.7,66.5,74.7,https://www.timeshighereducation.com/world-university-rankings/prince-sattam-bin-abdulaziz-university,Prince Faisal bin Bandar St,Al Kharj,Riyadh Province,16278,Saudi Arabia
301–400,301,Princess Nourah bint Abdulrahman University,Saudi Arabia,42.4,20.6,13.1,80.2,59.7,76.5,https://www.timeshighereducation.com/world-university-rankings/princess-nourah-bint-abdulrahman-university,Al Imam Abdullah Ibn Saud Ibn,Riyadh,Riyadh Province,11564,Saudi Arabia
301–400,301,Prince Sultan University (PSU),Saudi Arabia,42.4,14.2,20.7,77.8,56.2,78.2,https://www.timeshighereducation.com/world-university-rankings/prince-sultan-university-psu,Rafha Street PO Box No 66833,Riyadh,Riyadh Province,11586,Saudi Arabia
301–400,301,Queen’s University,Canada,42.4,27.0,18.0,67.2,68.6,77.6,https://www.timeshighereducation.com/world-university-rankings/queens-university,99 University Avenue,Kingston,Ontario,K7L 3N6,Canada
301–400,301,Queen’s University Belfast,United Kingdom,42.4,18.8,23.0,75.5,45.3,96.6,https://www.timeshighereducation.com/world-university-rankings/queens-university-belfast,University Road,Belfast,Northern Ireland,BT7 1NN,United Kingdom
301–400,301,"Royal Holloway, University of London",United Kingdom,42.4,22.9,23.8,66.2,48.6,91.1,https://www.timeshighereducation.com/world-university-rankings/royal-holloway-university-london,Egham Hill,Egham,Surrey,TW20 0EX,United Kingdom
301–400,301,Sabancı University,Turkey,42.4,33.2,28.8,50.6,88.1,64.9,https://www.timeshighereducation.com/world-university-rankings/sabanci-university,Orta Mahalle,Tuzla,Istanbul,34956,Turkey
301–400,301,Sharif University of Technology,Iran,42.4,24.4,31.1,63.1,99.6,36.9,https://www.timeshighereducation.com/world-university-rankings/sharif-university-technology,Azadi Ave,Tehran,Tehran,,Iran
301–400,301,Shenzhen University,China,42.4,17.8,17.7,84.5,88.9,53.1,https://www.timeshighereducation.com/world-university-rankings/shenzhen-university,Nanhai Ave 3688,Shenzhen,Guangdong,518060,China
301–400,301,Simon Fraser University,Canada,42.4,23.8,23.7,63.9,71.6,92.3,https://www.timeshighereducation.com/world-university-rankings/simon-fraser-university,8888 University Drive,Burnaby,British Columbia,V5A 1S6,Canada
301–400,301,South China University of Technology,China,42.4,20.2,22.0,73.2,99.4,45.8,https://www.timeshighereducation.com/world-university-rankings/south-china-university-technology,Wushan Road Tianhe District,Guangzhou,Guangdong,510641,China
301–400,301,Southeast University,China,42.4,24.5,24.7,73.6,75.9,48.5,https://www.timeshighereducation.com/world-university-rankings/southeast-university,No. 2 Sipailou,Nanjing,Jiangsu,210096,China
301–400,301,Southwest Jiaotong University,China,42.4,17.6,26.5,78.1,93.5,32.9,https://www.timeshighereducation.com/world-university-rankings/southwest-jiaotong-university,No 999 Xian Road Pidu District,Chengdu,Sichuan,611756,China
301–400,301,Tampere University,Finland,42.4,18.0,27.5,82.2,71.3,34.4,https://www.timeshighereducation.com/world-university-rankings/tampere-university,4 Kalevantie,Tampere,Pirkanmaa,33100,Finland
301–400,301,Teesside University,United Kingdom,42.4,19.8,12.0,83.4,32.4,98.2,https://www.timeshighereducation.com/world-university-rankings/teesside-university,Tees Valley,Middlesbrough,North Yorkshire,TS1 3BX,United Kingdom
301–400,301,Tel Aviv University,Israel,42.4,23.5,39.2,57.6,70.6,58.1,https://www.timeshighereducation.com/world-university-rankings/tel-aviv-university,PO Box 39040,Tel Aviv,Tel Aviv,6997801,Israel
301–400,301,The University of Tennessee-Knoxville,United States,42.4,22.4,32.0,70.8,65.6,46.1,https://www.timeshighereducation.com/world-university-rankings/university-tennessee-knoxville,1502 Cumberland Avenue,Knoxville,Tennessee,37996,United States
301–400,301,Tomas Bata University in Zlín,Czechia,42.4,19.9,23.3,78.9,19.5,63.6,https://www.timeshighereducation.com/world-university-rankings/tomas-bata-university-zlin,Nam T G Masaryka 5555,Zlin,Zlin Region,760 01,Czechia
301–400,301,TU Dortmund University,Germany,42.4,28.0,31.8,60.9,96.5,39.8,https://www.timeshighereducation.com/world-university-rankings/tu-dortmund-university,August Schmidt Strasse 4,Dortmund,North Rhine Westphalia,44227,Germany
301–400,301,UEH University,Vietnam,42.4,13.0,18.9,91.3,53.7,51.1,https://www.timeshighereducation.com/world-university-rankings/ueh-university,59C Nguyen Dinh Chieu District 3,Ho Chi Minh City,Ho Chi Minh,,Vietnam
301–400,301,Université Côte d'Azur,France,42.4,31.3,28.3,51.9,49.6,76.0,https://www.timeshighereducation.com/world-university-rankings/universite-cote-dazur,Grand Chateau 28 Avenue Valrose BP 2135,Nice,Alpes Cote d Azur Region,06103,France
301–400,301,Université Libre de Bruxelles,Belgium,42.4,24.7,31.8,57.2,64.9,75.4,https://www.timeshighereducation.com/world-university-rankings/universite-libre-de-bruxelles,50 Avenue Franklin Roosevelt,Brussels,Brussels,1050,Belgium
301–400,301,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),Malaysia,42.4,22.9,27.7,65.0,77.0,69.6,https://www.timeshighereducation.com/world-university-rankings/universiti-malaysia-pahang-al-sultan-abdullah-umpsa,Canseleri Tun Abdul Razak,Pekan,Pahang Darul Makmur,26600,Malaysia
301–400,301,University of Beira Interior,Portugal,42.4,20.3,23.7,81.2,46.5,46.0,https://www.timeshighereducation.com/world-university-rankings/university-beira-interior,Convento de Sto. Antonio,Covilha,,6201-001,Portugal
301–400,301,University of Calgary,Canada,42.4,25.4,27.1,61.7,83.1,80.9,https://www.timeshighereducation.com/world-university-rankings/university-calgary,2500 University Drive. NW,Calgary,Alberta,T2N 1N4,Canada
301–400,301,University of Canberra,Australia,42.4,22.4,21.0,68.4,57.7,80.1,https://www.timeshighereducation.com/world-university-rankings/university-canberra,University Drive,Bruce,Australian Capital Territory,ACT 2617,Australia
301–400,301,University of Colorado Boulder,United States,42.4,20.9,26.6,80.4,68.2,49.0,https://www.timeshighereducation.com/world-university-rankings/university-colorado-boulder,Boulder,Boulder,Colorado,80309,United States
301–400,301,University of Derby,United Kingdom,42.4,14.4,12.7,90.8,37.0,90.7,https://www.timeshighereducation.com/world-university-rankings/university-derby,Kedleston Road,Derby,Derbyshire,DE22 1GB,United Kingdom
301–400,301,University of Galway,Ireland,42.4,16.2,20.6,82.0,68.4,69.3,https://www.timeshighereducation.com/world-university-rankings/university-galway,University Road,Galway,Connacht,H91 TK33,Ireland
301–400,301,University of Gothenburg,Sweden,42.4,23.9,33.7,65.6,69.4,48.6,https://www.timeshighereducation.com/world-university-rankings/university-gothenburg,PO Box 100 SE-405 30,Gothenburg,Vastra Gotaland County,,Sweden
301–400,301,University of Greenwich,United Kingdom,42.4,15.1,11.5,93.1,41.6,96.7,https://www.timeshighereducation.com/world-university-rankings/university-greenwich,Park Row,Greenwich,London,SE10 9LS,United Kingdom
301–400,301,University of Houston,United States,42.4,24.5,22.2,72.1,67.1,70.5,https://www.timeshighereducation.com/world-university-rankings/university-houston,4800 Calhoun Road,Houston,Texas,77004-2693,United States
301–400,301,University of Hull,United Kingdom,42.4,23.7,16.2,72.6,57.0,92.7,https://www.timeshighereducation.com/world-university-rankings/university-hull,Cottingham Road,Hull,Kingston upon Hull,HU6 7RX,United Kingdom
301–400,301,University of Illinois Chicago,United States,42.4,23.0,24.3,70.2,67.0,66.1,https://www.timeshighereducation.com/world-university-rankings/university-illinois-chicago,1200 West Harrison Street,Chicago,Illinois,60607,United States
301–400,301,University of Jyväskylä,Finland,42.4,16.8,29.2,76.0,60.7,42.0,https://www.timeshighereducation.com/world-university-rankings/university-jyvaskyla,Seminaarinkatu 15,Jyvaskyla,Keski Suomi,40014,Finland
301–400,301,University of Klagenfurt,Austria,42.4,21.2,17.6,78.0,45.7,82.1,https://www.timeshighereducation.com/world-university-rankings/university-klagenfurt,Universitat 65-67,Klagenfurt am Worthersee,Carinthia,9020,Austria
301–400,301,University of Liège,Belgium,42.4,19.2,28.7,59.7,90.2,68.3,https://www.timeshighereducation.com/world-university-rankings/university-liege,Place du 20-Aout 7,Liege,Wallonia Region,4000,Belgium
301–400,301,University of Lisbon,Portugal,42.4,22.9,30.0,66.2,66.3,49.0,https://www.timeshighereducation.com/world-university-rankings/university-lisbon,Alameda da Universidade,Lisbon,Lisbon District,1649,Portugal
301–400,301,University of Malta,Malta,42.4,17.2,17.6,90.5,48.6,48.1,https://www.timeshighereducation.com/world-university-rankings/university-malta,University Ring Road,Msida,Central Malta,MSD 2080,Malta
301–400,301,University of Messina,Italy,42.4,22.0,17.8,81.8,76.0,46.2,https://www.timeshighereducation.com/world-university-rankings/university-messina,"['Piazza Pugliatti', '1']",,Messina,98122,Italy
301–400,301,University of Miami,United States,42.4,20.3,19.1,75.9,67.1,65.8,https://www.timeshighereducation.com/world-university-rankings/university-miami,Coral Gables,Coral Gables,Florida,33124,United States
301–400,301,University of Naples Federico II,Italy,42.4,24.0,27.6,73.9,68.3,31.4,https://www.timeshighereducation.com/world-university-rankings/university-naples-federico-ii,Corso Umberto I 40,Napoli,Campania,80138,Italy
301–400,301,University of Plymouth,United Kingdom,42.4,15.1,12.4,85.2,65.4,94.8,https://www.timeshighereducation.com/world-university-rankings/university-plymouth,Drake Circus,Plymouth,Devon,PL4 8AA,United Kingdom
301–400,301,University of Southern Queensland,Australia,42.4,25.0,18.2,77.0,61.8,69.4,https://www.timeshighereducation.com/world-university-rankings/university-southern-queensland,West Street,Toowoomba,Queensland,4350,Australia
301–400,301,University of St Andrews,United Kingdom,42.4,31.5,21.7,61.3,36.9,95.1,https://www.timeshighereducation.com/world-university-rankings/university-st-andrews,College Gate,St. Andrews,Fife,KY16 9AJ,United Kingdom
301–400,301,University of Tasmania,Australia,42.4,21.4,19.3,71.7,72.9,87.1,https://www.timeshighereducation.com/world-university-rankings/university-tasmania,Churchill Avenue Sandy Bay,Hobart,Tasmania,7001,Australia
301–400,301,University of Texas at Dallas,United States,42.4,22.6,32.3,54.0,68.0,69.7,https://www.timeshighereducation.com/world-university-rankings/university-texas-dallas,800 West Campbell Road,Richardson,Texas,75080-3021,United States
301–400,301,University of the Witwatersrand,South Africa,42.4,24.8,27.6,64.1,73.3,61.2,https://www.timeshighereducation.com/world-university-rankings/university-witwatersrand,1 Jan Smuts Avenue Braamfontein 2000,Johannesburg,Gauteng,0299 – 219,South Africa
301–400,301,University of Trento,Italy,42.4,23.7,30.0,73.1,70.0,51.9,https://www.timeshighereducation.com/world-university-rankings/university-trento,"['Via Calepina', '14']",,Trento,38122,Italy
301–400,301,University of Tunis El Manar,Tunisia,42.4,27.8,22.5,71.1,73.4,51.2,https://www.timeshighereducation.com/world-university-rankings/university-tunis-el-manar,B.P. no. 94,Rommana,Tunis,1068,Tunisia
301–400,301,University of Turin,Italy,42.4,19.5,21.6,88.4,52.9,47.6,https://www.timeshighereducation.com/world-university-rankings/university-turin,8 Via Verdi,Turin,Piedmont,10124,Italy
301–400,301,University of Turku,Finland,42.4,23.0,24.5,75.1,52.6,43.1,https://www.timeshighereducation.com/world-university-rankings/university-turku,Turun yliopisto,Turku,Finland Proper,20014,Finland
301–400,301,Victoria University of Wellington,New Zealand,42.4,21.9,24.6,69.1,56.3,77.5,https://www.timeshighereducation.com/world-university-rankings/victoria-university-wellington,PO Box 600,Wellington,Wellington,6140,New Zealand
301–400,301,Washington State University,United States,42.4,22.2,24.7,69.0,72.7,59.5,https://www.timeshighereducation.com/world-university-rankings/washington-state-university,PO Box 645910,Pullman,Washington,99164,United States
301–400,301,Western Sydney University,Australia,42.4,20.6,21.8,73.3,66.7,87.7,https://www.timeshighereducation.com/world-university-rankings/western-sydney-university,Locked Bag 1797,Penrith,New South Wales,2751,Australia
301–400,301,Yildiz Technical University,Turkey,42.4,27.6,24.5,69.4,91.3,39.0,https://www.timeshighereducation.com/world-university-rankings/yildiz-technical-university,Barbaros Boulevard,Yildiz,Istanbul,34349,Turkey
301–400,301,Zayed University,United Arab Emirates,42.4,18.7,21.3,83.2,53.5,74.0,https://www.timeshighereducation.com/world-university-rankings/zayed-university,Al Thuraya Street,Dubai,DU,,United Arab Emirates
401–500,401,Aligarh Muslim University,India,39.4,25.3,19.3,68.3,55.6,39.4,https://www.timeshighereducation.com/world-university-rankings/aligarh-muslim-university,Aligarh Muslim University Aligarh,Uttar Pradesh,UP,202001,India
401–500,401,American University,United States,39.4,27.2,18.5,67.0,60.6,55.1,https://www.timeshighereducation.com/world-university-rankings/american-university,4400 Massachusetts Avenue NW,Washington,District of Columbia,20016,United States
401–500,401,Auburn University,United States,39.4,20.2,24.0,60.5,96.7,47.9,https://www.timeshighereducation.com/world-university-rankings/auburn-university,182 South College Street,Auburn,Alabama,36849,United States
401–500,401,Australian Catholic University,Australia,39.4,14.0,12.1,83.8,17.3,88.7,https://www.timeshighereducation.com/world-university-rankings/australian-catholic-university,40 Edward Street North Sydney,Sydney,New South Wales,2060,Australia
401–500,401,Bond University,Australia,39.4,25.3,14.3,64.1,34.3,81.6,https://www.timeshighereducation.com/world-university-rankings/bond-university,14 University Drive,Robina,Queensland,4226,Australia
401–500,401,Case Western Reserve University,United States,39.4,30.6,21.4,54.7,67.6,64.3,https://www.timeshighereducation.com/world-university-rankings/case-western-reserve-university,10900 Euclid Avenue,Cleveland,Ohio,44106,United States
401–500,401,Chang’an University,China,39.4,13.5,17.6,85.7,94.4,37.6,https://www.timeshighereducation.com/world-university-rankings/changan-university,Naner Huan Road,Xian,Shaanxi Province,710064,China
401–500,401,Charles Darwin University,Australia,39.4,13.0,18.1,72.4,27.7,84.1,https://www.timeshighereducation.com/world-university-rankings/charles-darwin-university,Ellengowan Drive,Brinkin,Northern Territory,0810,Australia
401–500,401,Chung-Ang University,South Korea,39.4,26.3,22.6,51.3,64.9,78.3,https://www.timeshighereducation.com/world-university-rankings/chung-ang-university,"['84 Heukseok-Ro', 'Dongjak-gu']",Seoul,11,06987,South Korea
401–500,401,COMSATS University Islamabad,Pakistan,39.4,19.8,12.8,86.7,45.2,51.3,https://www.timeshighereducation.com/world-university-rankings/comsats-university-islamabad,Park Road,Tarlai Kalan,Islamabad,45550,Pakistan
401–500,401,Coventry University,United Kingdom,39.4,16.1,11.3,73.0,51.9,94.6,https://www.timeshighereducation.com/world-university-rankings/coventry-university,Priory Street,Coventry,West Midlands,CV1 5FB,United Kingdom
401–500,401,Cyprus University of Technology,Cyprus,39.4,16.9,17.8,76.3,42.1,54.7,https://www.timeshighereducation.com/world-university-rankings/cyprus-university-technology,Archiepiskopou Kyprianou 30,Limassol,Limassol,3036,Cyprus
401–500,401,De Montfort University,United Kingdom,39.4,10.6,11.5,81.1,51.0,92.2,https://www.timeshighereducation.com/world-university-rankings/de-montfort-university,The Gateway,Leicester,Leicestershire,LE1 9BH,United Kingdom
401–500,401,Dhofar University,Oman,39.4,12.6,13.1,81.3,40.6,76.4,https://www.timeshighereducation.com/world-university-rankings/dhofar-university,PO Box 2509,Salalah,Dhofar Governate,211,Oman
401–500,401,Donghua University,China,39.4,20.6,21.6,60.7,99.8,48.6,https://www.timeshighereducation.com/world-university-rankings/donghua-university,2999 North Renmin Road,,Shanghai,201620,China
401–500,401,Ewha Womans University,South Korea,39.4,26.9,28.1,45.4,91.2,53.7,https://www.timeshighereducation.com/world-university-rankings/ewha-womans-university,52 Ewhayeodae-gil,Seodaemun-gu,11,561-760,South Korea
