rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url
=39,39,Federal University of Rio Grande do Norte (UFRN),Brazil,27.0,31.2,16.5,31.8,43.3,33.2,https://www.timeshighereducation.com/world-university-rankings/federal-university-rio-grande-do-norte-ufrn
=39,39,"University of Santiago, Chile (USACH)",Chile,27.0,20.9,19.2,42.3,30.1,47.5,https://www.timeshighereducation.com/world-university-rankings/university-santiago-chile-usach
41,41,Austral University of Chile,Chile,26.8,19.0,19.9,39.6,41.8,52.4,https://www.timeshighereducation.com/world-university-rankings/austral-university-chile
42,42,Del Rosario University,Colombia,26.7,24.4,18.8,34.6,30.5,49.8,https://www.timeshighereducation.com/world-university-rankings/del-rosario-university
43,43,"University of the North, Colombia",Colombia,26.6,23.8,18.1,37.1,24.0,51.0,https://www.timeshighereducation.com/world-university-rankings/university-north-colombia
=44,44,Federico Santa María Technical University,Chile,26.5,19.4,15.0,45.2,40.7,53.8,https://www.timeshighereducation.com/world-university-rankings/federico-santa-maria-technical-university
=44,44,Pontifícia Universidade Católica do Paraná,Brazil,26.5,27.4,16.0,35.8,52.4,31.4,https://www.timeshighereducation.com/world-university-rankings/pontificia-universidade-catolica-do-parana
=44,44,Universidade Estadual de Maringá,Brazil,26.5,35.1,16.3,29.5,26.8,23.7,https://www.timeshighereducation.com/world-university-rankings/universidade-estadual-de-maringa
47,47,University of Talca,Chile,26.4,22.2,16.5,38.4,37.6,52.0,https://www.timeshighereducation.com/world-university-rankings/university-talca
=48,48,Federal University of Espírito Santo,Brazil,26.3,28.6,15.2,34.3,53.0,30.0,https://www.timeshighereducation.com/world-university-rankings/federal-university-espirito-santo
=48,48,Fluminense Federal University,Brazil,26.3,27.9,15.4,39.9,27.2,31.5,https://www.timeshighereducation.com/world-university-rankings/fluminense-federal-university
50,50,Federal University of Pelotas,Brazil,26.2,27.8,16.9,38.7,25.0,27.2,https://www.timeshighereducation.com/world-university-rankings/federal-university-pelotas
51,51,Federal University of Viçosa,Brazil,26.0,33.4,13.7,32.6,28.7,27.5,https://www.timeshighereducation.com/world-university-rankings/federal-university-vicosa
52,52,Metropolitan Autonomous University,Mexico,25.9,26.9,24.1,25.5,30.1,28.0,https://www.timeshighereducation.com/world-university-rankings/metropolitan-autonomous-university
53,53,Catholic University of the North,Chile,25.8,17.6,18.2,41.0,19.9,61.0,https://www.timeshighereducation.com/world-university-rankings/catholic-university-north
54,54,Universidade Federal da Bahia,Brazil,25.6,30.2,15.6,31.7,25.1,33.0,https://www.timeshighereducation.com/world-university-rankings/universidade-federal-da-bahia
=55,55,Diego Portales University,Chile,25.5,18.7,14.5,46.3,19.2,54.1,https://www.timeshighereducation.com/world-university-rankings/diego-portales-university
=55,55,Universidad Peruana Cayetano Heredia,Peru,25.5,22.9,18.2,31.6,33.7,49.7,https://www.timeshighereducation.com/world-university-rankings/universidad-peruana-cayetano-heredia
=57,57,Universidad Católica del Maule,Chile,25.3,18.5,20.3,36.2,17.8,54.6,https://www.timeshighereducation.com/world-university-rankings/universidad-catolica-del-maule
=57,57,University of la Costa,Colombia,25.3,15.5,16.6,47.1,17.4,55.6,https://www.timeshighereducation.com/world-university-rankings/university-la-costa
=59,59,Federal Rural University of Pernambuco,Brazil,25.1,36.0,12.1,28.2,24.1,24.6,https://www.timeshighereducation.com/world-university-rankings/federal-rural-university-pernambuco
=59,59,The University of the West Indies,Jamaica,25.1,24.6,13.8,33.7,29.4,52.6,https://www.timeshighereducation.com/world-university-rankings/university-west-indies
61,61,Federal University of Uberlândia,Brazil,25.0,28.2,15.1,32.6,39.4,25.9,https://www.timeshighereducation.com/world-university-rankings/federal-university-uberlandia
=62,62,National University of La Plata,Argentina,24.9,24.7,13.6,30.0,26.5,62.6,https://www.timeshighereducation.com/world-university-rankings/national-university-la-plata
=62,62,Pontifical Catholic University of Peru,Peru,24.9,26.9,11.4,37.5,24.1,42.7,https://www.timeshighereducation.com/world-university-rankings/pontifical-catholic-university-peru
=64,64,Escuela Superior Politécnica del Litoral,Ecuador,24.7,23.6,10.7,36.6,31.3,56.7,https://www.timeshighereducation.com/world-university-rankings/escuela-superior-politecnica-del-litoral
=64,64,Federal University of Mato Grosso do Sul,Brazil,24.7,26.9,16.3,29.4,37.8,32.3,https://www.timeshighereducation.com/world-university-rankings/federal-university-mato-grosso-do-sul
