rank_raw,rank,name,country,overall_score,teaching_score,research_env_score,research_quality_score,industry_score,international_score,url
151+,151,Regional Autonomous University of the Andes (UNIANDES),Ecuador,17.2,22.3,11.5,8.9,16.3,24.7,https://www.timeshighereducation.com/world-university-rankings/regional-autonomous-university-andes-uniandes
151+,151,Simón Bolívar University (Colombia),Colombia,17.2,17.6,9.9,8.4,18.9,49.4,https://www.timeshighereducation.com/world-university-rankings/simon-bolivar-university-colombia
151+,151,State University of Bahia,Brazil,17.2,23.6,9.8,6.5,17.1,22.3,https://www.timeshighereducation.com/world-university-rankings/state-university-bahia
151+,151,State University of Southwestern Bahia (UESB),Brazil,17.2,28.8,9.6,8.2,16.5,19.5,https://www.timeshighereducation.com/world-university-rankings/state-university-southwestern-bahia-uesb
151+,151,Technical University of Cotopaxi (UTC),Ecuador,17.2,14.0,8.2,4.2,16.6,34.4,https://www.timeshighereducation.com/world-university-rankings/technical-university-cotopaxi-utc
151+,151,Technical University of the North,Ecuador,17.2,14.9,13.1,9.5,16.0,36.3,https://www.timeshighereducation.com/world-university-rankings/technical-university-north
151+,151,Technological University of Pereira,Colombia,17.2,20.3,8.4,9.6,20.5,34.3,https://www.timeshighereducation.com/world-university-rankings/technological-university-pereira
151+,151,Tiradentes University,Brazil,17.2,17.1,9.9,12.4,17.3,43.2,https://www.timeshighereducation.com/world-university-rankings/tiradentes-university
151+,151,UNESC,Brazil,17.2,21.9,10.2,13.8,23.7,31.4,https://www.timeshighereducation.com/world-university-rankings/unesc
151+,151,Unichristus,Brazil,17.2,20.9,9.9,7.1,16.3,22.3,https://www.timeshighereducation.com/world-university-rankings/unichristus
151+,151,Universidad Autónoma de Coahuila,Mexico,17.2,22.9,8.8,12.6,17.1,27.1,https://www.timeshighereducation.com/world-university-rankings/universidad-autonoma-de-coahuila
151+,151,Universidad Autónoma del Estado de Hidalgo,Mexico,17.2,19.5,9.8,10.1,19.2,26.9,https://www.timeshighereducation.com/world-university-rankings/universidad-autonoma-del-estado-de-hidalgo
151+,151,Universidad Autónoma del Estado de Mexico (UAEMex),Mexico,17.2,23.8,10.3,10.7,18.3,26.6,https://www.timeshighereducation.com/world-university-rankings/universidad-autonoma-del-estado-de-mexico-uaemex
151+,151,Universidad Autónoma de Nuevo León (UANL),Mexico,17.2,15.0,10.6,21.5,22.4,32.8,https://www.timeshighereducation.com/world-university-rankings/universidad-autonoma-de-nuevo-leon-uanl
151+,151,Universidad Autónoma de Yucatán,Mexico,17.2,19.7,11.2,15.6,24.1,31.6,https://www.timeshighereducation.com/world-university-rankings/universidad-autonoma-de-yucatan
151+,151,Universidad Católica de Colombia,Colombia,17.2,18.0,9.8,17.9,16.0,28.7,https://www.timeshighereducation.com/world-university-rankings/universidad-catolica-de-colombia
151+,151,Universidad Católica de Cuenca,Ecuador,17.2,20.2,9.8,7.8,17.6,41.9,https://www.timeshighereducation.com/world-university-rankings/universidad-catolica-de-cuenca
151+,151,Universidad Católica San Pablo,Peru,17.2,14.7,9.0,10.4,17.4,46.8,https://www.timeshighereducation.com/world-university-rankings/universidad-catolica-san-pablo
151+,151,Universidad de Cartagena,Colombia,17.2,16.4,11.1,13.5,18.9,39.8,https://www.timeshighereducation.com/world-university-rankings/universidad-de-cartagena
151+,151,Universidad de las Fuerzas Armadas – ESPE,Ecuador,17.2,15.5,8.6,12.5,21.1,35.5,https://www.timeshighereducation.com/world-university-rankings/universidad-de-las-fuerzas-armadas-espe
151+,151,Universidad del Magdalena,Colombia,17.2,17.7,15.4,10.7,16.3,39.0,https://www.timeshighereducation.com/world-university-rankings/universidad-del-magdalena
151+,151,Universidad de Pamplona,Colombia,17.2,31.8,8.5,2.8,16.1,27.0,https://www.timeshighereducation.com/world-university-rankings/universidad-de-pamplona
151+,151,Universidad Distrital Francisco José de Caldas,Colombia,17.2,19.7,10.1,14.6,19.3,30.8,https://www.timeshighereducation.com/world-university-rankings/universidad-distrital-francisco-jose-de-caldas
151+,151,Universidade Estadual do Maranhão,Brazil,17.2,17.3,10.4,9.3,16.2,24.0,https://www.timeshighereducation.com/world-university-rankings/universidade-estadual-do-maranhao
151+,151,Universidade Federal Rural do Semi-Arido,Brazil,17.2,20.6,9.3,11.0,16.3,19.1,https://www.timeshighereducation.com/world-university-rankings/universidade-federal-rural-do-semi-arido
151+,151,Universidade Nove de Julho (Uninove),Brazil,17.2,22.8,9.6,9.7,17.8,32.1,https://www.timeshighereducation.com/world-university-rankings/universidade-nove-de-julho-uninove
151+,151,Universidad Estatal a Distancia,Costa Rica,17.2,15.7,7.9,3.4,16.0,41.3,https://www.timeshighereducation.com/world-university-rankings/universidad-estatal-distancia
151+,151,Universidad Internacional del Ecuador,Ecuador,17.2,17.7,9.8,8.4,16.1,52.1,https://www.timeshighereducation.com/world-university-rankings/universidad-internacional-del-ecuador
151+,151,Universidad Libre de Colombia,Colombia,17.2,15.5,9.8,7.7,16.0,29.1,https://www.timeshighereducation.com/world-university-rankings/universidad-libre-de-colombia
151+,151,Universidad Manuela Beltrán,Colombia,17.2,15.5,9.2,4.8,16.1,41.0,https://www.timeshighereducation.com/world-university-rankings/universidad-manuela-beltran
151+,151,Universidad Michoacana de San Nicolás de Hidalgo,Mexico,17.2,19.3,9.9,17.4,19.4,29.5,https://www.timeshighereducation.com/world-university-rankings/universidad-michoacana-de-san-nicolas-de-hidalgo
151+,151,Universidad Nacional Abierta y a Distancia (UNAD),Colombia,17.2,11.7,8.3,5.0,16.0,40.1,https://www.timeshighereducation.com/world-university-rankings/universidad-nacional-abierta-y-distancia-unad
151+,151,Universidad Nacional de Chimborazo,Ecuador,17.2,18.1,10.6,9.6,17.3,47.2,https://www.timeshighereducation.com/world-university-rankings/universidad-nacional-de-chimborazo
151+,151,Universidad Nacional del Litoral,Argentina,17.2,16.9,10.7,20.1,25.2,33.3,https://www.timeshighereducation.com/world-university-rankings/universidad-nacional-del-litoral
151+,151,Universidad Pedagogica y Tecnologica de Colombia - UPTC,Colombia,17.2,16.3,8.6,7.8,16.4,34.1,https://www.timeshighereducation.com/world-university-rankings/universidad-pedagogica-y-tecnologica-de-colombia-uptc
151+,151,Universidad Peruana de Ciencias Aplicadas (UPC),Peru,17.2,16.1,9.8,22.6,17.2,33.5,https://www.timeshighereducation.com/world-university-rankings/universidad-peruana-de-ciencias-aplicadas-upc
151+,151,Universidad Politécnica Salesiana,Ecuador,17.2,15.8,10.5,19.6,20.3,33.2,https://www.timeshighereducation.com/world-university-rankings/universidad-politecnica-salesiana
151+,151,Universidad Popular Autónoma del Estado de Puebla,Mexico,17.2,22.3,9.8,9.6,16.2,24.3,https://www.timeshighereducation.com/world-university-rankings/universidad-popular-autonoma-del-estado-de-puebla
151+,151,Universidad Técnica de Manabí,Ecuador,17.2,12.5,10.4,11.1,16.1,60.0,https://www.timeshighereducation.com/world-university-rankings/universidad-tecnica-de-manabi
151+,151,Universidad Técnica Particular de Loja,Ecuador,17.2,15.7,9.4,15.0,20.1,44.9,https://www.timeshighereducation.com/world-university-rankings/universidad-tecnica-particular-de-loja
151+,151,Universidad Tecnológica Centroamericana (UNITEC),Honduras,17.2,20.1,8.4,7.3,16.0,30.4,https://www.timeshighereducation.com/world-university-rankings/universidad-tecnologica-centroamericana-unitec
151+,151,University of Bogotá Jorge Tadeo Lozano,Colombia,17.2,17.0,10.3,11.4,16.8,39.7,https://www.timeshighereducation.com/world-university-rankings/university-bogota-jorge-tadeo-lozano
151+,151,University of Cauca,Colombia,17.2,20.9,9.7,11.0,34.7,36.8,https://www.timeshighereducation.com/world-university-rankings/university-cauca
151+,151,University of Caxias do Sul,Brazil,17.2,21.8,10.5,14.3,23.5,23.4,https://www.timeshighereducation.com/world-university-rankings/university-caxias-do-sul
151+,151,University of Colima,Mexico,17.2,23.6,8.8,9.6,19.0,29.9,https://www.timeshighereducation.com/world-university-rankings/university-colima
151+,151,University of Fortaleza (UNIFOR),Brazil,17.2,17.9,11.2,18.4,19.6,29.7,https://www.timeshighereducation.com/world-university-rankings/university-fortaleza-unifor
151+,151,University of Franca,Brazil,17.2,13.8,9.3,6.0,16.9,21.8,https://www.timeshighereducation.com/world-university-rankings/university-franca
151+,151,University of Panama,Panama,17.2,13.7,9.1,6.7,19.5,49.4,https://www.timeshighereducation.com/world-university-rankings/university-panama
151+,151,University of Pernambuco,Brazil,17.2,19.8,10.4,16.8,19.7,27.2,https://www.timeshighereducation.com/world-university-rankings/university-pernambuco
151+,151,University of San Martín de Porres,Peru,17.2,17.6,9.7,8.9,18.4,36.6,https://www.timeshighereducation.com/world-university-rankings/university-san-martin-de-porres
151+,151,University of Santander,Colombia,17.2,18.8,9.7,13.0,16.3,46.5,https://www.timeshighereducation.com/world-university-rankings/university-santander
151+,151,University of Sonora,Mexico,17.2,17.6,9.5,19.6,27.8,34.1,https://www.timeshighereducation.com/world-university-rankings/university-sonora
151+,151,"University of the Andes, Venezuela",Venezuela,17.2,18.4,9.4,9.3,24.8,50.2,https://www.timeshighereducation.com/world-university-rankings/university-andes-venezuela
151+,151,UNNOBA,Argentina,17.2,19.8,9.4,3.4,16.2,33.9,https://www.timeshighereducation.com/world-university-rankings/unnoba
151+,151,Vila Velha University,Brazil,17.2,21.5,11.4,9.7,16.4,22.2,https://www.timeshighereducation.com/world-university-rankings/vila-velha-university
Reporter,Reporter,Andrés Bello Catholic University (UCAB),Venezuela,,,,,,,https://www.timeshighereducation.com/world-university-rankings/andres-bello-catholic-university-ucab
Reporter,Reporter,Autonomous University of Asunción,Paraguay,,,,,,,https://www.timeshighereducation.com/world-university-rankings/autonomous-university-asuncion
Reporter,Reporter,Centro de Estudios para la Calidad Educativa y la Investigación Científica (CECEIC),Mexico,,,,,,,https://www.timeshighereducation.com/world-university-rankings/centro-de-estudios-para-la-calidad-educativa-y-la-investigacion-cientifica
Reporter,Reporter,Centro Universitário Cesuca,Brazil,,,,,,,https://www.timeshighereducation.com/world-university-rankings/centro-universitario-cesuca
Reporter,Reporter,Centro Universitário de Jaguariúna,Brazil,,,,,,,https://www.timeshighereducation.com/world-university-rankings/centro-universitario-de-jaguariuna
Reporter,Reporter,Centro Universitário Integrado,Brazil,,,,,,,https://www.timeshighereducation.com/world-university-rankings/centro-universitario-integrado
Reporter,Reporter,Centro Universitário Max Planck,Brazil,,,,,,,https://www.timeshighereducation.com/world-university-rankings/centro-universitario-max-planck
Reporter,Reporter,Centro Universitário Nossa Senhora do Patrocínio (CEUNSP),Brazil,,,,,,,https://www.timeshighereducation.com/world-university-rankings/centro-universitario-nossa-senhora-do-patrocinio-ceunsp
Reporter,Reporter,Dr. Rafael Belloso Chacín Private University,Venezuela,,,,,,,https://www.timeshighereducation.com/world-university-rankings/dr-rafael-belloso-chacin-private-university
Reporter,Reporter,FSG University Center,Brazil,,,,,,,https://www.timeshighereducation.com/world-university-rankings/fsg-university-center
Reporter,Reporter,Israel Technological University,Ecuador,,,,,,,https://www.timeshighereducation.com/world-university-rankings/israel-technological-university
Reporter,Reporter,João Pessoa University Center (UNIPÊ),Brazil,,,,,,,https://www.timeshighereducation.com/world-university-rankings/joao-pessoa-university-center-unipe
Reporter,Reporter,Modulo University Center,Brazil,,,,,,,https://www.timeshighereducation.com/world-university-rankings/modulo-university-center
Reporter,Reporter,National University of Education (UNAE),Ecuador,,,,,,,https://www.timeshighereducation.com/world-university-rankings/national-university-educationunae
Reporter,Reporter,Queensland University,Haiti,,,,,,,https://www.timeshighereducation.com/world-university-rankings/queensland-university
Reporter,Reporter,Universidad del Istmo Panamá,Panama,,,,,,,https://www.timeshighereducation.com/world-university-rankings/universidad-del-istmo-panama
Reporter,Reporter,Universidade Federal do Ceará (UFC),Brazil,,,,,,,https://www.timeshighereducation.com/world-university-rankings/universidade-federal-do-ceara-ufc
Reporter,Reporter,Universidad Mayor de San Andrés (UMSA),Bolivia,,,,,,,https://www.timeshighereducation.com/world-university-rankings/universidad-mayor-de-san-andres-umsa
Reporter,Reporter,Universidad Nacional de Itapúa,Paraguay,,,,,,,https://www.timeshighereducation.com/world-university-rankings/universidad-nacional-de-itapua
Reporter,Reporter,Universidad Nacional de Rafaela (UNRaf),Argentina,,,,,,,https://www.timeshighereducation.com/world-university-rankings/universidad-nacional-de-rafaela-unraf
Reporter,Reporter,Universidad Nur,Bolivia,,,,,,,https://www.timeshighereducation.com/world-university-rankings/universidad-nur
Reporter,Reporter,University Braz Cubas,Brazil,,,,,,,https://www.timeshighereducation.com/world-university-rankings/university-braz-cubas
Reporter,Reporter,University Center of the Federal District,Brazil,,,,,,,https://www.timeshighereducation.com/world-university-rankings/university-center-federal-district
Reporter,Reporter,University of Blumenau (FURB),Brazil,,,,,,,https://www.timeshighereducation.com/world-university-rankings/university-blumenau-furb
Reporter,Reporter,University of San Buenaventura Cali,Colombia,,,,,,,https://www.timeshighereducation.com/world-university-rankings/university-san-buenaventura-cali
Reporter,Reporter,University San Marcos,Costa Rica,,,,,,,https://www.timeshighereducation.com/world-university-rankings/university-san-marcos
Reporter,Reporter,Valle del Momboy University,Venezuela,,,,,,,https://www.timeshighereducation.com/world-university-rankings/valle-del-momboy-university
