rank_display,rank,name,country,city,region,overall_score,url,logo,citations_per_paper_score,citations_per_paper_rank,papers_per_faculty_score,papers_per_faculty_rank,academic_reputation_score,academic_reputation_rank,faculty_student_ratio_score,faculty_student_ratio_rank,staff_with_phd_score,staff_with_phd_rank,international_research_network_score,international_research_network_rank,web_impact_score,web_impact_rank,employer_reputation_score,employer_reputation_rank
52,52,"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",Brazil,Porto Alegre,Latin America,56.7,https://www.topuniversities.com/universities/pontificia-universidade-catolica-do-rio-grande-do-sul-pucrs,https://www.topuniversities.com/sites/default/files/pontifcia-universidade-catlica-do-rio-grande-do-sul-pucrs_592560cf2aeae70239af548e_medium.jpg,88.2,27,99.5,10,37.5,93,34.4,137,94.1,43,68,89,65.8,41,27.8,107
53,53,Universidad del Valle,Colombia,Cali,Latin America,56.4,https://www.topuniversities.com/universities/universidad-del-valle,https://www.topuniversities.com/sites/default/files/universidad-del-valle_592560cf2aeae70239af54f0_medium.jpg,30.4,=165,28.5,154,74.3,33,22.6,=150,33.9,144,76,78,53.7,58,52.9,63
54,54,Universidad Católica del Uruguay (UCU),Uruguay,Montevideo,Latin America,56,https://www.topuniversities.com/universities/universidad-catolica-del-uruguay-ucu,https://www.topuniversities.com/sites/default/files/universidad-catlica-del-uruguay-ucu_592560cf2aeae70239af54bb_medium.jpg,16.2,=165,9,=179,62.8,48,95.9,12,13.1,=166,40.1,=170,25.6,=161,78.9,35
55,55,Universidade Federal da Bahia,Brazil,Salvador,Latin America,55.9,https://www.topuniversities.com/universities/universidade-federal-da-bahia,https://www.topuniversities.com/sites/default/files/universidade-federal-da-bahia_592560cf2aeae70239af5146_medium.jpg,35.4,161,71.6,65,51.2,66,23.9,=150,93.4,46,95.1,28,87.9,23,23.4,=108
56,56,Universidad Peruana Cayetano Heredia (UPCH),Peru,San Martin,Latin America,55.7,https://www.topuniversities.com/universities/universidad-peruana-cayetano-heredia-upch,https://www.topuniversities.com/sites/default/files/universidad-peruana-cayetano-heredia-upch_592560cf2aeae70239af550f_medium.jpg,75.8,52,29.3,149,53.7,61,84.6,25,5,=166,74.9,83,17.2,=161,51,66
57,57,Universidade Federal do Ceará (UFC),Brazil,Fortaleza,Latin America,55.5,https://www.topuniversities.com/universities/universidade-federal-do-ceara-ufc,https://www.topuniversities.com/sites/default/files/universidade-federal-do-cear-ufc_592560cf2aeae70239af5148_medium.jpg,52.3,106,93.3,25,44.6,79,16.8,=150,99.3,8,91.8,43,78.3,34,22.4,=108
58,58,Pontifícia Universidade Católica de São Paulo,Brazil,São Paulo,Latin America,54.9,https://www.topuniversities.com/universities/pontifcia-universidade-catlica-de-so-paulo,https://www.topuniversities.com/sites/default/files/pontifcia-universidade-catlica-de-so-paulo_592560cf2aeae70239af549d_medium.jpg,2.3,=165,22.7,175,51,68,69.5,46,94.9,38,12.6,=170,62,46,72,46
59,59,Pontificia Universidad Católica del Ecuador (PUCE),Ecuador,Quito,Latin America,54.1,https://www.topuniversities.com/universities/pontificia-universidad-catolica-del-ecuador-puce,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-del-ecuador-puce_592560cf2aeae70239af5489_medium.jpg,31.7,=165,15,=179,72.9,34,26,=150,8.4,=166,87.6,53,35.7,114,56.8,60
60,60,Universidade Federal de Santa Maria,Brazil,Santa Maria,Latin America,53.9,https://www.topuniversities.com/universities/universidade-federal-de-santa-maria,https://www.topuniversities.com/sites/default/files/universidade-federal-de-santa-maria_592560cf2aeae70239af553e_medium.jpg,77.9,48,84.9,43,31.8,106,43.5,103,94.2,41,96.3,24,82.4,29,9.5,=108
61,61,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,Rio de Janeiro,Latin America,53.4,https://www.topuniversities.com/universities/universidade-do-estado-do-rio-de-janeiro-uerj,https://www.topuniversities.com/sites/default/files/universidade-do-estado-do-rio-de-janeiro-uerj_592560cf2aeae70239af5525_medium.jpg,24.2,=165,64.6,73,50.8,70,35.3,132,57,100,94.8,29,87.8,24,32.4,93
62,62,Universidad Católica Andres Bello,Venezuela,Caracas City,Latin America,53.2,https://www.topuniversities.com/universities/universidad-catolica-andres-bello,https://www.topuniversities.com/sites/default/files/universidad-catlica-andres-bello_592560cf2aeae70239af4a98_medium.jpg,n/a,n/a,2.6,=179,86.6,23,24.4,=150,9.9,=166,n/a,n/a,27.7,148,97,10
63,63,Universidad Externado de Colombia ,Colombia,Bogotá,Latin America,53.1,https://www.topuniversities.com/universities/universidad-externado-de-colombia,https://www.topuniversities.com/sites/default/files/universidad-externado-de-colombia_795_medium.jpg,3.8,=165,6.4,=179,57.6,52,73.9,39,19.2,=166,25.8,=170,35.2,115,92.8,16
64,64,Universidad Pontificia Bolivariana ,Colombia,Medellín,Latin America,52.2,https://www.topuniversities.com/universities/universidad-pontificia-bolivariana,https://www.topuniversities.com/sites/default/files/universidad-pontificia-bolivariana-_592560cf2aeae70239af5511_medium.jpg,19.6,=165,41,111,43.8,83,94.2,14,21.6,=166,63.8,104,46.8,76,59.7,56
65,65,Universidad del Desarrollo (UDD),Chile,Santiago,Latin America,51.6,https://www.topuniversities.com/universities/universidad-del-desarrollo-udd,https://www.topuniversities.com/sites/default/files/universidad-del-desarrollo-udd_592560cf2aeae70239af52cd_medium.jpg,91.7,22,28.6,153,44.4,81,30.2,=150,11.8,=166,65.1,101,43.4,87,60.2,55
65,66,Universidade Federal de Viçosa (UFV),Brazil,Viçosa,Latin America,51.6,https://www.topuniversities.com/universities/universidade-federal-de-vicosa-ufv,https://www.topuniversities.com/sites/default/files/universidade-federal-de-viosa-ufv_592560cf2aeae70239af5549_medium.jpg,51.8,109,99.7,7,31.2,108,35.9,129,99,13,78.6,74,79.3,33,19.9,=108
67,67,Universidad de Los Andes - (ULA) Mérida,Venezuela,Merida,Latin America,51,https://www.topuniversities.com/universities/universidad-de-los-andes-ula-merida,https://www.topuniversities.com/sites/default/files/universidad-de-los-andes-ula-mrida_592560cf2aeae70239af54d2_medium.jpg,13.4,=165,11.8,=179,67.3,39,41.1,110,18.8,=166,67.1,93,50.5,65,54.8,61
68,68,Pontifícia Universidade Católica do Paraná,Brazil,Curitiba,Latin America,50.8,https://www.topuniversities.com/universities/pontificia-universidade-catolica-do-parana,https://www.topuniversities.com/sites/default/files/pontifcia-universidade-catlica-do-paran_592560cf2aeae70239af548d_medium.jpg,86.1,32,60.8,79,24.7,=114,50.2,83,86.3,57,81.4,66,63.9,43,20.3,=108
68,69,Universidad de Valparaíso (UV),Chile,Valparaíso,Latin America,50.8,https://www.topuniversities.com/universities/universidad-de-valparaiso-uv,https://www.topuniversities.com/sites/default/files/universidad-de-valparaso-uv_592560cf2aeae70239af54e3_medium.jpg,37.1,152,61.2,77,56.9,54,25.6,=150,33,145,86.8,56,43.7,84,37.5,85
70,70,Universidad Espíritu Santo (UEES),Ecuador,Samborondón,Latin America,50.7,https://www.topuniversities.com/universities/universidad-espiritu-santo-uees,https://www.topuniversities.com/sites/default/files/universidad-espritu-santo_592560cf2aeae70239af5629_medium.jpg,99.9,5,64,75,27.4,=114,52.9,79,49.6,110,76.9,77,15.2,=161,39.3,80
70,71,Universidad Nacional del Litoral,Argentina,Santa Fe,Latin America,50.7,https://www.topuniversities.com/universities/universidad-nacional-del-litoral,https://www.topuniversities.com/sites/default/files/universidad-nacional-del-litoral_592560cf2aeae70239af5122_medium.jpg,54.3,98,41.5,109,63,47,6.8,=150,22.5,=166,79,72,41.9,89,43.6,73
72,72,Universidade Presbiteriana Mackenzie,Brazil,São Paulo,Latin America,49.8,https://www.topuniversities.com/universities/universidade-presbiteriana-mackenzie,https://www.topuniversities.com/sites/default/files/universidade-presbiteriana-mackenzie_2768_medium.jpg,57.4,91,37.1,120,25.7,=114,45.2,96,89,54,54.5,124,52.7,60,52,65
73,73,Universidad del Bío-Bío,Chile,Concepción,Latin America,49.5,https://www.topuniversities.com/universities/universidad-del-bio-bio,https://www.topuniversities.com/sites/default/files/universidad-del-bio-bio_592560cf2aeae70239af5128_medium.jpg,50.3,115,92,30,46.3,73,10.8,=150,72.2,73,84.8,60,39.6,99,23.3,=108
74,74,Universidad Industrial de Santander - UIS,Colombia,Bucaramanga,Latin America,48.8,https://www.topuniversities.com/universities/universidad-industrial-de-santander-uis,https://www.topuniversities.com/sites/default/files/universidad-industrial-de-santander-uis_592560cf2aeae70239af54f6_medium.jpg,13.4,=165,51.3,93,49.5,71,11.5,=150,38.4,131,65.5,97,27.3,152,72.8,44
75,75,Universidad ORT Uruguay,Uruguay,Montevideo,Latin America,48.7,https://www.topuniversities.com/universities/universidad-ort-uruguay,https://www.topuniversities.com/sites/default/files/251114050726pm249935ORT-Logo-bordo-fondo-blanco-90x90.jpg,26.7,=165,6.6,=179,51.5,65,94.4,13,8.1,=166,16.2,=170,22.6,=161,73.8,43
76,76,Universidad de Lima,Peru,Lima,Latin America,48.6,https://www.topuniversities.com/universities/universidad-de-lima,https://www.topuniversities.com/sites/default/files/230207011108pm679897LOGO-ULIMA-90x90.jpg,23.5,=165,14.3,=179,53.2,64,17.2,=150,9.2,=166,47.5,150,38.6,103,88.8,23
77,77,Universidad de Palermo (UP),Argentina,Buenos Aires,Latin America,48.3,https://www.topuniversities.com/universities/universidad-de-palermo,https://www.topuniversities.com/sites/default/files/universidad-de-palermo-up_592560cf2aeae70239af54de_medium.jpg,1.7,=165,4.9,=179,56.2,55,99.1,6,29.4,157,16.4,=170,36.8,107,60.9,54
