rank_display,rank,name,country,city,region,overall_score,url,logo,employer_reputation_score,employer_reputation_rank,h_index_citations_score,h_index_citations_rank,citations_per_paper_score,citations_per_paper_rank,academic_reputation_score,academic_reputation_rank
=58,59,University of Navarra,Spain,Pamplona,Europe,72.9,https://www.topuniversities.com/universities/university-navarra,https://www.topuniversities.com/sites/default/files/230606111821am961353marcaunav-rojo-1x1-90x90.jpg,68,101+,75.2,101+,72.9,101+,75.3,55
=60,60,The University of Auckland,New Zealand,Auckland,Oceania,72.4,https://www.topuniversities.com/universities/university-auckland,https://www.topuniversities.com/sites/default/files/221206065357am877738QS-Website-logo-01-90x90.jpg,67.8,101+,83.4,=51,77.5,101+,71.9,74
=60,61,"Trinity College Dublin, The University of Dublin",Ireland,Dublin,Europe,72.4,https://www.topuniversities.com/universities/trinity-college-dublin-university-dublin,https://www.topuniversities.com/sites/default/files/trinity-college-dublin-the-university-of-dublin_167_medium.jpg,69,=99,91.8,7,100,1,65.1,101+
62,62,Copenhagen Business School,Denmark,Frederiksberg,Europe,72.3,https://www.topuniversities.com/universities/copenhagen-business-school,https://www.topuniversities.com/sites/default/files/copenhagen-business-school_710_medium.jpg,56.2,101+,79,101+,81,=56,78.9,41
=63,63,Boston University,United States,Boston,North America,72.1,https://www.topuniversities.com/universities/boston-university,https://www.topuniversities.com/sites/default/files/boston-university_592560cf2aeae70239af4ac2_medium.jpg,71.4,=79,75.2,101+,77.3,101+,70.8,=82
=63,64,University of Southern California,United States,Los Angeles,North America,72.1,https://www.topuniversities.com/universities/university-southern-california,https://www.topuniversities.com/sites/default/files/university-of-southern-california_569_medium.jpg,63.8,101+,76.9,101+,75.5,101+,75.5,54
65,65,Universiti Malaya (UM),Malaysia,Kuala Lumpur,Asia,72,https://www.topuniversities.com/universities/universiti-malaya-um,https://www.topuniversities.com/sites/default/files/universiti-malaya-um_383_medium.jpg,69.7,92,76.9,101+,70.3,101+,72.7,=67
=66,66,King's College London,United Kingdom,London,Europe,71.7,https://www.topuniversities.com/universities/kings-college-london,https://www.topuniversities.com/sites/default/files/231024034600pm558869KCL-box-red-485-rgb-90x90.jpg,75,54,71.4,101+,72.3,101+,69.6,91
=66,67,University of Glasgow,United Kingdom,Glasgow,Europe,71.7,https://www.topuniversities.com/universities/university-glasgow,https://www.topuniversities.com/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_medium.jpg,66.4,101+,81.7,=72,77.8,101+,71.7,75
68,68,The University of Queensland,Australia,Brisbane City,Oceania,71.6,https://www.topuniversities.com/universities/university-queensland,https://www.topuniversities.com/sites/default/files/210824044126am970441uq-logo-90x90.jpg,68.9,101+,81.7,=72,73.8,101+,70.8,=82
=69,69,"Macquarie University (Sydney, Australia)",Australia,Sydney,Oceania,71.5,https://www.topuniversities.com/universities/macquarie-university-sydney-australia,https://www.topuniversities.com/sites/default/files/macquarie-university_378_medium.jpg,64.8,101+,92.5,5,81.3,54,69.3,94
=69,70,Stockholm School of Economics,Sweden,"Stockholm,",Europe,71.5,https://www.topuniversities.com/universities/stockholm-school-economics,https://www.topuniversities.com/sites/default/files/stockholm-school-of-economics_576_medium.jpg,56.4,101+,74,101+,75.5,101+,79.3,36
=71,71,National Taiwan University (NTU),Taiwan,Taipei,Asia,71.3,https://www.topuniversities.com/universities/national-taiwan-university-ntu,https://www.topuniversities.com/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_medium.jpg,73.1,66,71.4,101+,67.6,101+,70.9,81
=71,72,Pontificia Universidad Católica de Chile (UC),Chile,Santiago,Latin America,71.3,https://www.topuniversities.com/universities/pontificia-universidad-católica-de-chile-uc,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_medium.jpg,77.5,32,50.4,101+,45.7,101+,76.9,=48
73,73,University of Washington,United States,Seattle,North America,70.9,https://www.topuniversities.com/universities/university-washington,https://www.topuniversities.com/sites/default/files/240709093150am256263W-Logo-Purple-RGB-resized-90x90.jpg,66.2,101+,73.4,101+,73.3,101+,72.8,=65
=74,74,Pennsylvania State University,United States,University Park,North America,70.8,https://www.topuniversities.com/universities/pennsylvania-state-university,https://www.topuniversities.com/sites/default/files/pennsylvania-state-university_494_medium.jpg,71.5,=77,81.3,=77,76.9,101+,67.1,101+
=74,75,University of Birmingham,United Kingdom,Birmingham,Europe,70.8,https://www.topuniversities.com/universities/university-birmingham,https://www.topuniversities.com/sites/default/files/university-of-birmingham_59_medium.jpg,66.5,101+,84.1,=40,80.9,=58,68.7,101+
76,76,University of Zurich,Switzerland,Zürich,Europe,70.7,https://www.topuniversities.com/universities/university-zurich,https://www.topuniversities.com/sites/default/files/250124123220pm124063Logo-90x90.jpg,63.4,101+,82.1,=66,82.2,=42,70.4,=86
77,77,Tilburg University,Netherlands,Tilburg,Europe,70.6,https://www.topuniversities.com/universities/tilburg-university,https://www.topuniversities.com/sites/default/files/tilburg-university_592560cf2aeae70239af4ce5_medium.jpg,53.1,101+,75.8,101+,77.2,101+,78.8,42
78,78,Universidade de São Paulo,Brazil,São Paulo,Latin America,70.4,https://www.topuniversities.com/universities/universidade-de-sao-paulo,https://www.topuniversities.com/sites/default/files/universidade-de-so-paulo_550_medium.jpg,72.8,=67,67.6,101+,60.2,101+,71.6,=76
79,79,ESSEC Business School,France,Cergy,Europe,70.3,https://www.topuniversities.com/universities/essec-business-school,https://www.topuniversities.com/sites/default/files/essec-business-school_198_medium.jpg,69.3,95,62.9,101+,63.2,101+,73.7,60
80,80,IE University,Spain,Segovia,Europe,70.2,https://www.topuniversities.com/universities/ie-university,https://www.topuniversities.com/sites/default/files/230302024505pm732571IE-univ-logo-200x200-90x90.jpg,69,=99,71.4,101+,66.1,101+,71.5,=78
=81,81,The Ohio State University,United States,Columbus,North America,70.1,https://www.topuniversities.com/universities/ohio-state-university,https://www.topuniversities.com/sites/default/files/the-ohio-state-university_465_medium.jpg,61.3,101+,77.5,101+,81.9,=47,71.6,=76
=81,82,University of St.Gallen,Switzerland,St. Gallen,Europe,70.1,https://www.topuniversities.com/universities/university-stgallen,https://www.topuniversities.com/sites/default/files/220202052805pm846901HSG-Bildmarke-RGB-90x90.jpg,67.8,101+,76.4,101+,74,101+,69.4,93
83,83,Universitat Ramon Llull,Spain,Barcelona,Europe,70,https://www.topuniversities.com/universities/universitat-ramon-llull,https://www.topuniversities.com/sites/default/files/RL-logo-90x90.jpg,69.1,=97,69.2,101+,63.1,101+,72.1,=71
84,84,Lancaster University,United Kingdom,"Lancaster,",Europe,69.8,https://www.topuniversities.com/universities/lancaster-university,https://www.topuniversities.com/sites/default/files/lancaster-university_335_medium.jpg,57.9,101+,79.9,=99,80.1,=69,72.8,=65
=85,85,Adelaide University,Australia,Adelaide,Oceania,69.7,https://www.topuniversities.com/universities/adelaide-university,https://www.topuniversities.com/sites/default/files/251230064220am949573AU-stacked-300x300-90x90.jpg,69.6,=93,84.9,=35,78.1,=100,65,101+
=85,86,University of Leeds,United Kingdom,Leeds,Europe,69.7,https://www.topuniversities.com/universities/university-leeds,https://www.topuniversities.com/sites/default/files/250929041939pm876425Logo-200x200-v2-90x90.jpg,69.8,=90,78,101+,78.1,=100,66.3,101+
=87,87,KU Leuven,Belgium,Leuven,Europe,69.3,https://www.topuniversities.com/universities/ku-leuven,https://www.topuniversities.com/sites/default/files/ku-leuven_592560cf2aeae70239af4aec_medium.jpg,67.8,101+,73.4,101+,70.9,101+,69.1,=95
=87,88,University of Southampton,United Kingdom,Southampton,Europe,69.3,https://www.topuniversities.com/universities/university-southampton,https://www.topuniversities.com/sites/default/files/241015033016pm657896University-of-Southampton-shield-blue-200-px-square-90x90.jpg,61.1,101+,93.5,4,93.1,6,64.7,101+
=87,89,Zhejiang University,China (Mainland),Hangzhou,Asia,69.3,https://www.topuniversities.com/universities/zhejiang-university,https://www.topuniversities.com/sites/default/files/zhejiang-university_592560cf2aeae70239af4d37_medium.jpg,75.4,49,83.8,=46,78.1,=100,61,101+
90,90,Waseda University,Japan,Tokyo,Asia,69.2,https://www.topuniversities.com/universities/waseda-university,https://www.topuniversities.com/sites/default/files/waseda-university_592560cf2aeae70239af4d1c_medium.jpg,73.2,=62,66.7,101+,73.8,101+,66.3,101+
91,91,Renmin (People's) University of China,China (Mainland),Beijing,Asia,69,https://www.topuniversities.com/universities/renmin-peoples-university-china,https://www.topuniversities.com/sites/default/files/renmin-peoples-university-of-china_884_medium.jpg,62.8,101+,92,6,77.7,101+,66.3,101+
92,92,Universität Mannheim,Germany,Mannheim,Europe,68.9,https://www.topuniversities.com/universities/universitat-mannheim,https://www.topuniversities.com/sites/default/files/universitt-mannheim_592560cf2aeae70239af4c0b_medium.jpg,61.3,101+,72.1,101+,66.2,101+,73.4,61
